cell_id,Haemorhous mexicanus,Haemorhous mexicanus [mexicanus Group],Haemorhous mexicanus mcgregori
8412187ffffffff,1.0,0.0,0.0
84121bbffffffff,6.0,0.0,0.0
84121e3ffffffff,7.0,0.0,0.0
84124a3ffffffff,1.0,0.0,0.0
8412505ffffffff,5.0,0.0,0.0
8412515ffffffff,4.0,0.0,0.0
8412521ffffffff,3.0,0.0,0.0
8412523ffffffff,19.0,0.0,0.0
8412527ffffffff,11.0,0.0,0.0
8412531ffffffff,2.0,0.0,0.0
8412535ffffffff,8.0,0.0,0.0
8412539ffffffff,2.0,0.0,0.0
841253bffffffff,1.0,0.0,0.0
841253dffffffff,3.0,0.0,0.0
8412581ffffffff,2.0,0.0,0.0
8412591ffffffff,1152.0,0.0,0.0
8412597ffffffff,56.0,0.0,0.0
84125adffffffff,2.0,0.0,0.0
84125b1ffffffff,4.0,0.0,0.0
84125b9ffffffff,11.0,0.0,0.0
84125d9ffffffff,2.0,0.0,0.0
84125dbffffffff,3.0,0.0,0.0
84125e5ffffffff,6.0,0.0,0.0
8412887ffffffff,1.0,0.0,0.0
8412891ffffffff,5.0,0.0,0.0
8412893ffffffff,6.0,0.0,0.0
8412899ffffffff,3.0,0.0,0.0
841289bffffffff,125.0,0.0,0.0
84128c1ffffffff,1.0,0.0,0.0
84128d3ffffffff,73.0,0.0,0.0
84128dbffffffff,2.0,0.0,0.0
84129b1ffffffff,1.0,0.0,0.0
84129b9ffffffff,14.0,0.0,0.0
84129bbffffffff,20.0,0.0,0.0
8412aa3ffffffff,2.0,0.0,0.0
8412aa5ffffffff,2.0,0.0,0.0
8412ab3ffffffff,217.0,0.0,0.0
8412ab5ffffffff,4.0,0.0,0.0
8412c01ffffffff,4.0,0.0,0.0
8412c03ffffffff,1.0,0.0,0.0
8412c07ffffffff,7.0,0.0,0.0
8412c11ffffffff,15.0,0.0,0.0
8412c13ffffffff,6.0,0.0,0.0
8412c1bffffffff,238.0,0.0,0.0
8412c1dffffffff,1.0,0.0,0.0
8412c21ffffffff,21.0,0.0,0.0
8412c33ffffffff,31.0,0.0,0.0
8412c3bffffffff,106.0,0.0,0.0
8412c4dffffffff,1.0,0.0,0.0
8412c5bffffffff,6.0,0.0,0.0
8412c81ffffffff,9.0,0.0,0.0
8412c83ffffffff,22.0,0.0,0.0
8412c85ffffffff,71.0,0.0,0.0
8412c87ffffffff,19.0,0.0,0.0
8412c89ffffffff,6.0,0.0,0.0
8412c8bffffffff,492.0,0.0,0.0
8412c8dffffffff,2.0,0.0,0.0
8412c91ffffffff,19.0,0.0,0.0
8412c97ffffffff,190.0,0.0,0.0
8412c9dffffffff,28.0,0.0,0.0
8412ca5ffffffff,38.0,0.0,0.0
8412cabffffffff,11.0,0.0,0.0
8412cadffffffff,370.0,0.0,0.0
8412cb1ffffffff,2.0,0.0,0.0
8412cb5ffffffff,17.0,0.0,0.0
8412cbbffffffff,2.0,0.0,0.0
8412cbdffffffff,4.0,0.0,0.0
8412cc1ffffffff,383.0,0.0,0.0
8412cc3ffffffff,6.0,0.0,0.0
8412cc5ffffffff,20.0,0.0,0.0
8412cc7ffffffff,26.0,0.0,0.0
8412cc9ffffffff,231.0,0.0,0.0
8412ccbffffffff,8.0,0.0,0.0
8412ccdffffffff,11905.0,0.0,0.0
8412cd5ffffffff,5.0,0.0,0.0
8412cd7ffffffff,41.0,0.0,0.0
8412cd9ffffffff,30.0,0.0,0.0
8412cdbffffffff,2.0,0.0,0.0
8412ce3ffffffff,39.0,0.0,0.0
8412ce5ffffffff,108.0,0.0,0.0
8412ce7ffffffff,71.0,0.0,0.0
8412d01ffffffff,102.0,0.0,0.0
8412d03ffffffff,114.0,0.0,0.0
8412d05ffffffff,26.0,0.0,0.0
8412d07ffffffff,14.0,0.0,0.0
8412d0bffffffff,103.0,0.0,0.0
8412d0dffffffff,13.0,0.0,0.0
8412d11ffffffff,405.0,0.0,0.0
8412d15ffffffff,9.0,0.0,0.0
8412d17ffffffff,3070.0,0.0,0.0
8412d19ffffffff,641.0,0.0,0.0
8412d1dffffffff,17.0,0.0,0.0
8412d23ffffffff,2.0,0.0,0.0
8412d2bffffffff,8.0,0.0,0.0
8412d33ffffffff,412.0,0.0,0.0
8412d35ffffffff,3.0,0.0,0.0
8412d37ffffffff,33.0,0.0,0.0
8412d39ffffffff,6.0,0.0,0.0
8412d3bffffffff,645.0,0.0,0.0
8412d3dffffffff,44.0,0.0,0.0
8412d41ffffffff,9.0,0.0,0.0
8412d4dffffffff,2.0,0.0,0.0
8412d57ffffffff,52.0,0.0,0.0
8412d5dffffffff,2.0,0.0,0.0
8412d63ffffffff,213.0,0.0,0.0
8412d67ffffffff,6.0,0.0,0.0
8412d6bffffffff,9.0,0.0,0.0
8412d81ffffffff,115.0,0.0,0.0
8412d85ffffffff,24.0,0.0,0.0
8412d87ffffffff,47.0,0.0,0.0
8412d89ffffffff,478.0,0.0,0.0
8412d8dffffffff,29.0,0.0,0.0
8412d91ffffffff,52.0,0.0,0.0
8412d93ffffffff,3.0,0.0,0.0
8412d95ffffffff,195.0,0.0,0.0
8412d97ffffffff,23.0,0.0,0.0
8412d9bffffffff,16.0,0.0,0.0
8412d9dffffffff,236.0,0.0,0.0
8412da1ffffffff,5.0,0.0,0.0
8412da3ffffffff,1.0,0.0,0.0
8412da5ffffffff,90.0,0.0,0.0
8412da7ffffffff,139.0,0.0,0.0
8412da9ffffffff,19.0,0.0,0.0
8412dabffffffff,18.0,0.0,0.0
8412dadffffffff,81.0,0.0,0.0
8412db1ffffffff,750.0,0.0,0.0
8412db3ffffffff,331.0,0.0,0.0
8412db5ffffffff,202.0,0.0,0.0
8412db7ffffffff,1075.0,0.0,0.0
8412db9ffffffff,66.0,0.0,0.0
8412dbbffffffff,37.0,0.0,0.0
8412dbdffffffff,71.0,0.0,0.0
8412dc3ffffffff,776.0,0.0,0.0
8412dc5ffffffff,1.0,0.0,0.0
8412dc7ffffffff,151.0,0.0,0.0
8412dc9ffffffff,20.0,0.0,0.0
8412dcbffffffff,17.0,0.0,0.0
8412dd1ffffffff,5.0,0.0,0.0
8412dd3ffffffff,18.0,0.0,0.0
8412dd5ffffffff,5.0,0.0,0.0
8412dd7ffffffff,555.0,0.0,0.0
8412dd9ffffffff,114.0,0.0,0.0
8412ddbffffffff,2896.0,0.0,0.0
8412dddffffffff,8.0,0.0,0.0
8412de1ffffffff,2.0,0.0,0.0
8412de3ffffffff,59.0,0.0,0.0
8412de5ffffffff,1929.0,0.0,0.0
8412de7ffffffff,126.0,0.0,0.0
8412de9ffffffff,2.0,0.0,0.0
8412dedffffffff,707.0,0.0,0.0
8412e11ffffffff,4.0,0.0,0.0
8412e13ffffffff,3360.0,0.0,0.0
8412e15ffffffff,7.0,0.0,0.0
8412e17ffffffff,20.0,0.0,0.0
8412e1bffffffff,11.0,0.0,0.0
8412e1dffffffff,2.0,0.0,0.0
8412e27ffffffff,1.0,0.0,0.0
8412e87ffffffff,2.0,0.0,0.0
8412e8dffffffff,5.0,0.0,0.0
8412e95ffffffff,2.0,0.0,0.0
8412ea1ffffffff,25.0,0.0,0.0
8412ea3ffffffff,17.0,0.0,0.0
8412ea5ffffffff,25.0,0.0,0.0
8412ea7ffffffff,3661.0,0.0,0.0
8412ea9ffffffff,71.0,0.0,0.0
8412eabffffffff,3.0,0.0,0.0
8412eb3ffffffff,3.0,0.0,0.0
8412ebbffffffff,2.0,0.0,0.0
8412ebdffffffff,53.0,0.0,0.0
8412ec1ffffffff,35.0,0.0,0.0
8412ec3ffffffff,11.0,0.0,0.0
8412ec5ffffffff,158.0,0.0,0.0
8412ec7ffffffff,1.0,0.0,0.0
8412ec9ffffffff,4.0,0.0,0.0
8412ecbffffffff,2.0,0.0,0.0
8412ecdffffffff,1209.0,0.0,0.0
8412ed1ffffffff,2.0,0.0,0.0
8412ee3ffffffff,119.0,0.0,0.0
8412ee7ffffffff,1.0,0.0,0.0
8412ee9ffffffff,4.0,0.0,0.0
8412eebffffffff,8.0,0.0,0.0
8412f13ffffffff,3.0,0.0,0.0
8412f25ffffffff,2.0,0.0,0.0
8412f29ffffffff,2.0,0.0,0.0
8412f65ffffffff,6.0,0.0,0.0
8412f6dffffffff,143.0,0.0,0.0
841eda3ffffffff,1.0,0.0,0.0
841eda7ffffffff,84.0,0.0,0.0
8426001ffffffff,2.0,0.0,0.0
8426003ffffffff,4.0,0.0,0.0
8426005ffffffff,2.0,0.0,0.0
8426007ffffffff,6.0,0.0,0.0
8426009ffffffff,8.0,0.0,0.0
842600bffffffff,265.0,0.0,0.0
842600dffffffff,5.0,0.0,0.0
8426013ffffffff,3.0,0.0,0.0
8426015ffffffff,238.0,0.0,0.0
8426017ffffffff,188.0,0.0,0.0
8426019ffffffff,6.0,0.0,0.0
842601bffffffff,2.0,0.0,0.0
842601dffffffff,33.0,0.0,0.0
8426021ffffffff,33.0,0.0,0.0
8426023ffffffff,3.0,0.0,0.0
8426025ffffffff,1.0,0.0,0.0
8426027ffffffff,8.0,0.0,0.0
8426029ffffffff,7.0,0.0,0.0
842602bffffffff,12.0,0.0,0.0
842602dffffffff,2.0,0.0,0.0
8426031ffffffff,18.0,2.0,0.0
8426033ffffffff,42.0,0.0,0.0
8426035ffffffff,4.0,0.0,0.0
8426039ffffffff,147.0,7.0,0.0
842603bffffffff,372.0,0.0,0.0
842603dffffffff,36.0,0.0,0.0
