cell_id,Haemorhous purpureus,Haemorhous purpureus purpureus,Haemorhous purpureus californicus
820d4ffffffffff,2.0,0.0,0.0
820e47fffffffff,2.0,0.0,0.0
820e4ffffffffff,2345.0,12.0,0.0
820e5ffffffffff,45.0,0.0,0.0
820e6ffffffffff,27.0,0.0,0.0
820e9ffffffffff,4.0,0.0,0.0
820ec7fffffffff,27.0,2.0,0.0
820ecffffffffff,419.0,20.0,0.0
820ed7fffffffff,2.0,0.0,0.0
820edffffffffff,31.0,0.0,0.0
820eeffffffffff,327.0,0.0,0.0
82120ffffffffff,5.0,0.0,0.0
821217fffffffff,21.0,3.0,0.0
82121ffffffffff,238.0,0.0,0.0
821227fffffffff,4.0,0.0,0.0
82122ffffffffff,2.0,0.0,0.0
821237fffffffff,36.0,0.0,0.0
82124ffffffffff,26.0,0.0,0.0
821257fffffffff,275.0,24.0,0.0
82125ffffffffff,200.0,0.0,0.0
82126ffffffffff,9.0,0.0,0.0
821277fffffffff,285.0,9.0,0.0
821287fffffffff,169.0,0.0,0.0
82128ffffffffff,516.0,0.0,0.0
82129ffffffffff,8.0,0.0,2.0
8212a7fffffffff,2.0,0.0,0.0
8212affffffffff,683.0,0.0,0.0
8212b7fffffffff,23.0,0.0,0.0
8212c7fffffffff,192.0,0.0,0.0
8212cffffffffff,145.0,2.0,0.0
8212d7fffffffff,210.0,0.0,0.0
8212e7fffffffff,174.0,1.0,0.0
8212effffffffff,776.0,14.0,0.0
8212f7fffffffff,424.0,0.0,0.0
821317fffffffff,1.0,0.0,0.0
821357fffffffff,6.0,0.0,0.0
821387fffffffff,1156.0,0.0,0.0
82138ffffffffff,433.0,0.0,0.0
821397fffffffff,13.0,0.0,0.0
8213affffffffff,1.0,0.0,0.0
8213b7fffffffff,116.0,0.0,0.0
821aa7fffffffff,1707.0,0.0,0.0
821ab7fffffffff,12.0,0.0,0.0
821b87fffffffff,28.0,0.0,0.0
821b8ffffffffff,2.0,0.0,0.0
821b97fffffffff,50.0,0.0,0.0
821b9ffffffffff,304.0,0.0,0.0
821bb7fffffffff,11.0,0.0,0.0
822607fffffffff,203.0,34.0,0.0
82260ffffffffff,270.0,48.0,0.0
822617fffffffff,22.0,0.0,0.0
82261ffffffffff,17.0,0.0,0.0
822627fffffffff,3149.0,55.0,0.0
82262ffffffffff,935.0,12.0,0.0
822637fffffffff,254.0,31.0,0.0
822647fffffffff,1251.0,135.0,0.0
82264ffffffffff,1274.0,2.0,0.0
822657fffffffff,3315.0,170.0,0.0
82265ffffffffff,1167.0,15.0,0.0
822667fffffffff,2890.0,127.0,0.0
