cell_id,Hafferia immaculata,Hafferia immaculata immaculata,Hafferia immaculata concepcion
836608fffffffff,24.0,0.0,0.0
83660afffffffff,3.0,0.0,0.0
83660cfffffffff,7.0,0.0,0.0
83660dfffffffff,10.0,0.0,0.0
836618fffffffff,1.0,0.0,0.0
836619fffffffff,98.0,0.0,0.0
83661bfffffffff,56.0,0.0,0.0
83661cfffffffff,16.0,2.0,0.0
83661dfffffffff,98.0,0.0,0.0
836621fffffffff,8.0,0.0,0.0
836629fffffffff,3.0,0.0,0.0
83662bfffffffff,13.0,9.0,0.0
83662dfffffffff,34.0,0.0,0.0
83662efffffffff,20.0,0.0,0.0
8366d0fffffffff,6.0,0.0,0.0
8366e0fffffffff,49.0,0.0,0.0
8366e4fffffffff,166.0,0.0,0.0
8366e6fffffffff,1096.0,41.0,0.0
8366f1fffffffff,103.0,2.0,0.0
8366f5fffffffff,49.0,1.0,0.0
83675afffffffff,8.0,0.0,0.0
83675efffffffff,21.0,0.0,0.0
