cell_id,Hemiphaga novaeseelandiae,Hemiphaga novaeseelandiae spadicea,Hemiphaga novaeseelandiae novaeseelandiae
83ba24fffffffff,22.0,0.0,0.0
83bb08fffffffff,159.0,0.0,0.0
83bb09fffffffff,562.0,0.0,0.0
83bb0afffffffff,19.0,0.0,0.0
83bb0bfffffffff,123.0,0.0,0.0
83bb0cfffffffff,42.0,0.0,0.0
83bb0dfffffffff,791.0,0.0,0.0
83bb28fffffffff,33.0,0.0,0.0
83bb29fffffffff,2161.0,0.0,0.0
83bb2bfffffffff,2117.0,0.0,0.0
83bb2dfffffffff,87.0,0.0,0.0
83bb50fffffffff,2021.0,0.0,0.0
83bb51fffffffff,54.0,0.0,0.0
83bb52fffffffff,274.0,0.0,0.0
83bb53fffffffff,958.0,0.0,0.0
83bb54fffffffff,136.0,0.0,0.0
83bb56fffffffff,172.0,0.0,0.0
83bb5efffffffff,98.0,0.0,0.0
83bb72fffffffff,239.0,0.0,0.0
83bb74fffffffff,208.0,0.0,0.0
83bb76fffffffff,87.0,0.0,0.0
83da81fffffffff,151.0,0.0,0.0
83da82fffffffff,94.0,0.0,0.0
83da83fffffffff,155.0,0.0,0.0
83da84fffffffff,425.0,0.0,0.0
83da85fffffffff,258.0,0.0,0.0
83da86fffffffff,249.0,0.0,0.0
83da8cfffffffff,148.0,0.0,0.0
83da8efffffffff,195.0,0.0,0.0
83da90fffffffff,199.0,0.0,0.0
83da91fffffffff,164.0,0.0,0.0
83da92fffffffff,77.0,0.0,0.0
83da94fffffffff,54.0,0.0,0.0
83da95fffffffff,81.0,0.0,0.0
83da96fffffffff,81.0,0.0,0.0
83da9cfffffffff,79.0,0.0,0.0
83daaafffffffff,931.0,0.0,0.0
83dab3fffffffff,240.0,0.0,0.0
