cell_id,Henicorhina leucosticta,Henicorhina leucosticta [prostheleuca Group],Henicorhina leucosticta pittieri/costaricensis,Henicorhina leucosticta inornata/eucharis,Henicorhina leucosticta [leucosticta Group]
8445205ffffffff,1.0,1.0,0.0,0.0,0.0
8445251ffffffff,1.0,0.0,0.0,0.0,0.0
8445261ffffffff,7.0,0.0,0.0,0.0,0.0
844526bffffffff,14.0,0.0,0.0,0.0,0.0
84452e1ffffffff,1.0,1.0,0.0,0.0,0.0
84452e5ffffffff,2.0,2.0,0.0,0.0,0.0
8449901ffffffff,7.0,7.0,0.0,0.0,0.0
8449913ffffffff,2.0,0.0,0.0,0.0,0.0
8449961ffffffff,15.0,0.0,0.0,0.0,0.0
8449967ffffffff,2.0,0.0,0.0,0.0,0.0
84499c1ffffffff,2.0,0.0,0.0,0.0,0.0
84499c5ffffffff,2.0,0.0,0.0,0.0,0.0
84499cdffffffff,10.0,0.0,0.0,0.0,0.0
845f01bffffffff,1.0,0.0,0.0,0.0,1.0
845f407ffffffff,2.0,0.0,0.0,0.0,0.0
845f42bffffffff,2.0,0.0,0.0,0.0,0.0
846610bffffffff,2.0,0.0,0.0,0.0,0.0
8466193ffffffff,2.0,0.0,0.0,0.0,2.0
84661b1ffffffff,2.0,0.0,0.0,0.0,0.0
8466a01ffffffff,5.0,0.0,0.0,0.0,0.0
8466a05ffffffff,5.0,0.0,0.0,0.0,0.0
8466a0bffffffff,2.0,0.0,0.0,0.0,0.0
8466b0bffffffff,4.0,0.0,4.0,0.0,0.0
8466b49ffffffff,4.0,0.0,2.0,0.0,0.0
8466b4dffffffff,2.0,0.0,0.0,0.0,0.0
8466b51ffffffff,2.0,0.0,0.0,0.0,0.0
8466b55ffffffff,3.0,0.0,2.0,0.0,0.0
8466d0bffffffff,4.0,0.0,0.0,4.0,0.0
8466d0dffffffff,5.0,0.0,0.0,5.0,0.0
8466d31ffffffff,5.0,0.0,0.0,0.0,2.0
8466d35ffffffff,26.0,0.0,0.0,0.0,0.0
8466de1ffffffff,2.0,0.0,0.0,0.0,0.0
8466de3ffffffff,2.0,0.0,0.0,0.0,0.0
84679a5ffffffff,1.0,0.0,1.0,0.0,0.0
846d21dffffffff,3.0,0.0,0.0,0.0,0.0
846d22bffffffff,2.0,2.0,0.0,0.0,0.0
846d23dffffffff,4.0,0.0,0.0,0.0,0.0
846d295ffffffff,4.0,4.0,0.0,0.0,0.0
846d2b9ffffffff,2.0,0.0,0.0,0.0,0.0
846d2c9ffffffff,1.0,0.0,0.0,0.0,0.0
846d30dffffffff,6.0,4.0,0.0,0.0,0.0
846d319ffffffff,1.0,0.0,0.0,0.0,0.0
846d35dffffffff,5.0,2.0,0.0,0.0,0.0
846d681ffffffff,2.0,0.0,0.0,0.0,0.0
846d68dffffffff,2.0,0.0,0.0,0.0,0.0
846d697ffffffff,3.0,0.0,0.0,0.0,0.0
846d699ffffffff,3.0,0.0,3.0,0.0,0.0
846d69bffffffff,8.0,0.0,6.0,0.0,0.0
846d69dffffffff,6.0,0.0,5.0,0.0,0.0
848a451ffffffff,1.0,0.0,0.0,0.0,0.0
848af09ffffffff,1.0,0.0,0.0,0.0,0.0
848e649ffffffff,2.0,0.0,0.0,0.0,0.0
848f2c3ffffffff,3.0,0.0,0.0,0.0,0.0
848f2cbffffffff,2.0,0.0,0.0,0.0,0.0
848f71bffffffff,1.0,0.0,0.0,0.0,0.0
848f71dffffffff,1.0,0.0,0.0,0.0,0.0
