cell_id,Horornis diphone,Horornis diphone [cantans Group],Horornis diphone diphone
832e08fffffffff,1.0,0.0,0.0
832e0afffffffff,7.0,0.0,0.0
832e0cfffffffff,22.0,0.0,0.0
832e0dfffffffff,91.0,0.0,0.0
832e0efffffffff,3.0,0.0,0.0
832e13fffffffff,15.0,0.0,0.0
832e18fffffffff,1.0,0.0,0.0
832e19fffffffff,5.0,0.0,0.0
832e1afffffffff,24.0,0.0,0.0
832e1bfffffffff,79.0,0.0,0.0
832e1dfffffffff,1.0,0.0,0.0
832e29fffffffff,45.0,0.0,0.0
832e2bfffffffff,4.0,0.0,0.0
832e2dfffffffff,13.0,0.0,0.0
832e44fffffffff,9.0,0.0,0.0
832e46fffffffff,6.0,0.0,0.0
832e60fffffffff,48.0,0.0,0.0
832e61fffffffff,247.0,0.0,0.0
832e62fffffffff,2.0,0.0,0.0
832e63fffffffff,13.0,0.0,0.0
832e64fffffffff,2.0,0.0,0.0
832e65fffffffff,8.0,0.0,0.0
832e66fffffffff,9.0,0.0,0.0
832e68fffffffff,385.0,0.0,0.0
832e69fffffffff,25.0,0.0,0.0
832e6afffffffff,2.0,0.0,0.0
832e6bfffffffff,56.0,0.0,0.0
832e6cfffffffff,33.0,0.0,0.0
832e6dfffffffff,102.0,0.0,0.0
832e6efffffffff,3.0,0.0,0.0
832e70fffffffff,22.0,0.0,0.0
832e71fffffffff,4.0,0.0,0.0
832e72fffffffff,4.0,0.0,0.0
832e74fffffffff,139.0,0.0,0.0
832e75fffffffff,121.0,0.0,0.0
832e76fffffffff,9.0,0.0,0.0
832e88fffffffff,12.0,0.0,0.0
832e89fffffffff,3.0,0.0,0.0
832ea1fffffffff,3.0,0.0,0.0
832ea3fffffffff,3.0,0.0,0.0
832ea8fffffffff,6.0,0.0,0.0
832ea9fffffffff,2.0,0.0,0.0
832eacfffffffff,64.0,0.0,0.0
832eadfffffffff,40.0,0.0,0.0
832ef2fffffffff,2.0,0.0,0.0
832ef4fffffffff,10.0,0.0,0.0
832ef5fffffffff,10.0,0.0,0.0
832ef6fffffffff,40.0,0.0,0.0
832f43fffffffff,31.0,0.0,0.0
832f58fffffffff,25.0,0.0,0.0
832f59fffffffff,1.0,0.0,0.0
832f5afffffffff,423.0,0.0,0.0
832f5bfffffffff,353.0,0.0,0.0
832f5dfffffffff,93.0,1.0,0.0
833019fffffffff,2.0,0.0,0.0
8330c0fffffffff,5.0,0.0,0.0
8330c1fffffffff,8.0,0.0,0.0
8330c2fffffffff,8.0,0.0,0.0
8330c3fffffffff,4.0,0.0,0.0
8330c4fffffffff,4.0,0.0,0.0
8330c6fffffffff,86.0,0.0,0.0
8330cafffffffff,1.0,0.0,0.0
8330cbfffffffff,7.0,0.0,0.0
8330cefffffffff,3.0,0.0,0.0
8330d0fffffffff,32.0,0.0,0.0
8330d1fffffffff,108.0,0.0,0.0
8330d3fffffffff,1.0,0.0,0.0
8330d5fffffffff,3.0,0.0,0.0
8330d8fffffffff,20.0,0.0,0.0
8330d9fffffffff,11.0,0.0,0.0
8330dafffffffff,9.0,0.0,0.0
8330dbfffffffff,3.0,0.0,0.0
8330ddfffffffff,5.0,0.0,0.0
8330e0fffffffff,16.0,0.0,0.0
8330e2fffffffff,73.0,0.0,0.0
8330e3fffffffff,2.0,0.0,0.0
8330e4fffffffff,7.0,0.0,0.0
8330e5fffffffff,10.0,0.0,0.0
8330f3fffffffff,16.0,0.0,0.0
8341b4fffffffff,16.0,0.0,0.0
8341b5fffffffff,4.0,0.0,0.0
834648fffffffff,159.0,0.0,0.0
834649fffffffff,49.0,0.0,0.0
83464bfffffffff,14.0,0.0,0.0
83464efffffffff,1667.0,0.0,0.0
834a24fffffffff,162.0,0.0,0.0
834a26fffffffff,196.0,0.0,0.0
834b0bfffffffff,2.0,0.0,0.0
834b19fffffffff,6.0,0.0,0.0
834b1bfffffffff,8.0,0.0,0.0
834b56fffffffff,42.0,1.0,0.0
834b60fffffffff,12.0,0.0,0.0
834b61fffffffff,3.0,0.0,0.0
834b62fffffffff,56.0,0.0,0.0
834b64fffffffff,37.0,0.0,0.0
834b65fffffffff,39.0,0.0,0.0
834b66fffffffff,38.0,0.0,0.0
834b6dfffffffff,14.0,0.0,0.0
834b71fffffffff,1.0,0.0,0.0
834b73fffffffff,2.0,0.0,0.0
834b75fffffffff,212.0,1.0,0.0
834b84fffffffff,6.0,0.0,0.0
834ba0fffffffff,39.0,0.0,0.0
834ba1fffffffff,78.0,0.0,0.0
834ba2fffffffff,7.0,0.0,0.0
834ba3fffffffff,11.0,0.0,0.0
834ba5fffffffff,141.0,0.0,0.0
834ba6fffffffff,6.0,0.0,0.0
834ba8fffffffff,2.0,0.0,0.0
834bb1fffffffff,9.0,0.0,0.0
834bb5fffffffff,5.0,0.0,0.0
834ec9fffffffff,22.0,0.0,4.0
835d10fffffffff,1571.0,0.0,0.0
835d11fffffffff,12.0,0.0,0.0
835d13fffffffff,374.0,0.0,0.0
835d14fffffffff,217.0,0.0,0.0
835d16fffffffff,27.0,0.0,0.0
