cell_id,Horornis flavolivaceus,Horornis flavolivaceus [vulcanius Group],Horornis flavolivaceus [flavolivaceus Group],Horornis flavolivaceus intricatus/oblitus
843c005ffffffff,2.0,0.0,0.0,0.0
843c00dffffffff,1.0,0.0,1.0,0.0
843c021ffffffff,1.0,0.0,0.0,0.0
843c029ffffffff,65.0,0.0,1.0,0.0
843c02dffffffff,92.0,0.0,0.0,0.0
843c063ffffffff,11.0,0.0,0.0,0.0
843c065ffffffff,2.0,0.0,0.0,0.0
843c067ffffffff,12.0,0.0,0.0,0.0
843c0a3ffffffff,4.0,0.0,0.0,0.0
843c0a5ffffffff,43.0,0.0,0.0,0.0
843c0a9ffffffff,4.0,0.0,0.0,0.0
843c0b5ffffffff,10.0,0.0,0.0,0.0
843c0b7ffffffff,1.0,0.0,0.0,0.0
843c159ffffffff,8.0,0.0,0.0,0.0
843c199ffffffff,17.0,0.0,0.0,0.0
843c1d1ffffffff,41.0,0.0,0.0,0.0
843c1d3ffffffff,111.0,0.0,0.0,0.0
843c1d7ffffffff,4.0,0.0,0.0,0.0
843c1dbffffffff,13.0,0.0,0.0,0.0
843c311ffffffff,1.0,0.0,0.0,0.0
843c315ffffffff,3.0,0.0,0.0,0.0
843c317ffffffff,14.0,0.0,0.0,0.0
843c333ffffffff,2.0,0.0,0.0,0.0
843c335ffffffff,1.0,0.0,0.0,0.0
843c33bffffffff,26.0,0.0,0.0,0.0
843c341ffffffff,2.0,0.0,0.0,0.0
843c581ffffffff,5.0,0.0,0.0,0.0
843c585ffffffff,15.0,0.0,0.0,0.0
843c587ffffffff,1.0,0.0,0.0,0.0
843c595ffffffff,16.0,0.0,0.0,0.0
843cc11ffffffff,4.0,0.0,0.0,0.0
843cc31ffffffff,15.0,0.0,0.0,0.0
843cd8bffffffff,44.0,0.0,0.0,0.0
843ce4bffffffff,18.0,0.0,0.0,0.0
843ce4dffffffff,1.0,0.0,0.0,0.0
843ce51ffffffff,2.0,0.0,0.0,0.0
843ce53ffffffff,2.0,0.0,0.0,0.0
843ce57ffffffff,10.0,0.0,0.0,0.0
843ce59ffffffff,3.0,0.0,0.0,0.0
843ce5bffffffff,4.0,0.0,0.0,0.0
843ce5dffffffff,1.0,0.0,0.0,0.0
843ce83ffffffff,2.0,0.0,0.0,0.0
843ce85ffffffff,16.0,0.0,0.0,0.0
843ce87ffffffff,2.0,0.0,0.0,0.0
843ce95ffffffff,10.0,0.0,0.0,0.0
843cebdffffffff,8.0,0.0,0.0,0.0
843d103ffffffff,11.0,0.0,0.0,0.0
843d107ffffffff,8.0,0.0,0.0,0.0
843d113ffffffff,2.0,0.0,0.0,0.0
843d115ffffffff,12.0,0.0,0.0,0.0
843d117ffffffff,1.0,0.0,0.0,0.0
843d11dffffffff,5.0,0.0,0.0,0.0
843d137ffffffff,39.0,0.0,0.0,0.0
843d139ffffffff,10.0,0.0,0.0,0.0
843d13bffffffff,3.0,0.0,0.0,0.0
843d1a9ffffffff,36.0,0.0,0.0,0.0
843d1adffffffff,3.0,0.0,0.0,0.0
843d1e7ffffffff,73.0,0.0,0.0,0.0
843d1e9ffffffff,5.0,0.0,0.0,0.0
843d1edffffffff,134.0,0.0,0.0,0.0
843dad1ffffffff,248.0,0.0,0.0,0.0
843dad9ffffffff,37.0,0.0,0.0,0.0
843dadbffffffff,2.0,0.0,0.0,0.0
843daddffffffff,29.0,0.0,0.0,0.0
8440403ffffffff,2.0,0.0,0.0,0.0
8440439ffffffff,10.0,0.0,0.0,0.0
8440447ffffffff,3.0,0.0,0.0,0.0
84404c1ffffffff,5.0,0.0,0.0,0.0
84404c5ffffffff,4.0,0.0,0.0,0.0
84404c7ffffffff,2.0,0.0,0.0,0.0
84404ddffffffff,3.0,0.0,0.0,0.0
84404edffffffff,2.0,0.0,0.0,0.0
84405c1ffffffff,1.0,0.0,0.0,0.0
8440711ffffffff,2.0,0.0,0.0,0.0
8440c27ffffffff,2.0,0.0,0.0,0.0
8440c41ffffffff,2.0,0.0,0.0,0.0
8440c59ffffffff,13.0,0.0,0.0,0.0
8440c63ffffffff,10.0,0.0,0.0,7.0
8440c6dffffffff,11.0,0.0,0.0,2.0
8440e11ffffffff,14.0,0.0,0.0,2.0
8440e13ffffffff,117.0,0.0,0.0,5.0
8440e37ffffffff,3.0,0.0,0.0,1.0
8440e3dffffffff,1.0,0.0,0.0,0.0
8440e5bffffffff,4.0,0.0,0.0,0.0
8440ec1ffffffff,10.0,0.0,0.0,0.0
8440ec5ffffffff,17.0,0.0,0.0,0.0
8440ec7ffffffff,2.0,0.0,0.0,0.0
8440ee5ffffffff,17.0,0.0,0.0,0.0
8440eebffffffff,31.0,0.0,0.0,1.0
8441593ffffffff,7.0,0.0,0.0,0.0
8464825ffffffff,9.0,0.0,0.0,6.0
8464827ffffffff,2.0,0.0,0.0,2.0
846482bffffffff,22.0,0.0,0.0,2.0
8464901ffffffff,4.0,0.0,0.0,4.0
8464909ffffffff,3.0,0.0,0.0,3.0
8464911ffffffff,302.0,0.0,0.0,129.0
846491bffffffff,1.0,0.0,0.0,0.0
8464983ffffffff,2.0,0.0,0.0,0.0
8465099ffffffff,1.0,1.0,0.0,0.0
84652d9ffffffff,3.0,3.0,0.0,0.0
8465545ffffffff,21.0,21.0,0.0,0.0
8465561ffffffff,1.0,1.0,0.0,0.0
846556bffffffff,19.0,15.0,0.0,0.0
8468111ffffffff,2.0,1.0,0.0,0.0
8468115ffffffff,3.0,3.0,0.0,0.0
8468119ffffffff,808.0,755.0,0.0,0.0
846811bffffffff,18.0,16.0,0.0,0.0
8468123ffffffff,1.0,1.0,0.0,0.0
8468a47ffffffff,2.0,2.0,0.0,0.0
848c101ffffffff,25.0,25.0,0.0,0.0
848c147ffffffff,22.0,22.0,0.0,0.0
848c16bffffffff,3.0,3.0,0.0,0.0
848cd0bffffffff,26.0,26.0,0.0,0.0
848cd55ffffffff,1.0,1.0,0.0,0.0
848d84bffffffff,5.0,4.0,0.0,0.0
