cell_id,Hydrobates castro,Hydrobates castro castro,Hydrobates castro [undescribed form],Hydrobates castro bangsi
8426497ffffffff,2.0,0.0,0.0,0.0
84264b9ffffffff,10.0,0.0,0.0,0.0
84265d9ffffffff,10.0,0.0,0.0,0.0
8428355ffffffff,4.0,0.0,0.0,0.0
842a001ffffffff,5.0,0.0,0.0,0.0
842a003ffffffff,1.0,0.0,0.0,0.0
842a005ffffffff,6.0,0.0,0.0,0.0
842a007ffffffff,6.0,0.0,0.0,0.0
842a00bffffffff,162.0,0.0,0.0,0.0
842a01bffffffff,1.0,0.0,0.0,0.0
842a01dffffffff,2.0,0.0,0.0,0.0
842a021ffffffff,8.0,0.0,0.0,0.0
842a023ffffffff,117.0,0.0,0.0,0.0
842a02bffffffff,1.0,0.0,0.0,0.0
842a037ffffffff,2.0,0.0,0.0,0.0
842a043ffffffff,5.0,0.0,0.0,0.0
842a051ffffffff,120.0,0.0,0.0,0.0
842a055ffffffff,86.0,0.0,0.0,0.0
842a059ffffffff,59.0,0.0,0.0,0.0
842a06dffffffff,1.0,0.0,0.0,0.0
842a101ffffffff,2.0,0.0,0.0,0.0
842a103ffffffff,1.0,0.0,0.0,0.0
842a10bffffffff,2.0,0.0,0.0,0.0
842a113ffffffff,4.0,0.0,0.0,0.0
842a117ffffffff,12.0,0.0,0.0,0.0
842a181ffffffff,39.0,0.0,0.0,0.0
842a185ffffffff,282.0,0.0,0.0,0.0
842a187ffffffff,86.0,0.0,0.0,0.0
842a18dffffffff,113.0,0.0,0.0,0.0
842a1a1ffffffff,3.0,0.0,0.0,0.0
842a1a3ffffffff,7.0,5.0,0.0,0.0
842a1a9ffffffff,6.0,0.0,0.0,0.0
842a1abffffffff,13.0,0.0,0.0,0.0
842a1b5ffffffff,2.0,0.0,0.0,0.0
842a1bdffffffff,10.0,0.0,0.0,0.0
842a1c1ffffffff,67.0,0.0,0.0,0.0
842a1c7ffffffff,9.0,0.0,0.0,0.0
842a1c9ffffffff,192.0,0.0,0.0,0.0
842a1cbffffffff,61.0,0.0,0.0,0.0
842a1cdffffffff,25.0,0.0,0.0,0.0
842a231ffffffff,2.0,0.0,0.0,0.0
842a2e5ffffffff,2.0,0.0,0.0,0.0
842a2edffffffff,2.0,0.0,0.0,0.0
842a311ffffffff,3.0,0.0,0.0,0.0
842a313ffffffff,4.0,0.0,0.0,0.0
