cell_id,Hylophilus amaurocephalus,Hylophilus amaurocephalus [undescribed Beni form]
8480021ffffffff,4.0,0.0
8480061ffffffff,9.0,0.0
8480101ffffffff,5.0,0.0
8480105ffffffff,5.0,0.0
8480107ffffffff,20.0,0.0
8480109ffffffff,5.0,0.0
848010dffffffff,2.0,0.0
8480115ffffffff,3.0,0.0
848011bffffffff,8.0,0.0
8480139ffffffff,7.0,0.0
8480155ffffffff,2.0,0.0
8480163ffffffff,2.0,0.0
8480165ffffffff,3.0,0.0
848024dffffffff,3.0,0.0
8480301ffffffff,27.0,0.0
8480309ffffffff,70.0,0.0
848030dffffffff,33.0,0.0
8480359ffffffff,1.0,0.0
8480363ffffffff,29.0,0.0
8481003ffffffff,1.0,0.0
8481005ffffffff,54.0,0.0
8481007ffffffff,2.0,0.0
8481023ffffffff,9.0,0.0
8481027ffffffff,1.0,0.0
8481029ffffffff,8.0,0.0
848102dffffffff,1.0,0.0
8481049ffffffff,12.0,0.0
8481061ffffffff,2.0,0.0
8481063ffffffff,28.0,0.0
8481129ffffffff,7.0,0.0
848112bffffffff,1.0,0.0
848114bffffffff,2.0,0.0
8481161ffffffff,1.0,0.0
8481189ffffffff,2.0,0.0
84811c5ffffffff,2.0,0.0
84811e1ffffffff,9.0,0.0
84811e9ffffffff,3.0,0.0
8481211ffffffff,6.0,0.0
8481215ffffffff,2.0,0.0
8481241ffffffff,3.0,0.0
8481245ffffffff,54.0,0.0
848124bffffffff,49.0,0.0
848124dffffffff,137.0,0.0
84812c9ffffffff,1.0,0.0
8481303ffffffff,13.0,0.0
848131dffffffff,6.0,0.0
8481331ffffffff,5.0,0.0
8481339ffffffff,125.0,0.0
8481363ffffffff,3.0,0.0
8481811ffffffff,4.0,0.0
8481819ffffffff,2.0,0.0
848181dffffffff,4.0,0.0
8481833ffffffff,5.0,0.0
8481839ffffffff,1.0,0.0
848183bffffffff,2.0,0.0
8481857ffffffff,44.0,0.0
848185bffffffff,2.0,0.0
8481885ffffffff,2.0,0.0
848188dffffffff,2.0,0.0
84818a7ffffffff,10.0,0.0
84818bbffffffff,2.0,0.0
84818c3ffffffff,4.0,0.0
84818c7ffffffff,2.0,0.0
84818dbffffffff,2.0,0.0
84818e1ffffffff,38.0,0.0
84818e7ffffffff,1.0,0.0
8481999ffffffff,2.0,0.0
84819d1ffffffff,5.0,0.0
84819d3ffffffff,18.0,0.0
84819dbffffffff,3.0,0.0
8481a13ffffffff,1.0,0.0
8481a93ffffffff,2.0,0.0
8481aa3ffffffff,8.0,0.0
8481aa7ffffffff,1.0,0.0
8481aadffffffff,3.0,0.0
8481ac3ffffffff,5.0,0.0
8481ad1ffffffff,21.0,0.0
8481ad5ffffffff,8.0,0.0
8481ad9ffffffff,2.0,0.0
84a5969ffffffff,1.0,0.0
84a802dffffffff,2.0,0.0
84a8035ffffffff,2.0,0.0
84a8067ffffffff,2.0,0.0
84a80e1ffffffff,1.0,0.0
84a8101ffffffff,1.0,0.0
84a8105ffffffff,2.0,0.0
84a8107ffffffff,4.0,0.0
84a8115ffffffff,16.0,0.0
84a8119ffffffff,7.0,0.0
84a8123ffffffff,1.0,0.0
84a8131ffffffff,15.0,0.0
84a8133ffffffff,1.0,0.0
84a8137ffffffff,2.0,0.0
84a8139ffffffff,2.0,0.0
84a813bffffffff,3.0,0.0
84a8157ffffffff,5.0,0.0
84a815bffffffff,3.0,0.0
84a8181ffffffff,2.0,0.0
84a818dffffffff,3.0,0.0
84a8195ffffffff,2.0,0.0
84a81a5ffffffff,1.0,0.0
84a81c7ffffffff,8.0,0.0
84a81cdffffffff,48.0,0.0
84a81e7ffffffff,13.0,0.0
84a81e9ffffffff,56.0,0.0
84a81ebffffffff,13.0,0.0
84a8805ffffffff,59.0,0.0
84a8807ffffffff,8.0,0.0
84a8809ffffffff,2.0,0.0
84a880dffffffff,11.0,0.0
84a8811ffffffff,179.0,0.0
84a8813ffffffff,10.0,0.0
84a8815ffffffff,1.0,0.0
84a8817ffffffff,4.0,0.0
84a8819ffffffff,29.0,0.0
84a881bffffffff,169.0,0.0
84a8821ffffffff,5.0,0.0
84a8825ffffffff,5.0,0.0
84a882dffffffff,5.0,0.0
84a883bffffffff,2.0,0.0
84a8849ffffffff,91.0,0.0
84a884bffffffff,3.0,0.0
84a884dffffffff,1.0,0.0
84a8853ffffffff,8.0,0.0
84a8857ffffffff,29.0,0.0
84a885bffffffff,6.0,0.0
84a8863ffffffff,5.0,0.0
84a8895ffffffff,4.0,0.0
84a8897ffffffff,1.0,0.0
84a88a3ffffffff,2.0,0.0
84a88a9ffffffff,9.0,0.0
84a88adffffffff,2.0,0.0
84a88b1ffffffff,3.0,0.0
84a88b7ffffffff,1.0,0.0
84a88bbffffffff,2.0,0.0
84a88c1ffffffff,1.0,0.0
84a88c3ffffffff,3.0,0.0
84a88c9ffffffff,3.0,0.0
84a88cdffffffff,9.0,0.0
84a88ddffffffff,6.0,0.0
84a88e1ffffffff,1.0,0.0
84a88e3ffffffff,2.0,0.0
84a88e9ffffffff,49.0,0.0
84a8919ffffffff,3.0,0.0
84a8953ffffffff,2.0,0.0
84a8993ffffffff,2.0,0.0
84a89b3ffffffff,3.0,0.0
84a8a13ffffffff,1.0,0.0
84a8a15ffffffff,1.0,0.0
84a8a23ffffffff,20.0,0.0
84a8a31ffffffff,7.0,0.0
