cell_id,Icterus cucullatus,Icterus cucullatus cucullatus/sennetti,Icterus cucullatus [nelsoni Group],Icterus cucullatus igneus
84129bbffffffff,6.0,0.0,0.0,0.0
8413829ffffffff,1.0,0.0,0.0,0.0
84139edffffffff,7.0,0.0,0.0,0.0
84268c5ffffffff,16.0,0.0,0.0,0.0
84268cdffffffff,20.0,0.0,0.0,0.0
8426945ffffffff,3.0,0.0,0.0,0.0
842696bffffffff,28.0,0.0,1.0,0.0
8426987ffffffff,3.0,0.0,0.0,0.0
8426989ffffffff,2.0,0.0,0.0,0.0
84269c5ffffffff,8.0,0.0,0.0,0.0
8426cb9ffffffff,1.0,0.0,0.0,0.0
8426e43ffffffff,11.0,0.0,0.0,0.0
8426e5bffffffff,6.0,0.0,0.0,0.0
8427435ffffffff,3.0,0.0,0.0,0.0
8427699ffffffff,2.0,0.0,0.0,0.0
8428023ffffffff,7.0,0.0,0.0,0.0
842802bffffffff,13.0,0.0,0.0,0.0
8428123ffffffff,4.0,0.0,0.0,0.0
8428141ffffffff,5.0,0.0,0.0,0.0
8428143ffffffff,2.0,0.0,0.0,0.0
842814bffffffff,3.0,0.0,0.0,0.0
8428157ffffffff,5.0,0.0,0.0,0.0
8428183ffffffff,2.0,0.0,0.0,0.0
8428195ffffffff,5.0,0.0,0.0,0.0
84281c3ffffffff,3.0,0.0,0.0,0.0
84281cbffffffff,2.0,0.0,0.0,0.0
84281d5ffffffff,3.0,0.0,0.0,0.0
8428301ffffffff,11.0,0.0,0.0,0.0
8428303ffffffff,2.0,0.0,0.0,0.0
8428305ffffffff,11.0,0.0,0.0,0.0
8428307ffffffff,20.0,0.0,0.0,0.0
8428309ffffffff,103.0,0.0,0.0,0.0
842830bffffffff,2.0,0.0,2.0,0.0
842830dffffffff,30.0,0.0,0.0,0.0
8428321ffffffff,11.0,0.0,0.0,0.0
8428323ffffffff,29.0,0.0,0.0,0.0
8428327ffffffff,13.0,0.0,4.0,0.0
8428329ffffffff,10.0,0.0,0.0,0.0
842832bffffffff,39.0,0.0,0.0,0.0
842832dffffffff,2.0,0.0,0.0,0.0
842833bffffffff,2.0,0.0,0.0,0.0
8428341ffffffff,4.0,0.0,0.0,0.0
8428343ffffffff,7.0,0.0,0.0,0.0
8428345ffffffff,4.0,0.0,0.0,0.0
8428347ffffffff,12.0,0.0,0.0,0.0
842834dffffffff,21.0,0.0,6.0,0.0
8428355ffffffff,18.0,0.0,0.0,0.0
8428357ffffffff,9.0,0.0,0.0,0.0
8428361ffffffff,11.0,0.0,0.0,0.0
8428363ffffffff,77.0,0.0,0.0,0.0
8428365ffffffff,11.0,0.0,0.0,0.0
842836bffffffff,14.0,0.0,0.0,0.0
8428843ffffffff,1.0,0.0,0.0,0.0
842895dffffffff,2.0,0.0,0.0,0.0
8428a11ffffffff,6.0,0.0,0.0,0.0
8428a91ffffffff,1.0,0.0,0.0,0.0
8428ae3ffffffff,3.0,0.0,0.0,0.0
8428b3bffffffff,1.0,0.0,0.0,0.0
8428c61ffffffff,2.0,0.0,0.0,0.0
8428c6dffffffff,46.0,0.0,0.0,0.0
8428d13ffffffff,6.0,0.0,0.0,0.0
8428d55ffffffff,2.0,0.0,0.0,0.0
8428dc9ffffffff,24.0,0.0,0.0,0.0
8428f0bffffffff,14.0,0.0,0.0,0.0
8428f11ffffffff,15.0,0.0,0.0,0.0
8428f1dffffffff,46.0,0.0,0.0,0.0
8428f4bffffffff,6.0,0.0,0.0,0.0
8428f59ffffffff,4.0,0.0,0.0,0.0
8429123ffffffff,2.0,0.0,0.0,0.0
8429125ffffffff,12.0,0.0,0.0,0.0
8429127ffffffff,33.0,0.0,0.0,0.0
84291a7ffffffff,3.0,0.0,0.0,0.0
8429841ffffffff,3.0,0.0,0.0,0.0
8429855ffffffff,10.0,0.0,0.0,0.0
8429891ffffffff,36.0,0.0,0.0,0.0
8429893ffffffff,2.0,0.0,0.0,0.0
8429899ffffffff,6.0,0.0,0.0,0.0
84298c1ffffffff,1.0,0.0,0.0,0.0
84298c9ffffffff,14.0,0.0,1.0,0.0
84298cbffffffff,19.0,0.0,0.0,0.0
84298cdffffffff,7.0,0.0,0.0,0.0
84298d7ffffffff,4.0,0.0,0.0,0.0
84298ddffffffff,8.0,0.0,0.0,0.0
842994bffffffff,3.0,0.0,0.0,0.0
8429951ffffffff,7.0,0.0,0.0,0.0
8429957ffffffff,3.0,0.0,0.0,0.0
8429963ffffffff,12.0,0.0,0.0,0.0
842996bffffffff,17.0,0.0,0.0,0.0
8429a01ffffffff,29.0,0.0,1.0,0.0
8429a03ffffffff,7.0,0.0,0.0,0.0
8429a05ffffffff,38.0,0.0,1.0,0.0
8429a09ffffffff,11.0,0.0,4.0,0.0
8429a0bffffffff,24.0,0.0,3.0,0.0
8429a0dffffffff,14.0,0.0,1.0,0.0
