cell_id,Jacana jacana,Jacana jacana hypomelaena,Jacana jacana [jacana Group]
845e5d3ffffffff,2.0,0.0,0.0
845e667ffffffff,11.0,0.0,0.0
845f095ffffffff,2.0,0.0,2.0
845f1cbffffffff,1.0,0.0,1.0
845f583ffffffff,7.0,0.0,7.0
845f58bffffffff,2.0,0.0,0.0
845f5b5ffffffff,2.0,0.0,0.0
845f5bdffffffff,3.0,0.0,0.0
8466119ffffffff,2.0,2.0,0.0
8466129ffffffff,2.0,0.0,0.0
8466203ffffffff,2.0,0.0,0.0
8466221ffffffff,5.0,5.0,0.0
8466223ffffffff,1.0,1.0,0.0
846631bffffffff,2.0,0.0,0.0
8466569ffffffff,2.0,0.0,0.0
846675dffffffff,2.0,0.0,0.0
8466a39ffffffff,10.0,0.0,0.0
8466b09ffffffff,1.0,0.0,0.0
8466b0bffffffff,2.0,0.0,0.0
8466b19ffffffff,8.0,0.0,0.0
8466b45ffffffff,6.0,0.0,0.0
8466b4dffffffff,43.0,4.0,0.0
8466b53ffffffff,4.0,0.0,0.0
8466b55ffffffff,1.0,0.0,0.0
8466b57ffffffff,18.0,0.0,0.0
8466b5bffffffff,2.0,0.0,0.0
8466c21ffffffff,1.0,0.0,0.0
8466c37ffffffff,1.0,0.0,0.0
8466dc3ffffffff,1.0,0.0,0.0
8466e39ffffffff,1.0,0.0,1.0
8466e57ffffffff,3.0,0.0,3.0
8466e63ffffffff,1.0,0.0,0.0
8466e69ffffffff,1.0,0.0,0.0
8466f1dffffffff,2.0,0.0,0.0
846742dffffffff,13.0,0.0,2.0
846743dffffffff,8.0,0.0,3.0
8467461ffffffff,27.0,0.0,0.0
84674cdffffffff,6.0,0.0,0.0
84674edffffffff,3.0,0.0,0.0
8467599ffffffff,2.0,0.0,2.0
84675b3ffffffff,4.0,0.0,0.0
84675b7ffffffff,1.0,0.0,0.0
84675cbffffffff,2.0,0.0,0.0
846769bffffffff,2.0,0.0,0.0
84679b7ffffffff,4.0,0.0,0.0
84814edffffffff,2.0,0.0,2.0
848a2edffffffff,2.0,0.0,1.0
848a451ffffffff,3.0,0.0,0.0
848aab3ffffffff,2.0,0.0,0.0
848af41ffffffff,1.0,0.0,1.0
848af49ffffffff,1.0,0.0,0.0
848b08bffffffff,3.0,0.0,0.0
848b205ffffffff,1.0,0.0,1.0
848b221ffffffff,2.0,0.0,2.0
848b22dffffffff,4.0,0.0,4.0
848b617ffffffff,4.0,0.0,0.0
848b713ffffffff,2.0,0.0,2.0
848b72dffffffff,6.0,0.0,0.0
848b745ffffffff,5.0,0.0,0.0
848f095ffffffff,2.0,0.0,0.0
848f401ffffffff,9.0,0.0,9.0
848f461ffffffff,5.0,0.0,5.0
848f4c7ffffffff,7.0,0.0,0.0
84a9187ffffffff,1.0,0.0,0.0
84a91d5ffffffff,2.0,0.0,0.0
84a92c5ffffffff,1.0,0.0,0.0
84a9411ffffffff,1.0,0.0,0.0
84a953bffffffff,2.0,0.0,2.0
84a9611ffffffff,7.0,0.0,0.0
84a9613ffffffff,50.0,0.0,0.0
84a9617ffffffff,36.0,0.0,0.0
84a9619ffffffff,9.0,0.0,0.0
84a962bffffffff,3.0,0.0,3.0
84a9653ffffffff,31.0,0.0,0.0
84a96adffffffff,6.0,0.0,0.0
84a96c5ffffffff,2.0,0.0,0.0
84a96c9ffffffff,2.0,0.0,0.0
84a96e9ffffffff,1.0,0.0,0.0
84b248bffffffff,3.0,0.0,0.0
84b2491ffffffff,1.0,0.0,0.0
84b2493ffffffff,3.0,0.0,0.0
84b2499ffffffff,19.0,0.0,0.0
84b249bffffffff,20.0,0.0,0.0
84b249dffffffff,6.0,0.0,0.0
84b24adffffffff,1.0,0.0,0.0
84b24bbffffffff,2.0,0.0,0.0
84b24d1ffffffff,62.0,0.0,0.0
84b24d3ffffffff,285.0,0.0,0.0
84b24d7ffffffff,5.0,0.0,0.0
84b24d9ffffffff,4.0,0.0,0.0
84b24dbffffffff,149.0,0.0,0.0
84b24e5ffffffff,1.0,0.0,0.0
84b25cdffffffff,10.0,0.0,0.0
84b25d5ffffffff,2.0,0.0,0.0
84b262dffffffff,4.0,0.0,0.0
84b2681ffffffff,3.0,0.0,0.0
84b2683ffffffff,2.0,0.0,0.0
84b2687ffffffff,2.0,0.0,0.0
84b2689ffffffff,4.0,0.0,0.0
84b268bffffffff,32.0,0.0,0.0
84b268dffffffff,2.0,0.0,0.0
84b2691ffffffff,35.0,0.0,0.0
84b2693ffffffff,28.0,0.0,0.0
84b2695ffffffff,11.0,0.0,0.0
84b2697ffffffff,4.0,0.0,0.0
84b2699ffffffff,2.0,0.0,0.0
84b269bffffffff,15.0,0.0,0.0
84b269dffffffff,19.0,0.0,0.0
84b26b1ffffffff,18.0,0.0,0.0
84b26b3ffffffff,16.0,0.0,0.0
84b26b7ffffffff,2.0,0.0,0.0
84b26b9ffffffff,13.0,0.0,0.0
84b26bbffffffff,2.0,0.0,0.0
84b26bdffffffff,47.0,0.0,0.0
84b26d1ffffffff,8.0,0.0,0.0
84b26d5ffffffff,2.0,0.0,0.0
84b26d7ffffffff,96.0,0.0,0.0
84b26ddffffffff,18.0,0.0,0.0
84b26e3ffffffff,2.0,0.0,0.0
84b2c5dffffffff,1.0,0.0,0.0
84b366dffffffff,3.0,0.0,0.0
84c2c53ffffffff,2.0,0.0,2.0
84c2c5bffffffff,11.0,0.0,3.0
84c2c91ffffffff,29.0,0.0,0.0
84c2c93ffffffff,6.0,0.0,0.0
84c2c95ffffffff,4.0,0.0,0.0
84c2c97ffffffff,64.0,0.0,0.0
84c2c99ffffffff,82.0,0.0,0.0
84c2cbbffffffff,2.0,0.0,0.0
84c2cd3ffffffff,279.0,0.0,0.0
84c2d09ffffffff,11.0,0.0,0.0
84c2d5dffffffff,1.0,0.0,0.0
84c2ddbffffffff,2.0,0.0,0.0
84c2e07ffffffff,3.0,0.0,0.0
84c2e21ffffffff,3.0,0.0,3.0
84c2e31ffffffff,13.0,0.0,4.0
84c2e91ffffffff,2.0,0.0,0.0
84c2e99ffffffff,7.0,0.0,0.0
84c2e9bffffffff,2.0,0.0,0.0
84c2eb9ffffffff,7.0,0.0,0.0
84c2ebbffffffff,17.0,0.0,0.0
84c2f15ffffffff,10.0,0.0,0.0
84c2f37ffffffff,1.0,0.0,0.0
84c34b7ffffffff,2.0,0.0,0.0
84c34bdffffffff,2.0,0.0,0.0
84ce931ffffffff,11.0,0.0,0.0
