cell_id,Kleinothraupis atropileus,Kleinothraupis atropileus atropileus,Kleinothraupis atropileus auricularis
836608fffffffff,23.0,0.0,0.0
836609fffffffff,5.0,0.0,0.0
83660bfffffffff,15.0,0.0,0.0
83660cfffffffff,20.0,2.0,0.0
83660dfffffffff,8.0,1.0,0.0
836618fffffffff,325.0,5.0,0.0
836619fffffffff,201.0,0.0,0.0
83661bfffffffff,903.0,39.0,0.0
83661dfffffffff,9.0,1.0,0.0
8366c0fffffffff,5.0,0.0,0.0
8366c2fffffffff,13.0,0.0,0.0
8366c4fffffffff,5.0,0.0,0.0
8366c6fffffffff,141.0,0.0,0.0
8366d0fffffffff,1.0,0.0,0.0
8366d1fffffffff,7.0,1.0,0.0
8366d3fffffffff,34.0,0.0,0.0
8366d5fffffffff,5.0,2.0,0.0
8366defffffffff,924.0,173.0,0.0
8366e0fffffffff,231.0,0.0,0.0
8366e2fffffffff,2.0,0.0,0.0
8366e4fffffffff,109.0,6.0,0.0
8366e5fffffffff,93.0,4.0,0.0
8366e6fffffffff,2450.0,79.0,0.0
8366f0fffffffff,3.0,0.0,0.0
8366f1fffffffff,60.0,0.0,0.0
8366f3fffffffff,1.0,0.0,0.0
8366f5fffffffff,89.0,0.0,0.0
838b61fffffffff,315.0,0.0,33.0
838b6cfffffffff,164.0,0.0,17.0
838e61fffffffff,6.0,0.0,0.0
838e64fffffffff,6.0,0.0,0.0
838e65fffffffff,64.0,0.0,0.0
838e6cfffffffff,8.0,0.0,0.0
838e6dfffffffff,5.0,0.0,0.0
838f0dfffffffff,2.0,0.0,0.0
838f29fffffffff,3.0,0.0,0.0
838f2dfffffffff,3.0,0.0,0.0
838f42fffffffff,19.0,0.0,2.0
838f46fffffffff,18.0,0.0,2.0
838f4afffffffff,37.0,0.0,3.0
838f54fffffffff,21.0,0.0,0.0
838f55fffffffff,99.0,0.0,10.0
838f59fffffffff,106.0,0.0,17.0
838f5cfffffffff,6.0,0.0,0.0
838f5dfffffffff,5.0,0.0,0.0
838f70fffffffff,2.0,0.0,0.0
838f72fffffffff,293.0,60.0,0.0
838f73fffffffff,44.0,0.0,0.0
838f74fffffffff,2.0,0.0,0.0
838f76fffffffff,20.0,7.0,0.0
