cell_id,Knipolegus orenocensis,Knipolegus orenocensis orenocensis/xinguensis,Knipolegus orenocensis sclateri
835f41fffffffff,2.0,0.0,0.0
835f45fffffffff,1.0,0.0,0.0
836641fffffffff,40.0,0.0,0.0
836645fffffffff,7.0,0.0,0.0
836662fffffffff,3.0,0.0,0.0
836663fffffffff,3.0,0.0,0.0
836664fffffffff,7.0,0.0,0.0
836674fffffffff,2.0,0.0,0.0
836675fffffffff,37.0,2.0,0.0
8366dcfffffffff,46.0,0.0,0.0
8366ddfffffffff,2.0,0.0,0.0
8366eefffffffff,2.0,0.0,0.0
83675bfffffffff,3.0,0.0,0.0
838145fffffffff,9.0,9.0,0.0
838163fffffffff,40.0,13.0,0.0
838a45fffffffff,32.0,0.0,0.0
838a68fffffffff,4.0,0.0,0.0
838a69fffffffff,8.0,0.0,0.0
838a6dfffffffff,72.0,0.0,0.0
838a6efffffffff,1.0,0.0,0.0
838a80fffffffff,3.0,0.0,0.0
838a8cfffffffff,1.0,0.0,0.0
838a92fffffffff,1.0,0.0,0.0
838aabfffffffff,6.0,0.0,0.0
838ae5fffffffff,1.0,0.0,0.0
838af0fffffffff,1.0,0.0,0.0
838af1fffffffff,1.0,0.0,0.0
838af6fffffffff,139.0,0.0,5.0
838f44fffffffff,2.0,0.0,0.0
838f61fffffffff,5.0,0.0,0.0
83a859fffffffff,1.0,0.0,0.0
83a8cdfffffffff,1.0,0.0,0.0
