cell_id,Lanius cristatus,Lanius cristatus cristatus/confusus,Lanius cristatus superciliosus,Lanius cristatus lucionensis
820897fffffffff,4.0,2.0,0.0,0.0
82089ffffffffff,5.0,1.0,0.0,0.0
8209a7fffffffff,2.0,0.0,0.0,0.0
820ca7fffffffff,9.0,0.0,0.0,0.0
82158ffffffffff,2.0,0.0,0.0,0.0
821597fffffffff,1.0,0.0,0.0,0.0
82159ffffffffff,27.0,27.0,0.0,0.0
821877fffffffff,8.0,0.0,0.0,0.0
82192ffffffffff,1.0,0.0,0.0,0.0
821947fffffffff,22.0,1.0,0.0,0.0
82194ffffffffff,6.0,0.0,0.0,2.0
82195ffffffffff,8.0,2.0,0.0,0.0
821977fffffffff,6.0,0.0,0.0,0.0
821eb7fffffffff,2.0,0.0,0.0,0.0
821f27fffffffff,2.0,1.0,0.0,0.0
821fa7fffffffff,2.0,0.0,0.0,0.0
8222dffffffffff,1.0,0.0,0.0,0.0
82240ffffffffff,4.0,0.0,0.0,2.0
82244ffffffffff,2.0,0.0,0.0,0.0
822457fffffffff,4.0,0.0,0.0,0.0
822467fffffffff,11.0,1.0,0.0,0.0
82248ffffffffff,2.0,0.0,0.0,0.0
82249ffffffffff,1.0,0.0,0.0,0.0
822517fffffffff,4.0,4.0,0.0,0.0
82255ffffffffff,6.0,4.0,0.0,0.0
822807fffffffff,70.0,2.0,0.0,0.0
822837fffffffff,13.0,0.0,0.0,0.0
8228d7fffffffff,4.0,0.0,0.0,0.0
822b0ffffffffff,3.0,0.0,0.0,0.0
822c97fffffffff,12.0,0.0,0.0,0.0
82301ffffffffff,1.0,1.0,0.0,0.0
823037fffffffff,2.0,0.0,0.0,0.0
82309ffffffffff,33.0,0.0,0.0,0.0
8230e7fffffffff,2.0,0.0,0.0,0.0
82318ffffffffff,4.0,0.0,0.0,0.0
8231b7fffffffff,2.0,0.0,0.0,0.0
823927fffffffff,19.0,2.0,0.0,0.0
823977fffffffff,2.0,0.0,0.0,0.0
823c07fffffffff,2.0,0.0,0.0,0.0
823c0ffffffffff,4.0,0.0,0.0,0.0
823c17fffffffff,4.0,4.0,0.0,0.0
823c1ffffffffff,46.0,8.0,0.0,0.0
823c37fffffffff,7.0,0.0,0.0,0.0
823c57fffffffff,2.0,0.0,0.0,0.0
823c5ffffffffff,5.0,0.0,0.0,0.0
823c8ffffffffff,10.0,2.0,0.0,0.0
823c97fffffffff,3.0,0.0,0.0,0.0
823c9ffffffffff,2.0,0.0,0.0,0.0
823caffffffffff,7.0,0.0,0.0,0.0
823cc7fffffffff,14.0,0.0,0.0,3.0
823cd7fffffffff,3.0,0.0,0.0,3.0
823ce7fffffffff,11.0,3.0,0.0,0.0
823ceffffffffff,19.0,2.0,0.0,0.0
823cf7fffffffff,113.0,2.0,0.0,18.0
823d17fffffffff,5.0,0.0,0.0,0.0
823d37fffffffff,4.0,0.0,0.0,0.0
823d87fffffffff,20.0,0.0,0.0,0.0
823d8ffffffffff,38.0,0.0,0.0,0.0
823da7fffffffff,58.0,2.0,0.0,0.0
823daffffffffff,10.0,4.0,0.0,0.0
823db7fffffffff,1.0,0.0,0.0,0.0
824067fffffffff,2.0,0.0,0.0,2.0
8240b7fffffffff,2.0,0.0,0.0,0.0
82411ffffffffff,5.0,2.0,0.0,0.0
824137fffffffff,5.0,0.0,0.0,0.0
8241a7fffffffff,4.0,0.0,0.0,1.0
8241b7fffffffff,35.0,3.0,0.0,1.0
8242c7fffffffff,97.0,1.0,0.0,0.0
8242cffffffffff,30.0,0.0,0.0,0.0
8242d7fffffffff,2.0,0.0,0.0,0.0
8242dffffffffff,12.0,0.0,0.0,0.0
8242e7fffffffff,7.0,0.0,0.0,0.0
8242effffffffff,11.0,0.0,0.0,0.0
82431ffffffffff,6.0,0.0,0.0,0.0
8243affffffffff,15.0,9.0,0.0,0.0
824b87fffffffff,33.0,0.0,0.0,0.0
824b9ffffffffff,1.0,0.0,0.0,0.0
824ba7fffffffff,112.0,0.0,1.0,8.0
824bb7fffffffff,114.0,4.0,0.0,2.0
82524ffffffffff,2.0,0.0,0.0,0.0
826007fffffffff,47.0,1.0,0.0,15.0
826017fffffffff,144.0,13.0,0.0,34.0
82601ffffffffff,2.0,0.0,0.0,2.0
826027fffffffff,75.0,0.0,0.0,25.0
826037fffffffff,160.0,27.0,0.0,40.0
826087fffffffff,2.0,0.0,0.0,0.0
82608ffffffffff,21.0,0.0,0.0,0.0
826097fffffffff,3.0,0.0,0.0,0.0
