cell_id,Lanius senator,Lanius senator senator,Lanius senator badius,Lanius senator niloticus
840886bffffffff,1.0,0.0,0.0,0.0
8408965ffffffff,2.0,0.0,0.0,0.0
84099b9ffffffff,7.0,0.0,0.0,0.0
8409a47ffffffff,14.0,0.0,0.0,0.0
8409a55ffffffff,6.0,4.0,0.0,0.0
841828bffffffff,3.0,1.0,0.0,0.0
8418461ffffffff,2.0,0.0,0.0,0.0
8418495ffffffff,11.0,0.0,0.0,0.0
84184b9ffffffff,2.0,0.0,0.0,0.0
84185b5ffffffff,2.0,0.0,0.0,0.0
84185bbffffffff,2.0,0.0,0.0,0.0
841870dffffffff,6.0,0.0,0.0,0.0
8418729ffffffff,7.0,0.0,0.0,0.0
841873bffffffff,2.0,0.0,0.0,0.0
84190d9ffffffff,2.0,0.0,0.0,0.0
8419401ffffffff,2.0,0.0,0.0,0.0
8419403ffffffff,1.0,0.0,0.0,0.0
841940dffffffff,2.0,0.0,0.0,0.0
8419413ffffffff,2.0,0.0,0.0,0.0
8419415ffffffff,2.0,1.0,0.0,0.0
841941bffffffff,4.0,0.0,0.0,0.0
841941dffffffff,1.0,0.0,0.0,0.0
8419461ffffffff,8.0,0.0,0.0,0.0
841946bffffffff,2.0,0.0,0.0,0.0
8419485ffffffff,4.0,0.0,0.0,0.0
84194c5ffffffff,4.0,1.0,0.0,0.0
84194d1ffffffff,1.0,0.0,0.0,0.0
84194e3ffffffff,4.0,0.0,0.0,0.0
84194edffffffff,2.0,0.0,0.0,0.0
8419595ffffffff,1.0,0.0,0.0,0.0
8419597ffffffff,2.0,0.0,0.0,0.0
84195bbffffffff,1.0,0.0,0.0,0.0
84195c1ffffffff,1.0,0.0,0.0,0.0
8419681ffffffff,2.0,0.0,0.0,0.0
8419683ffffffff,2.0,0.0,0.0,0.0
841972bffffffff,3.0,0.0,0.0,0.0
8419733ffffffff,2.0,0.0,0.0,0.0
841973bffffffff,2.0,0.0,0.0,0.0
841e025ffffffff,2.0,0.0,0.0,0.0
841e02dffffffff,4.0,0.0,0.0,0.0
841e0adffffffff,2.0,0.0,0.0,0.0
841e10bffffffff,2.0,0.0,0.0,0.0
841e121ffffffff,4.0,0.0,0.0,0.0
841e1d1ffffffff,6.0,0.0,0.0,0.0
841e5d9ffffffff,4.0,0.0,0.0,0.0
841e831ffffffff,2.0,0.0,2.0,0.0
841e835ffffffff,7.0,0.0,2.0,0.0
841ea19ffffffff,4.0,0.0,0.0,0.0
841ea59ffffffff,1.0,0.0,0.0,0.0
841eab1ffffffff,3.0,3.0,0.0,0.0
841ec09ffffffff,3.0,0.0,0.0,0.0
841ec47ffffffff,3.0,0.0,0.0,0.0
841ec5bffffffff,2.0,0.0,0.0,0.0
841ec6dffffffff,1.0,0.0,0.0,0.0
841ec9bffffffff,1.0,0.0,0.0,0.0
841eca5ffffffff,3.0,0.0,0.0,0.0
841eca9ffffffff,1.0,0.0,0.0,0.0
841ece1ffffffff,2.0,2.0,0.0,0.0
841ece5ffffffff,2.0,2.0,0.0,0.0
841ece7ffffffff,1.0,0.0,0.0,0.0
841ece9ffffffff,2.0,0.0,0.0,0.0
841eda3ffffffff,2.0,0.0,0.0,0.0
841eda7ffffffff,4.0,0.0,0.0,0.0
841eea3ffffffff,6.0,0.0,0.0,0.0
841eeb7ffffffff,1.0,0.0,0.0,0.0
841ef11ffffffff,2.0,0.0,0.0,0.0
841f0d3ffffffff,1.0,0.0,0.0,0.0
841f135ffffffff,1.0,0.0,0.0,0.0
841f351ffffffff,2.0,0.0,0.0,0.0
841f725ffffffff,7.0,0.0,0.0,0.0
841f72dffffffff,2.0,0.0,0.0,0.0
841f8edffffffff,1.0,0.0,0.0,0.0
841f9c3ffffffff,4.0,0.0,0.0,0.0
841f9d7ffffffff,6.0,0.0,0.0,0.0
841fa2bffffffff,3.0,0.0,0.0,0.0
841fa43ffffffff,2.0,0.0,0.0,0.0
841fa5dffffffff,2.0,0.0,0.0,0.0
841fabdffffffff,3.0,1.0,0.0,0.0
842c0c1ffffffff,9.0,0.0,0.0,9.0
842c0c3ffffffff,5.0,0.0,0.0,5.0
842c0c9ffffffff,7.0,0.0,0.0,7.0
842c0cbffffffff,3.0,0.0,0.0,3.0
842c2a1ffffffff,1.0,0.0,0.0,1.0
842c2a3ffffffff,33.0,0.0,0.0,24.0
842c2e5ffffffff,2.0,0.0,0.0,2.0
842c553ffffffff,2.0,0.0,0.0,0.0
842c931ffffffff,1.0,0.0,0.0,0.0
842c93bffffffff,7.0,0.0,0.0,2.0
842cf31ffffffff,3.0,0.0,0.0,3.0
842d849ffffffff,4.0,0.0,0.0,0.0
842da6bffffffff,4.0,0.0,0.0,2.0
842da81ffffffff,1.0,0.0,0.0,0.0
842da83ffffffff,2.0,0.0,0.0,2.0
842da89ffffffff,2.0,0.0,0.0,2.0
842da8bffffffff,3.0,0.0,0.0,3.0
842db05ffffffff,1.0,0.0,0.0,0.0
842db11ffffffff,8.0,0.0,0.0,0.0
842db15ffffffff,2.0,0.0,0.0,0.0
842db1dffffffff,1.0,0.0,0.0,1.0
842db25ffffffff,4.0,0.0,0.0,0.0
842db29ffffffff,7.0,0.0,0.0,2.0
842db3dffffffff,2.0,0.0,0.0,0.0
8434697ffffffff,4.0,0.0,0.0,0.0
84346b5ffffffff,6.0,0.0,0.0,0.0
84346bbffffffff,6.0,0.0,0.0,0.0
8438251ffffffff,1.0,0.0,0.0,0.0
8438625ffffffff,24.0,0.0,0.0,0.0
843862dffffffff,2.0,0.0,0.0,0.0
84386e3ffffffff,2.0,2.0,0.0,0.0
843871bffffffff,2.0,0.0,0.0,0.0
8438753ffffffff,5.0,2.0,0.0,0.0
8438755ffffffff,2.0,0.0,0.0,0.0
8438759ffffffff,1.0,0.0,0.0,0.0
843875bffffffff,2.0,0.0,0.0,0.0
8439001ffffffff,3.0,3.0,0.0,0.0
8439003ffffffff,33.0,7.0,0.0,0.0
8439007ffffffff,3.0,0.0,0.0,0.0
843900bffffffff,6.0,6.0,0.0,0.0
843900dffffffff,4.0,0.0,0.0,0.0
8439011ffffffff,1.0,1.0,0.0,0.0
8439015ffffffff,1.0,0.0,0.0,0.0
843901bffffffff,3.0,0.0,0.0,0.0
843901dffffffff,27.0,12.0,0.0,0.0
8439027ffffffff,2.0,0.0,0.0,0.0
8439029ffffffff,16.0,3.0,0.0,0.0
843902bffffffff,1.0,1.0,0.0,0.0
8439031ffffffff,1.0,1.0,0.0,0.0
8439033ffffffff,3.0,1.0,0.0,0.0
8439035ffffffff,2.0,1.0,0.0,0.0
8439039ffffffff,9.0,0.0,0.0,0.0
843903dffffffff,3.0,0.0,0.0,0.0
