cell_id,Larus michahellis,Larus michahellis atlantis,Larus michahellis michahellis
83075dfffffffff,5.0,0.0,0.0
83099bfffffffff,3.0,0.0,0.0
831801fffffffff,6.0,1.0,2.0
831820fffffffff,1.0,0.0,0.0
831823fffffffff,6.0,6.0,0.0
831828fffffffff,1.0,0.0,1.0
83182afffffffff,8.0,0.0,0.0
83182cfffffffff,10.0,2.0,2.0
831849fffffffff,68.0,0.0,2.0
83184afffffffff,4.0,0.0,2.0
83184bfffffffff,33.0,0.0,1.0
831859fffffffff,10.0,0.0,1.0
83185bfffffffff,177.0,0.0,2.0
831865fffffffff,1.0,0.0,0.0
83186afffffffff,2.0,0.0,0.0
831870fffffffff,8.0,0.0,0.0
831872fffffffff,4.0,0.0,0.0
831874fffffffff,3.0,0.0,0.0
831876fffffffff,3.0,1.0,0.0
831941fffffffff,1.0,0.0,0.0
831942fffffffff,31.0,0.0,13.0
831943fffffffff,11.0,0.0,0.0
83194cfffffffff,27.0,0.0,27.0
83194efffffffff,4.0,0.0,4.0
831951fffffffff,7.0,0.0,3.0
831959fffffffff,3.0,0.0,0.0
831973fffffffff,6.0,0.0,0.0
831aa0fffffffff,47.0,0.0,0.0
831aa3fffffffff,1.0,0.0,0.0
831e02fffffffff,5.0,0.0,3.0
831e04fffffffff,3.0,0.0,0.0
831e05fffffffff,10.0,0.0,0.0
831e06fffffffff,2.0,0.0,0.0
831e0afffffffff,5.0,0.0,0.0
831e0efffffffff,10.0,0.0,0.0
831e12fffffffff,1.0,0.0,0.0
831e13fffffffff,2.0,0.0,2.0
831e16fffffffff,1.0,0.0,1.0
831e1cfffffffff,7.0,0.0,4.0
831e1dfffffffff,2.0,0.0,0.0
831e20fffffffff,2.0,0.0,0.0
831e23fffffffff,1.0,0.0,0.0
831e24fffffffff,22.0,0.0,0.0
831e25fffffffff,11.0,0.0,0.0
831e28fffffffff,2.0,0.0,0.0
831e2bfffffffff,3.0,0.0,0.0
831e32fffffffff,2.0,0.0,2.0
831e34fffffffff,14.0,0.0,0.0
831e51fffffffff,2.0,0.0,0.0
831ea0fffffffff,13.0,0.0,0.0
831ea4fffffffff,3.0,0.0,3.0
831ea5fffffffff,15.0,0.0,3.0
831eabfffffffff,1.0,0.0,1.0
831eb4fffffffff,2.0,0.0,0.0
831ec0fffffffff,1.0,0.0,0.0
831ec1fffffffff,13.0,0.0,0.0
831ec4fffffffff,2.0,0.0,0.0
831ec9fffffffff,5.0,0.0,0.0
831ecafffffffff,4.0,0.0,0.0
831eccfffffffff,2.0,0.0,0.0
831ed2fffffffff,2.0,0.0,2.0
831ed6fffffffff,2.0,0.0,2.0
831ee9fffffffff,5.0,0.0,0.0
831eebfffffffff,10.0,0.0,0.0
831f00fffffffff,2.0,0.0,0.0
831f0efffffffff,4.0,0.0,0.0
831f18fffffffff,4.0,0.0,0.0
831f2afffffffff,2.0,0.0,2.0
831f31fffffffff,2.0,0.0,1.0
831f35fffffffff,1.0,0.0,0.0
831f56fffffffff,4.0,0.0,0.0
831f58fffffffff,2.0,0.0,0.0
831f81fffffffff,2.0,0.0,0.0
831f82fffffffff,9.0,0.0,0.0
831f88fffffffff,4.0,0.0,1.0
831f89fffffffff,14.0,0.0,0.0
831f8dfffffffff,4.0,0.0,0.0
831f8efffffffff,7.0,0.0,0.0
831f91fffffffff,1.0,0.0,0.0
831f98fffffffff,3.0,0.0,3.0
831f9afffffffff,3.0,0.0,0.0
831f9dfffffffff,2.0,0.0,2.0
831fa3fffffffff,1.0,0.0,0.0
831facfffffffff,1.0,0.0,0.0
831faefffffffff,2.0,0.0,0.0
831fb1fffffffff,2.0,0.0,0.0
832aa8fffffffff,8.0,0.0,0.0
832b12fffffffff,1.0,0.0,0.0
832c0cfffffffff,2.0,0.0,2.0
832c13fffffffff,2.0,0.0,0.0
832c14fffffffff,4.0,0.0,0.0
832c20fffffffff,24.0,0.0,24.0
832c21fffffffff,40.0,0.0,40.0
832c2afffffffff,9.0,0.0,0.0
832cacfffffffff,1.0,0.0,0.0
832d0efffffffff,1.0,0.0,0.0
832d18fffffffff,1.0,0.0,0.0
832d29fffffffff,3.0,0.0,0.0
832d33fffffffff,2.0,0.0,0.0
832da2fffffffff,4.0,0.0,0.0
832da8fffffffff,5.0,0.0,1.0
832da9fffffffff,1.0,0.0,0.0
832db0fffffffff,6.0,0.0,0.0
832db6fffffffff,2.0,0.0,0.0
833426fffffffff,2.0,2.0,0.0
833434fffffffff,5.0,5.0,0.0
833466fffffffff,3.0,0.0,0.0
83351afffffffff,27.0,27.0,0.0
8335a9fffffffff,5.0,5.0,0.0
833823fffffffff,1.0,0.0,0.0
833825fffffffff,4.0,0.0,4.0
833829fffffffff,5.0,0.0,0.0
83382dfffffffff,1.0,0.0,0.0
833862fffffffff,26.0,0.0,0.0
833863fffffffff,1.0,0.0,0.0
833871fffffffff,4.0,0.0,0.0
833875fffffffff,33.0,0.0,0.0
833901fffffffff,52.0,0.0,0.0
833902fffffffff,25.0,0.0,0.0
833904fffffffff,10.0,0.0,0.0
833906fffffffff,16.0,0.0,0.0
833908fffffffff,7.0,0.0,0.0
83390afffffffff,16.0,0.0,0.0
83390cfffffffff,11.0,0.0,0.0
83390dfffffffff,12.0,0.0,0.0
833910fffffffff,30.0,0.0,3.0
833911fffffffff,20.0,0.0,0.0
833915fffffffff,6.0,0.0,0.0
833919fffffffff,1.0,0.0,0.0
83391afffffffff,8.0,0.0,4.0
83391cfffffffff,2.0,0.0,0.0
833920fffffffff,11.0,0.0,2.0
833922fffffffff,15.0,0.0,0.0
833923fffffffff,25.0,0.0,0.0
833924fffffffff,6.0,0.0,1.0
833925fffffffff,1.0,0.0,0.0
833928fffffffff,4.0,0.0,0.0
833929fffffffff,2.0,0.0,2.0
83392afffffffff,119.0,0.0,5.0
83392bfffffffff,15.0,0.0,0.0
83392dfffffffff,6.0,0.0,0.0
