cell_id,Laterallus jamaicensis,Laterallus jamaicensis jamaicensis/coturniculus,Laterallus jamaicensis salinasi/murivagans,Laterallus jamaicensis tuerosi
8448585ffffffff,1.0,0.0,0.0,0.0
8448587ffffffff,7.0,0.0,0.0,0.0
84802b7ffffffff,11.0,0.0,0.0,0.0
8481555ffffffff,1.0,0.0,0.0,0.0
848e645ffffffff,2.0,0.0,0.0,2.0
848e647ffffffff,2.0,0.0,0.0,2.0
848e66bffffffff,141.0,0.0,0.0,107.0
84b2191ffffffff,53.0,0.0,0.0,0.0
84b2197ffffffff,14.0,0.0,0.0,0.0
84b21bbffffffff,6.0,0.0,0.0,0.0
84b2c5dffffffff,99.0,0.0,3.0,0.0
84b2d87ffffffff,26.0,0.0,0.0,0.0
84b2dabffffffff,5.0,0.0,0.0,0.0
84b2e21ffffffff,6.0,0.0,0.0,0.0
84b2e2dffffffff,7.0,0.0,0.0,0.0
84b2e6dffffffff,3.0,0.0,0.0,0.0
