cell_id,Lathrotriccus euleri,Lathrotriccus euleri [flaviventris Group],Lathrotriccus euleri euleri/argentinus
845f035ffffffff,3.0,0.0,0.0
845f143ffffffff,6.0,0.0,0.0
845f1e9ffffffff,1.0,0.0,0.0
845f227ffffffff,1.0,0.0,0.0
845f42bffffffff,2.0,1.0,0.0
845f46bffffffff,1.0,0.0,0.0
845f487ffffffff,2.0,0.0,0.0
845f4a9ffffffff,5.0,0.0,0.0
845f50bffffffff,4.0,0.0,0.0
845f581ffffffff,2.0,0.0,0.0
845f583ffffffff,487.0,0.0,0.0
845f595ffffffff,8.0,0.0,0.0
845f5b9ffffffff,30.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0
845f711ffffffff,5.0,0.0,0.0
845f713ffffffff,1.0,0.0,0.0
845f759ffffffff,2.0,0.0,0.0
845f75dffffffff,1.0,0.0,0.0
8466097ffffffff,2.0,0.0,0.0
8466213ffffffff,6.0,0.0,0.0
846629bffffffff,1.0,0.0,0.0
84662b7ffffffff,1.0,0.0,0.0
84662d3ffffffff,2.0,0.0,0.0
84662e1ffffffff,2.0,0.0,0.0
84662e9ffffffff,3.0,0.0,0.0
8466415ffffffff,88.0,0.0,0.0
846641dffffffff,7.0,0.0,0.0
8466455ffffffff,1.0,0.0,0.0
8466529ffffffff,13.0,0.0,0.0
846652dffffffff,5.0,0.0,0.0
8466545ffffffff,10.0,0.0,0.0
846654bffffffff,2.0,0.0,0.0
8466561ffffffff,2.0,0.0,0.0
8466563ffffffff,1.0,0.0,0.0
8466569ffffffff,2.0,0.0,0.0
846656dffffffff,1.0,0.0,0.0
84665abffffffff,1.0,0.0,0.0
84665e9ffffffff,1.0,0.0,0.0
84666ebffffffff,1.0,0.0,0.0
8466725ffffffff,1.0,0.0,0.0
8466c03ffffffff,5.0,0.0,0.0
8466c17ffffffff,6.0,0.0,0.0
8466c21ffffffff,3.0,0.0,0.0
8466c2bffffffff,2.0,0.0,0.0
8466ce9ffffffff,21.0,0.0,0.0
8466d81ffffffff,4.0,0.0,0.0
8466da7ffffffff,1.0,0.0,0.0
8466dadffffffff,48.0,4.0,0.0
8466dc3ffffffff,49.0,4.0,0.0
8466dc7ffffffff,8.0,0.0,0.0
8466dd9ffffffff,2.0,0.0,0.0
8466de1ffffffff,124.0,14.0,0.0
8466de7ffffffff,5.0,1.0,0.0
8466debffffffff,59.0,14.0,0.0
8466e1dffffffff,2.0,0.0,0.0
8466e53ffffffff,2.0,0.0,0.0
8466e57ffffffff,6.0,0.0,0.0
8466e8dffffffff,2.0,0.0,0.0
8466ec1ffffffff,8.0,0.0,0.0
8466ec5ffffffff,17.0,0.0,0.0
8466ec7ffffffff,65.0,0.0,0.0
8466ec9ffffffff,4.0,0.0,0.0
8466ecbffffffff,193.0,0.0,0.0
8466ee5ffffffff,13.0,0.0,0.0
8467425ffffffff,14.0,0.0,0.0
8467433ffffffff,1.0,0.0,0.0
8467437ffffffff,65.0,1.0,0.0
846743bffffffff,6.0,0.0,0.0
84674c5ffffffff,11.0,0.0,0.0
84674c7ffffffff,4.0,0.0,0.0
84674e9ffffffff,7.0,0.0,0.0
84674edffffffff,14.0,2.0,0.0
8467519ffffffff,9.0,0.0,0.0
84675a5ffffffff,2.0,0.0,0.0
84675c1ffffffff,2.0,0.0,0.0
84675c9ffffffff,1.0,0.0,0.0
84675cbffffffff,19.0,0.0,0.0
84675ddffffffff,4.0,0.0,0.0
84675ebffffffff,1.0,0.0,0.0
8480007ffffffff,2.0,0.0,0.0
8480021ffffffff,7.0,0.0,0.0
8480027ffffffff,2.0,0.0,0.0
848002dffffffff,2.0,0.0,0.0
8480053ffffffff,3.0,0.0,0.0
8480061ffffffff,4.0,0.0,0.0
8480101ffffffff,20.0,0.0,0.0
8480109ffffffff,70.0,0.0,0.0
8480141ffffffff,8.0,0.0,0.0
8480293ffffffff,3.0,0.0,0.0
8480301ffffffff,2.0,0.0,0.0
8480305ffffffff,3.0,0.0,0.0
8480309ffffffff,8.0,0.0,0.0
8480363ffffffff,86.0,0.0,0.0
84806b7ffffffff,1.0,0.0,0.0
8480713ffffffff,2.0,0.0,0.0
8481005ffffffff,3.0,0.0,0.0
8481011ffffffff,3.0,0.0,0.0
8481023ffffffff,9.0,0.0,0.0
8481027ffffffff,2.0,0.0,0.0
8481029ffffffff,33.0,0.0,0.0
8481049ffffffff,1.0,0.0,0.0
8481063ffffffff,7.0,0.0,0.0
8481113ffffffff,3.0,0.0,0.0
8481143ffffffff,2.0,0.0,0.0
8481149ffffffff,1.0,0.0,0.0
848114bffffffff,1.0,0.0,0.0
8481163ffffffff,5.0,0.0,0.0
8481189ffffffff,2.0,0.0,0.0
84811e9ffffffff,3.0,0.0,0.0
8481211ffffffff,49.0,0.0,0.0
8481215ffffffff,23.0,0.0,0.0
8481219ffffffff,1.0,0.0,0.0
848121dffffffff,3.0,0.0,0.0
8481245ffffffff,18.0,0.0,0.0
848124bffffffff,56.0,0.0,0.0
848124dffffffff,14.0,0.0,0.0
84812bdffffffff,2.0,0.0,0.0
84812d1ffffffff,9.0,0.0,0.0
84812d7ffffffff,1.0,0.0,0.0
8481303ffffffff,6.0,0.0,0.0
8481307ffffffff,15.0,0.0,0.0
8481321ffffffff,16.0,0.0,0.0
8481323ffffffff,13.0,0.0,0.0
8481327ffffffff,6.0,0.0,0.0
8481331ffffffff,1.0,0.0,0.0
8481337ffffffff,2.0,0.0,0.0
8481339ffffffff,116.0,0.0,0.0
8481341ffffffff,1.0,0.0,0.0
8481343ffffffff,8.0,0.0,0.0
848134dffffffff,4.0,0.0,0.0
8481363ffffffff,96.0,0.0,0.0
8481401ffffffff,4.0,0.0,0.0
8481403ffffffff,2.0,0.0,0.0
8481431ffffffff,2.0,0.0,0.0
848144bffffffff,3.0,0.0,0.0
848145dffffffff,5.0,0.0,0.0
8481469ffffffff,1.0,0.0,0.0
848146bffffffff,3.0,0.0,0.0
84814a9ffffffff,3.0,0.0,0.0
84814adffffffff,10.0,0.0,0.0
84814d5ffffffff,28.0,0.0,0.0
84814d9ffffffff,5.0,0.0,0.0
84814dbffffffff,2.0,0.0,0.0
84814e3ffffffff,3.0,0.0,0.0
84814e7ffffffff,19.0,0.0,0.0
8481581ffffffff,4.0,0.0,0.0
84815a1ffffffff,2.0,0.0,0.0
84815a7ffffffff,1.0,0.0,0.0
84815c9ffffffff,3.0,0.0,0.0
84815d3ffffffff,1.0,0.0,0.0
84815d9ffffffff,12.0,0.0,0.0
84815e9ffffffff,2.0,0.0,0.0
8481635ffffffff,29.0,0.0,0.0
8481711ffffffff,85.0,0.0,0.0
8481713ffffffff,29.0,0.0,0.0
8481729ffffffff,2.0,0.0,0.0
848175dffffffff,8.0,0.0,0.0
8481801ffffffff,2.0,0.0,0.0
848180bffffffff,4.0,0.0,0.0
848181dffffffff,11.0,0.0,0.0
8481839ffffffff,1.0,0.0,0.0
8481851ffffffff,76.0,0.0,0.0
8481853ffffffff,2.0,0.0,0.0
8481857ffffffff,165.0,0.0,0.0
8481859ffffffff,2.0,0.0,0.0
848185bffffffff,4.0,0.0,0.0
848185dffffffff,12.0,0.0,0.0
84818e1ffffffff,23.0,0.0,0.0
848a003ffffffff,1.0,0.0,0.0
848a063ffffffff,1.0,0.0,0.0
848a109ffffffff,2.0,0.0,0.0
848a155ffffffff,21.0,0.0,0.0
848a157ffffffff,3.0,0.0,0.0
848a1e5ffffffff,2.0,0.0,0.0
848a337ffffffff,1.0,0.0,0.0
848a33bffffffff,2.0,0.0,0.0
848a41bffffffff,1.0,0.0,0.0
848a459ffffffff,8.0,0.0,0.0
848a45bffffffff,1.0,0.0,0.0
848a45dffffffff,1.0,0.0,0.0
848a637ffffffff,2.0,0.0,0.0
848a6d3ffffffff,2.0,0.0,0.0
848a6d9ffffffff,46.0,0.0,0.0
848a8cdffffffff,6.0,0.0,0.0
848aab5ffffffff,4.0,0.0,0.0
848aadbffffffff,2.0,0.0,0.0
848ab21ffffffff,1.0,0.0,0.0
848adbbffffffff,3.0,0.0,0.0
848ae5bffffffff,1.0,0.0,0.0
848af09ffffffff,9.0,0.0,0.0
848af41ffffffff,3.0,0.0,0.0
848af45ffffffff,6.0,0.0,0.0
848af69ffffffff,12.0,0.0,0.0
848b0bdffffffff,1.0,0.0,0.0
848b0c9ffffffff,24.0,0.0,0.0
848b1e1ffffffff,1.0,0.0,0.0
848b1edffffffff,2.0,0.0,0.0
848b205ffffffff,4.0,0.0,0.0
848b221ffffffff,3.0,0.0,0.0
848b223ffffffff,2.0,0.0,0.0
848b229ffffffff,18.0,0.0,0.0
848b22dffffffff,12.0,0.0,0.0
848b26bffffffff,2.0,0.0,0.0
848b2a7ffffffff,3.0,0.0,0.0
848b2ddffffffff,1.0,0.0,0.0
848b401ffffffff,25.0,0.0,0.0
848b40bffffffff,18.0,0.0,0.0
848b40dffffffff,5.0,0.0,0.0
848b44bffffffff,61.0,4.0,0.0
848b44dffffffff,18.0,0.0,0.0
848b469ffffffff,2.0,0.0,0.0
848b493ffffffff,2.0,0.0,0.0
848b4e5ffffffff,3.0,0.0,0.0
848b513ffffffff,8.0,0.0,0.0
848b563ffffffff,4.0,0.0,0.0
848b567ffffffff,3.0,0.0,0.0
848b5c3ffffffff,4.0,0.0,0.0
848b5cdffffffff,30.0,0.0,0.0
848b5e9ffffffff,2.0,0.0,0.0
848b617ffffffff,35.0,1.0,0.0
848b627ffffffff,5.0,0.0,0.0
848b631ffffffff,4.0,2.0,0.0
848b637ffffffff,8.0,0.0,0.0
848b63bffffffff,13.0,1.0,0.0
848b63dffffffff,2.0,0.0,0.0
848b695ffffffff,7.0,0.0,0.0
848b69bffffffff,3.0,0.0,0.0
848b6e7ffffffff,16.0,0.0,0.0
848b6edffffffff,15.0,0.0,0.0
848b709ffffffff,14.0,0.0,0.0
848b713ffffffff,27.0,0.0,0.0
848b71bffffffff,8.0,0.0,0.0
848b747ffffffff,2.0,0.0,0.0
848b74bffffffff,2.0,0.0,0.0
848b75bffffffff,5.0,0.0,0.0
848b75dffffffff,7.0,0.0,0.0
848b763ffffffff,1.0,0.0,0.0
