cell_id,Lepidocolaptes affinis,Lepidocolaptes affinis affinis/lignicida,Lepidocolaptes affinis neglectus
824527fffffffff,690.0,39.0,0.0
824537fffffffff,119.0,0.0,0.0
8248a7fffffffff,16.0,0.0,0.0
824987fffffffff,1.0,0.0,0.0
824997fffffffff,511.0,41.0,0.0
82499ffffffffff,195.0,2.0,0.0
8249b7fffffffff,107.0,0.0,0.0
8266a7fffffffff,34.0,0.0,0.0
8266b7fffffffff,7525.0,0.0,0.0
82679ffffffffff,23.0,0.0,0.0
826d07fffffffff,62.0,0.0,0.0
826d17fffffffff,46.0,4.0,0.0
826d27fffffffff,640.0,20.0,0.0
826d2ffffffffff,3626.0,682.0,0.0
826d37fffffffff,1266.0,163.0,0.0
826d67fffffffff,492.0,0.0,0.0
826d6ffffffffff,875.0,0.0,0.0
826d77fffffffff,234.0,0.0,0.0
