cell_id,Leptotila verreauxi,Leptotila verreauxi [verreauxi Group],Leptotila verreauxi decolor,Leptotila verreauxi [brasiliensis Group]
834414fffffffff,1.0,0.0,0.0,0.0
834508fffffffff,1.0,0.0,0.0,0.0
834509fffffffff,3.0,3.0,0.0,0.0
83450bfffffffff,2.0,0.0,0.0,0.0
83450dfffffffff,2.0,0.0,0.0,0.0
834520fffffffff,10.0,0.0,0.0,0.0
834523fffffffff,2.0,0.0,0.0,0.0
834524fffffffff,2.0,0.0,0.0,0.0
834525fffffffff,12.0,12.0,0.0,0.0
834526fffffffff,2.0,2.0,0.0,0.0
834528fffffffff,6.0,0.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0,0.0
834535fffffffff,2.0,0.0,0.0,0.0
834572fffffffff,1.0,0.0,0.0,0.0
83480afffffffff,1.0,0.0,0.0,0.0
834880fffffffff,1.0,0.0,0.0,0.0
834881fffffffff,2.0,0.0,0.0,0.0
834883fffffffff,123.0,0.0,0.0,0.0
834888fffffffff,1.0,0.0,0.0,0.0
83488efffffffff,118.0,0.0,0.0,0.0
834890fffffffff,2.0,0.0,0.0,0.0
834891fffffffff,45.0,0.0,0.0,0.0
834892fffffffff,8.0,0.0,0.0,0.0
834895fffffffff,1.0,0.0,0.0,0.0
834898fffffffff,1.0,0.0,0.0,0.0
83489cfffffffff,51.0,0.0,0.0,0.0
83489dfffffffff,296.0,5.0,0.0,0.0
83489efffffffff,5.0,0.0,0.0,0.0
8348a2fffffffff,3.0,0.0,0.0,0.0
8348a3fffffffff,3.0,0.0,0.0,0.0
8348abfffffffff,3.0,0.0,0.0,0.0
8348b1fffffffff,5.0,4.0,0.0,0.0
8348b2fffffffff,1.0,0.0,0.0,0.0
8348b3fffffffff,20.0,8.0,0.0,0.0
8348eefffffffff,74.0,1.0,0.0,0.0
834982fffffffff,1.0,0.0,0.0,0.0
834983fffffffff,4.0,0.0,0.0,0.0
834986fffffffff,5.0,2.0,0.0,0.0
834990fffffffff,2.0,2.0,0.0,0.0
834993fffffffff,1.0,0.0,0.0,0.0
834994fffffffff,3.0,0.0,0.0,0.0
834996fffffffff,7.0,0.0,0.0,0.0
834998fffffffff,1.0,0.0,0.0,0.0
83499bfffffffff,2.0,0.0,0.0,0.0
83499cfffffffff,2.0,0.0,0.0,0.0
8349a9fffffffff,4.0,4.0,0.0,0.0
8349aafffffffff,2.0,0.0,0.0,0.0
8349b3fffffffff,2.0,0.0,0.0,0.0
8349b5fffffffff,1.0,0.0,0.0,0.0
835f4bfffffffff,2.0,0.0,0.0,0.0
835f58fffffffff,4.0,4.0,0.0,0.0
835f5bfffffffff,18.0,4.0,0.0,0.0
836608fffffffff,1.0,0.0,0.0,0.0
836610fffffffff,3.0,0.0,0.0,0.0
836619fffffffff,14.0,3.0,0.0,0.0
83661bfffffffff,1.0,0.0,0.0,0.0
836629fffffffff,3.0,3.0,0.0,0.0
836641fffffffff,6.0,0.0,0.0,0.0
836654fffffffff,4.0,0.0,0.0,0.0
836672fffffffff,11.0,0.0,0.0,0.0
8366b0fffffffff,5.0,3.0,0.0,0.0
8366b1fffffffff,1.0,0.0,0.0,0.0
8366b4fffffffff,12.0,6.0,0.0,0.0
8366b5fffffffff,13.0,4.0,0.0,0.0
8366d3fffffffff,11.0,0.0,0.0,0.0
8366d5fffffffff,26.0,0.0,0.0,0.0
8366dafffffffff,1.0,0.0,0.0,0.0
8366dbfffffffff,2.0,0.0,0.0,0.0
8366dcfffffffff,6.0,0.0,0.0,0.0
8366ddfffffffff,1.0,0.0,0.0,0.0
8366defffffffff,32.0,0.0,0.0,0.0
8366e5fffffffff,4.0,4.0,0.0,0.0
8366ecfffffffff,5.0,0.0,0.0,0.0
836741fffffffff,9.0,1.0,0.0,0.0
836742fffffffff,2.0,0.0,0.0,0.0
836743fffffffff,4.0,2.0,0.0,0.0
836744fffffffff,34.0,0.0,0.0,0.0
836746fffffffff,8.0,0.0,0.0,0.0
83674cfffffffff,13.0,0.0,0.0,0.0
836750fffffffff,2.0,0.0,0.0,0.0
836751fffffffff,3.0,0.0,0.0,0.0
836753fffffffff,2.0,0.0,0.0,0.0
836755fffffffff,34.0,0.0,0.0,0.0
836759fffffffff,4.0,4.0,0.0,0.0
83675bfffffffff,1.0,0.0,0.0,0.0
83675cfffffffff,17.0,0.0,0.0,0.0
836769fffffffff,3.0,0.0,0.0,0.0
83679afffffffff,6.0,2.0,0.0,0.0
836d04fffffffff,1.0,0.0,0.0,0.0
836d20fffffffff,21.0,4.0,0.0,0.0
836d22fffffffff,2.0,2.0,0.0,0.0
836d23fffffffff,8.0,0.0,0.0,0.0
836d25fffffffff,2.0,2.0,0.0,0.0
836d28fffffffff,2.0,0.0,0.0,0.0
836d29fffffffff,2.0,0.0,0.0,0.0
836d2afffffffff,2.0,0.0,0.0,0.0
836d2bfffffffff,1.0,0.0,0.0,0.0
836d2dfffffffff,9.0,8.0,0.0,0.0
836d31fffffffff,2.0,2.0,0.0,0.0
836d34fffffffff,6.0,0.0,0.0,0.0
836d35fffffffff,1.0,0.0,0.0,0.0
836d36fffffffff,3.0,0.0,0.0,0.0
836d61fffffffff,3.0,0.0,0.0,0.0
836d64fffffffff,1.0,0.0,0.0,0.0
836d68fffffffff,12.0,10.0,0.0,0.0
836d69fffffffff,125.0,103.0,0.0,0.0
836d6bfffffffff,3.0,0.0,0.0,0.0
836d6cfffffffff,2.0,0.0,0.0,0.0
836d6dfffffffff,8.0,0.0,0.0,0.0
836d74fffffffff,2.0,0.0,0.0,0.0
838a2efffffffff,1.0,0.0,0.0,1.0
838b20fffffffff,4.0,0.0,0.0,4.0
838b22fffffffff,2.0,0.0,0.0,2.0
838b25fffffffff,11.0,0.0,0.0,11.0
838b40fffffffff,2.0,0.0,0.0,0.0
838b44fffffffff,1.0,0.0,0.0,0.0
838b61fffffffff,3.0,0.0,0.0,0.0
838b63fffffffff,8.0,0.0,0.0,0.0
838b6cfffffffff,4.0,0.0,0.0,4.0
838b71fffffffff,14.0,0.0,0.0,0.0
838e62fffffffff,2.0,0.0,0.0,0.0
838f0dfffffffff,2.0,0.0,0.0,0.0
838f40fffffffff,13.0,0.0,0.0,13.0
838f46fffffffff,1.0,0.0,0.0,1.0
838f55fffffffff,6.0,0.0,6.0,0.0
838f70fffffffff,1.0,0.0,0.0,0.0
838f72fffffffff,4.0,0.0,0.0,0.0
838f73fffffffff,6.0,0.0,6.0,0.0
838f74fffffffff,7.0,0.0,0.0,0.0
838f76fffffffff,8.0,0.0,0.0,0.0
83a92cfffffffff,1.0,0.0,0.0,0.0
83a953fffffffff,4.0,0.0,0.0,1.0
83a961fffffffff,113.0,0.0,0.0,0.0
83a964fffffffff,4.0,0.0,0.0,0.0
83a965fffffffff,34.0,0.0,0.0,0.0
83a96cfffffffff,27.0,0.0,0.0,0.0
83a96dfffffffff,3.0,0.0,0.0,0.0
83a96efffffffff,3.0,0.0,0.0,0.0
83b249fffffffff,90.0,0.0,0.0,0.0
83b24dfffffffff,641.0,0.0,0.0,0.0
83b251fffffffff,1.0,0.0,0.0,1.0
83b261fffffffff,16.0,0.0,0.0,0.0
83b268fffffffff,39.0,0.0,0.0,0.0
83b269fffffffff,71.0,0.0,0.0,0.0
83b26afffffffff,5.0,0.0,0.0,0.0
83b26bfffffffff,168.0,0.0,0.0,0.0
83b26cfffffffff,2.0,0.0,0.0,0.0
83b26dfffffffff,70.0,0.0,0.0,0.0
83b270fffffffff,4.0,0.0,0.0,0.0
83b2e9fffffffff,39.0,0.0,0.0,0.0
83b342fffffffff,3.0,0.0,0.0,0.0
83b34bfffffffff,1.0,0.0,0.0,1.0
83b351fffffffff,2.0,0.0,0.0,0.0
83b35afffffffff,2.0,0.0,0.0,0.0
83b366fffffffff,1.0,0.0,0.0,0.0
83c2c4fffffffff,2.0,0.0,0.0,0.0
83c2c5fffffffff,2.0,0.0,0.0,2.0
83c2c9fffffffff,198.0,0.0,0.0,0.0
83c2cbfffffffff,3.0,0.0,0.0,0.0
83c2cdfffffffff,150.0,0.0,0.0,0.0
83c2e3fffffffff,1.0,0.0,0.0,0.0
83c2e9fffffffff,5.0,0.0,0.0,0.0
83c2ebfffffffff,16.0,0.0,0.0,0.0
