cell_id,Leucosticte arctoa,Leucosticte arctoa [arctoa Group],Leucosticte arctoa brunneonucha/gigliolii
831598fffffffff,5.0,0.0,0.0
83204cfffffffff,2.0,0.0,0.0
832406fffffffff,1.0,0.0,0.0
832426fffffffff,1.0,0.0,0.0
832e13fffffffff,2.0,0.0,0.0
832e62fffffffff,1.0,0.0,0.0
832e75fffffffff,1.0,0.0,0.0
832eacfffffffff,1.0,0.0,0.0
832f5bfffffffff,1.0,0.0,0.0
832f5dfffffffff,4.0,0.0,0.0
833030fffffffff,2.0,0.0,0.0
8330c0fffffffff,2.0,0.0,0.0
8330ddfffffffff,1.0,0.0,0.0
8330e8fffffffff,14.0,0.0,0.0
833185fffffffff,21.0,0.0,0.0
8331aafffffffff,1.0,0.0,0.0
834b75fffffffff,2.0,0.0,0.0
