cell_id,Lonchura atricapilla,Lonchura atricapilla [atricapilla Group],Lonchura atricapilla formosana
823917fffffffff,2.0,0.0,0.0
823c07fffffffff,2.0,0.0,0.0
823c17fffffffff,2.0,0.0,0.0
823c1ffffffffff,1.0,0.0,0.0
823c5ffffffffff,3.0,0.0,0.0
823caffffffffff,2.0,0.0,0.0
823cc7fffffffff,3.0,0.0,0.0
823ce7fffffffff,7.0,1.0,0.0
823ceffffffffff,1.0,0.0,0.0
823cf7fffffffff,42.0,0.0,0.0
823d17fffffffff,6.0,0.0,0.0
823da7fffffffff,1.0,0.0,0.0
82404ffffffffff,15.0,0.0,0.0
824067fffffffff,2.0,0.0,0.0
82411ffffffffff,126.0,5.0,0.0
8242cffffffffff,5.0,0.0,0.0
82464ffffffffff,3.0,0.0,0.0
824b87fffffffff,7.0,0.0,3.0
824ba7fffffffff,230.0,0.0,4.0
825d17fffffffff,42.0,0.0,0.0
826497fffffffff,9.0,4.0,0.0
8264a7fffffffff,1.0,0.0,0.0
826507fffffffff,55.0,0.0,0.0
82650ffffffffff,3.0,0.0,0.0
82651ffffffffff,113.0,0.0,0.0
826527fffffffff,84.0,0.0,0.0
826587fffffffff,5.0,0.0,0.0
82661ffffffffff,24.0,0.0,0.0
8266c7fffffffff,6.0,0.0,0.0
8266e7fffffffff,11.0,0.0,0.0
8266f7fffffffff,73.0,0.0,0.0
826737fffffffff,3.0,0.0,0.0
826817fffffffff,11.0,8.0,0.0
82681ffffffffff,2.0,2.0,0.0
82684ffffffffff,1.0,0.0,0.0
82685ffffffffff,1.0,0.0,0.0
8268d7fffffffff,3.0,3.0,0.0
826947fffffffff,3.0,0.0,0.0
82696ffffffffff,1.0,0.0,1.0
828cdffffffffff,2.0,0.0,0.0
828f2ffffffffff,1.0,0.0,0.0
829e07fffffffff,9.0,0.0,0.0
