cell_id,Loriotus cristatus,Loriotus cristatus [cristatus Group],Loriotus cristatus nattereri
845f035ffffffff,47.0,0.0,0.0
845f03dffffffff,22.0,0.0,0.0
845f08bffffffff,3.0,0.0,0.0
845f09dffffffff,6.0,0.0,0.0
845f0d7ffffffff,7.0,0.0,0.0
845f0d9ffffffff,6.0,0.0,0.0
845f105ffffffff,1.0,0.0,0.0
845f129ffffffff,2.0,0.0,0.0
845f143ffffffff,2.0,0.0,0.0
845f161ffffffff,4.0,0.0,0.0
845f1cbffffffff,1.0,0.0,0.0
845f1e9ffffffff,1.0,0.0,0.0
845f295ffffffff,3.0,0.0,0.0
845f2b1ffffffff,22.0,0.0,0.0
845f2b3ffffffff,43.0,0.0,0.0
845f2bbffffffff,140.0,0.0,0.0
845f42bffffffff,17.0,0.0,0.0
845f549ffffffff,10.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0
845f683ffffffff,2.0,0.0,0.0
845f689ffffffff,4.0,0.0,0.0
845f68bffffffff,8.0,0.0,0.0
845f711ffffffff,4.0,0.0,0.0
845f713ffffffff,3.0,0.0,0.0
845f759ffffffff,14.0,0.0,0.0
845f75dffffffff,6.0,2.0,0.0
845f767ffffffff,1.0,0.0,0.0
8466411ffffffff,52.0,0.0,0.0
8466415ffffffff,61.0,0.0,0.0
8466417ffffffff,7.0,0.0,0.0
846641dffffffff,32.0,0.0,0.0
8466481ffffffff,1.0,0.0,0.0
84665a3ffffffff,3.0,0.0,0.0
84665abffffffff,97.0,0.0,0.0
84665bdffffffff,146.0,0.0,0.0
84665e9ffffffff,2.0,0.0,0.0
846661dffffffff,1.0,0.0,0.0
8466637ffffffff,7.0,0.0,0.0
84666b9ffffffff,2.0,0.0,0.0
84666c5ffffffff,6.0,0.0,0.0
84666e3ffffffff,1.0,0.0,0.0
84666ebffffffff,5.0,0.0,0.0
8466c01ffffffff,5.0,0.0,0.0
8466c19ffffffff,3.0,0.0,0.0
8466c21ffffffff,66.0,0.0,0.0
8466c23ffffffff,9.0,0.0,0.0
8466c27ffffffff,16.0,0.0,0.0
8466c29ffffffff,28.0,0.0,0.0
8466c2bffffffff,8.0,0.0,0.0
