cell_id,Lurocalis semitorquatus,Lurocalis semitorquatus [semitorquatus Group],Lurocalis semitorquatus nattereri
824527fffffffff,13.0,0.0,0.0
82452ffffffffff,80.0,0.0,0.0
825f07fffffffff,1.0,1.0,0.0
825f4ffffffffff,2.0,0.0,0.0
825f5ffffffffff,2.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0
826627fffffffff,3.0,3.0,0.0
826657fffffffff,4.0,0.0,0.0
8266a7fffffffff,1.0,0.0,0.0
8266c7fffffffff,1.0,0.0,0.0
8266d7fffffffff,1.0,0.0,0.0
8266f7fffffffff,4.0,0.0,0.0
826747fffffffff,2.0,0.0,0.0
82674ffffffffff,5.0,0.0,0.0
826d2ffffffffff,8.0,0.0,0.0
826d6ffffffffff,3.0,0.0,0.0
828037fffffffff,2.0,0.0,0.0
828067fffffffff,2.0,2.0,0.0
828107fffffffff,27.0,0.0,12.0
828117fffffffff,2.0,0.0,0.0
82811ffffffffff,9.0,0.0,9.0
82812ffffffffff,4.0,0.0,0.0
828137fffffffff,88.0,0.0,0.0
828147fffffffff,13.0,0.0,0.0
828167fffffffff,1.0,0.0,0.0
828187fffffffff,103.0,0.0,27.0
8281affffffffff,2.0,0.0,0.0
828adffffffffff,2.0,0.0,0.0
828b47fffffffff,2.0,2.0,0.0
828b77fffffffff,1.0,0.0,0.0
828b9ffffffffff,5.0,0.0,0.0
828f47fffffffff,2.0,0.0,0.0
82a597fffffffff,43.0,0.0,0.0
82a807fffffffff,1.0,0.0,1.0
82a817fffffffff,16.0,0.0,0.0
82a81ffffffffff,4.0,0.0,0.0
82a837fffffffff,1.0,0.0,0.0
82a887fffffffff,1.0,0.0,0.0
82a897fffffffff,2.0,0.0,0.0
82a8c7fffffffff,2.0,0.0,0.0
82a947fffffffff,14.0,0.0,0.0
82a957fffffffff,15.0,0.0,0.0
82a96ffffffffff,2.0,0.0,0.0
82a977fffffffff,2.0,0.0,0.0
82b347fffffffff,13.0,0.0,2.0
82b35ffffffffff,4.0,0.0,0.0
