cell_id,Mareca strepera,Mareca strepera strepera,Mareca strepera couesi
8407461ffffffff,6.0,4.0,0.0
840746dffffffff,4.0,0.0,0.0
84075ddffffffff,10.0,0.0,0.0
8408937ffffffff,2.0,0.0,0.0
8408997ffffffff,2.0,0.0,0.0
84089e5ffffffff,2.0,0.0,0.0
84089edffffffff,2.0,0.0,0.0
8409821ffffffff,3.0,0.0,0.0
840c061ffffffff,1.0,0.0,0.0
840c143ffffffff,4.0,0.0,0.0
840c415ffffffff,18.0,0.0,0.0
840c42dffffffff,3.0,0.0,0.0
840c441ffffffff,1.0,0.0,0.0
840c51dffffffff,8.0,0.0,0.0
840c5a5ffffffff,68.0,0.0,0.0
840c5adffffffff,11.0,0.0,0.0
840c665ffffffff,2.0,2.0,0.0
840c68bffffffff,2.0,0.0,0.0
840c71bffffffff,3.0,0.0,0.0
840c733ffffffff,50.0,4.0,0.0
840c735ffffffff,2.0,0.0,0.0
840c73bffffffff,2.0,0.0,0.0
840c74dffffffff,3.0,0.0,0.0
840c769ffffffff,2.0,2.0,0.0
840ca43ffffffff,6.0,0.0,0.0
840ce33ffffffff,4.0,0.0,0.0
840ce9dffffffff,2.0,0.0,0.0
840cee5ffffffff,5.0,0.0,0.0
840cee7ffffffff,2.0,0.0,0.0
840d039ffffffff,62.0,0.0,0.0
840d0d1ffffffff,2.0,0.0,0.0
840d0d9ffffffff,18.0,0.0,0.0
840d4d5ffffffff,5.0,0.0,0.0
840d595ffffffff,2.0,0.0,0.0
840d5b9ffffffff,1.0,0.0,0.0
840d65dffffffff,1.0,0.0,0.0
840d761ffffffff,2.0,0.0,0.0
840e497ffffffff,4.0,0.0,0.0
840e805ffffffff,7.0,0.0,0.0
840ec19ffffffff,9.0,0.0,0.0
840ecc9ffffffff,10.0,0.0,0.0
840eeabffffffff,9.0,0.0,0.0
840eeb5ffffffff,35.0,0.0,0.0
8411069ffffffff,2.0,0.0,0.0
841181bffffffff,4.0,0.0,0.0
8411aa7ffffffff,1.0,0.0,0.0
8412219ffffffff,2.0,0.0,0.0
8412515ffffffff,3.0,3.0,0.0
8412539ffffffff,3.0,3.0,0.0
8412591ffffffff,6.0,0.0,0.0
8412593ffffffff,2.0,0.0,0.0
8412599ffffffff,2.0,0.0,0.0
84125b7ffffffff,2.0,0.0,0.0
84125d3ffffffff,1.0,0.0,0.0
8412805ffffffff,2.0,0.0,0.0
8412865ffffffff,2.0,0.0,0.0
8412891ffffffff,3.0,0.0,0.0
8412893ffffffff,2.0,0.0,0.0
841289bffffffff,2.0,0.0,0.0
8412a37ffffffff,3.0,0.0,0.0
8412aa3ffffffff,1.0,0.0,0.0
8412b01ffffffff,3.0,0.0,0.0
8412b03ffffffff,1.0,0.0,0.0
8412c11ffffffff,6.0,0.0,0.0
8412c21ffffffff,1.0,0.0,0.0
8412c3bffffffff,2.0,0.0,0.0
8412c91ffffffff,2.0,0.0,0.0
8412c95ffffffff,2.0,0.0,0.0
8412c97ffffffff,10.0,0.0,0.0
8412c9dffffffff,2.0,0.0,0.0
8412cbbffffffff,4.0,0.0,0.0
8412cc1ffffffff,10.0,0.0,0.0
8412cc9ffffffff,14.0,0.0,0.0
8412ccdffffffff,26.0,2.0,0.0
8412cd7ffffffff,2.0,0.0,0.0
8412ce5ffffffff,2.0,0.0,0.0
8412d07ffffffff,2.0,0.0,0.0
8412d17ffffffff,6.0,0.0,0.0
8412d39ffffffff,2.0,0.0,0.0
8412d3bffffffff,3.0,0.0,0.0
8412db3ffffffff,2.0,0.0,0.0
8412ddbffffffff,4.0,0.0,0.0
8412e17ffffffff,2.0,0.0,0.0
8412e8bffffffff,7.0,0.0,0.0
8412ea5ffffffff,1.0,0.0,0.0
8412ec1ffffffff,2.0,0.0,0.0
8412ecdffffffff,1.0,0.0,0.0
8412f13ffffffff,2.0,0.0,0.0
8412f6dffffffff,6.0,0.0,0.0
8413829ffffffff,19.0,0.0,0.0
8413861ffffffff,110.0,0.0,0.0
8413933ffffffff,10.0,0.0,0.0
8413b53ffffffff,17.0,0.0,0.0
8415901ffffffff,2.0,0.0,0.0
8415927ffffffff,8.0,0.0,0.0
8415929ffffffff,7.0,0.0,0.0
841592bffffffff,5.0,0.0,0.0
8415b39ffffffff,2.0,0.0,0.0
8415b6bffffffff,2.0,0.0,0.0
8418233ffffffff,2.0,0.0,0.0
841828bffffffff,44.0,0.0,0.0
