cell_id,Megascops koepckeae,Megascops koepckeae koepckeae,Megascops koepckeae hockingi
848b61bffffffff,4.0,0.0,3.0
848b6c1ffffffff,1.0,0.0,0.0
848b6cdffffffff,2.0,0.0,0.0
848e657ffffffff,12.0,0.0,0.0
848e68bffffffff,5.0,0.0,0.0
848e6c1ffffffff,1.0,0.0,0.0
848e6d1ffffffff,4.0,0.0,0.0
848e6d9ffffffff,130.0,0.0,22.0
848e6ddffffffff,17.0,0.0,0.0
848f42dffffffff,71.0,13.0,0.0
848f51dffffffff,1.0,0.0,0.0
848f553ffffffff,9.0,0.0,0.0
848f557ffffffff,1.0,0.0,0.0
848f55bffffffff,120.0,11.0,0.0
848f581ffffffff,1.0,0.0,0.0
848f589ffffffff,1.0,0.0,0.0
848f58dffffffff,4.0,0.0,0.0
848f5cdffffffff,1.0,0.0,0.0
848f5e1ffffffff,2.0,0.0,0.0
848f5e9ffffffff,2.0,0.0,0.0
848f5ebffffffff,2.0,0.0,0.0
848f72dffffffff,3.0,0.0,0.0
