cell_id,Melanerpes aurifrons,Melanerpes aurifrons aurifrons,Melanerpes aurifrons [santacruzi Group],Melanerpes aurifrons polygrammus
8226c7fffffffff,41.0,0.0,0.0,0.0
8226cffffffffff,38.0,0.0,0.0,0.0
8226d7fffffffff,970.0,24.0,0.0,0.0
8226dffffffffff,2889.0,258.0,0.0,0.0
824427fffffffff,17.0,0.0,3.0,0.0
824507fffffffff,3534.0,0.0,332.0,0.0
82450ffffffffff,16517.0,0.0,3279.0,0.0
82451ffffffffff,258.0,0.0,52.0,0.0
824527fffffffff,21556.0,21.0,548.0,0.0
82452ffffffffff,26459.0,0.0,2310.0,0.0
824537fffffffff,4808.0,0.0,543.0,0.0
82456ffffffffff,3.0,0.0,0.0,0.0
824577fffffffff,1027.0,0.0,225.0,0.0
824817fffffffff,924.0,0.0,0.0,0.0
82481ffffffffff,131.0,0.0,0.0,0.0
824887fffffffff,12880.0,360.0,0.0,0.0
82488ffffffffff,4177.0,110.0,0.0,0.0
824897fffffffff,10181.0,209.0,0.0,0.0
82489ffffffffff,23104.0,407.0,0.0,0.0
8248a7fffffffff,4689.0,0.0,0.0,0.0
8248affffffffff,2924.0,104.0,0.0,0.0
8248b7fffffffff,70891.0,3608.0,0.0,0.0
8248d7fffffffff,3.0,0.0,0.0,0.0
8248f7fffffffff,432.0,98.0,0.0,0.0
824987fffffffff,2778.0,66.0,0.0,0.0
82498ffffffffff,714.0,5.0,0.0,0.0
824997fffffffff,12691.0,26.0,855.0,0.0
82499ffffffffff,1384.0,49.0,4.0,0.0
8249affffffffff,1559.0,69.0,0.0,0.0
8249b7fffffffff,1.0,0.0,0.0,0.0
826797fffffffff,2.0,0.0,0.0,0.0
8267b7fffffffff,1.0,0.0,0.0,0.0
826d07fffffffff,1398.0,0.0,64.0,61.0
826d27fffffffff,4105.0,0.0,197.0,30.0
826d2ffffffffff,18527.0,9.0,6689.0,13.0
826d37fffffffff,9060.0,0.0,993.0,10.0
826d67fffffffff,7426.0,0.0,12.0,0.0
826d77fffffffff,5296.0,0.0,45.0,0.0
