cell_id,Melanodera melanodera,Melanodera melanodera princetoniana,Melanodera melanodera melanodera
84cf121ffffffff,2.0,0.0,0.0
84cf12dffffffff,2.0,0.0,0.0
84cf165ffffffff,13.0,2.0,0.0
84cfa0dffffffff,3.0,0.0,0.0
84cfa41ffffffff,12.0,0.0,0.0
84cfa45ffffffff,6.0,2.0,0.0
84cfa49ffffffff,64.0,16.0,0.0
84cfa4bffffffff,58.0,20.0,0.0
84cfa4dffffffff,30.0,6.0,0.0
84cfa59ffffffff,34.0,4.0,0.0
84cfa5dffffffff,3.0,0.0,0.0
84de629ffffffff,44.0,0.0,10.0
84de62dffffffff,152.0,0.0,48.0
84de665ffffffff,10.0,0.0,0.0
84de701ffffffff,30.0,0.0,5.0
84de703ffffffff,5.0,0.0,0.0
84de707ffffffff,199.0,0.0,42.0
84de709ffffffff,15.0,0.0,3.0
84de70bffffffff,5.0,0.0,5.0
84de719ffffffff,21.0,0.0,14.0
84de71dffffffff,7.0,0.0,2.0
84de743ffffffff,95.0,0.0,26.0
84de751ffffffff,2.0,0.0,0.0
84de753ffffffff,68.0,0.0,17.0
84de755ffffffff,1.0,0.0,1.0
84de75bffffffff,1.0,0.0,0.0
84df419ffffffff,3.0,0.0,0.0
84df41dffffffff,4.0,0.0,0.0
84df4c9ffffffff,2.0,0.0,0.0
84df4d9ffffffff,1.0,0.0,0.0
84df5b3ffffffff,8.0,0.0,0.0
84df683ffffffff,7.0,0.0,0.0
84df687ffffffff,2.0,0.0,0.0
84df691ffffffff,34.0,5.0,0.0
84df693ffffffff,111.0,24.0,0.0
84df697ffffffff,29.0,17.0,0.0
84df699ffffffff,2.0,1.0,0.0
84df69bffffffff,1.0,1.0,0.0
84df6a7ffffffff,1.0,0.0,0.0
84df6b7ffffffff,2.0,0.0,0.0
84df6bbffffffff,3.0,0.0,0.0
84df6bdffffffff,1.0,0.0,0.0
