cell_id,Melanodera xanthogramma,Melanodera xanthogramma barrosi,Melanodera xanthogramma xanthogramma
83b2c5fffffffff,4.0,2.0,0.0
83b2cafffffffff,38.0,0.0,0.0
83b2cefffffffff,1.0,0.0,0.0
83b2d9fffffffff,9.0,0.0,0.0
83b2e3fffffffff,3.0,3.0,0.0
83ce81fffffffff,11.0,0.0,0.0
83ce83fffffffff,5.0,0.0,0.0
83ce85fffffffff,3.0,0.0,0.0
83ce8efffffffff,9.0,0.0,0.0
83ce9cfffffffff,7.0,0.0,0.0
83ce9dfffffffff,9.0,1.0,0.0
83cea0fffffffff,2.0,1.0,0.0
83cea3fffffffff,3.0,0.0,0.0
83ceaafffffffff,30.0,0.0,0.0
83cf12fffffffff,8.0,2.0,0.0
83cf8afffffffff,5.0,0.0,0.0
83cf8cfffffffff,3.0,0.0,2.0
83cf8efffffffff,6.0,0.0,4.0
83df41fffffffff,1.0,0.0,0.0
83df45fffffffff,15.0,0.0,4.0
83df68fffffffff,1.0,0.0,0.0
83df69fffffffff,2.0,0.0,1.0
83df6afffffffff,5.0,0.0,0.0
83df6bfffffffff,3.0,0.0,0.0
