cell_id,Melanopareia maximiliani,Melanopareia maximiliani maximiliani/argentina,Melanopareia maximiliani pallida
828b27fffffffff,127.0,0.0,0.0
828b2ffffffffff,148.0,0.0,0.0
82a86ffffffffff,3.0,0.0,0.0
82a94ffffffffff,8.0,0.0,0.0
82a96ffffffffff,7.0,0.0,0.0
82b247fffffffff,394.0,0.0,0.0
82b24ffffffffff,357.0,0.0,0.0
82b257fffffffff,6.0,0.0,0.0
82b25ffffffffff,426.0,0.0,0.0
82b267fffffffff,77.0,0.0,0.0
82b26ffffffffff,39.0,0.0,0.0
82b277fffffffff,86.0,0.0,0.0
82b327fffffffff,29.0,0.0,0.0
82b347fffffffff,14.0,0.0,0.0
82b34ffffffffff,119.0,0.0,0.0
82b357fffffffff,12.0,0.0,0.0
82b35ffffffffff,228.0,0.0,0.0
82b367fffffffff,1.0,0.0,0.0
82b36ffffffffff,149.0,0.0,0.0
82b377fffffffff,9.0,0.0,0.0
