cell_id,Melithreptus gularis,Melithreptus gularis laetior,Melithreptus gularis gularis
84945a5ffffffff,1.0,1.0,0.0
84945adffffffff,2.0,2.0,0.0
849c237ffffffff,1.0,1.0,0.0
849c259ffffffff,1.0,0.0,0.0
849c62dffffffff,4.0,4.0,0.0
849d4a1ffffffff,1.0,1.0,0.0
84b914dffffffff,1.0,0.0,0.0
84b9169ffffffff,2.0,0.0,0.0
84be097ffffffff,1.0,0.0,0.0
84be0bdffffffff,2.0,0.0,1.0
84be0d5ffffffff,2.0,0.0,0.0
84be1a1ffffffff,2.0,0.0,0.0
84be44dffffffff,3.0,0.0,0.0
84be4c9ffffffff,2.0,0.0,0.0
84be4cbffffffff,12.0,0.0,0.0
84be4cdffffffff,1.0,0.0,0.0
84be4e5ffffffff,2.0,0.0,0.0
84be717ffffffff,4.0,0.0,1.0
84be8d9ffffffff,5.0,0.0,0.0
84bea93ffffffff,1.0,0.0,0.0
84bee49ffffffff,2.0,0.0,2.0
84bef05ffffffff,2.0,0.0,0.0
