cell_id,Milvus milvus,Milvus milvus milvus,Milvus milvus fasciicauda
830745fffffffff,2.0,2.0,0.0
830884fffffffff,2.0,0.0,0.0
830899fffffffff,2.0,0.0,0.0
83089afffffffff,1.0,0.0,0.0
830982fffffffff,1.0,0.0,0.0
830991fffffffff,3.0,2.0,0.0
83182cfffffffff,8.0,0.0,0.0
831849fffffffff,78.0,52.0,0.0
83184bfffffffff,63.0,10.0,0.0
83184dfffffffff,2.0,0.0,0.0
831859fffffffff,2.0,0.0,0.0
83185bfffffffff,7.0,0.0,0.0
83186afffffffff,1.0,0.0,0.0
83186dfffffffff,2.0,0.0,0.0
831870fffffffff,4.0,0.0,0.0
831876fffffffff,7.0,0.0,0.0
831909fffffffff,3.0,3.0,0.0
83190cfffffffff,4.0,0.0,0.0
831926fffffffff,1.0,0.0,0.0
83192bfffffffff,20.0,2.0,0.0
831941fffffffff,6.0,6.0,0.0
831942fffffffff,7.0,6.0,0.0
831943fffffffff,10.0,8.0,0.0
831948fffffffff,1.0,1.0,0.0
83194afffffffff,8.0,0.0,0.0
83194cfffffffff,6.0,6.0,0.0
83194efffffffff,8.0,2.0,0.0
831952fffffffff,1.0,0.0,0.0
831954fffffffff,11.0,3.0,0.0
831955fffffffff,2.0,2.0,0.0
831958fffffffff,1.0,0.0,0.0
831959fffffffff,2.0,0.0,0.0
83195efffffffff,2.0,2.0,0.0
831968fffffffff,12.0,0.0,0.0
831969fffffffff,8.0,0.0,0.0
83196bfffffffff,2.0,0.0,0.0
831972fffffffff,14.0,0.0,0.0
831e02fffffffff,2.0,0.0,0.0
831e04fffffffff,4.0,0.0,0.0
831e05fffffffff,3.0,0.0,0.0
831e06fffffffff,18.0,0.0,0.0
831e13fffffffff,7.0,0.0,0.0
831e14fffffffff,7.0,0.0,0.0
831e16fffffffff,2.0,0.0,0.0
831e1afffffffff,1.0,0.0,0.0
831e1bfffffffff,7.0,0.0,0.0
831e20fffffffff,1.0,0.0,0.0
831e23fffffffff,2.0,0.0,0.0
831e24fffffffff,4.0,0.0,0.0
831e26fffffffff,2.0,0.0,0.0
831e29fffffffff,2.0,0.0,0.0
831e2efffffffff,2.0,0.0,0.0
831e31fffffffff,2.0,0.0,0.0
831e34fffffffff,6.0,0.0,0.0
831e35fffffffff,20.0,0.0,0.0
831e36fffffffff,6.0,0.0,0.0
831e76fffffffff,2.0,0.0,0.0
831eb2fffffffff,2.0,0.0,0.0
831ec0fffffffff,11.0,2.0,0.0
831ec1fffffffff,3.0,0.0,0.0
831ec8fffffffff,2.0,0.0,0.0
831ec9fffffffff,43.0,0.0,0.0
831eccfffffffff,1.0,0.0,0.0
831ecdfffffffff,2.0,0.0,0.0
831ecefffffffff,1.0,1.0,0.0
831edafffffffff,12.0,0.0,0.0
831eebfffffffff,8.0,0.0,0.0
831f00fffffffff,2.0,2.0,0.0
831f02fffffffff,2.0,0.0,0.0
831f03fffffffff,2.0,0.0,0.0
831f05fffffffff,25.0,0.0,0.0
831f09fffffffff,2.0,0.0,0.0
831f0dfffffffff,3.0,0.0,0.0
831f13fffffffff,2.0,0.0,0.0
831f19fffffffff,1.0,0.0,0.0
831f1afffffffff,33.0,29.0,0.0
831f1bfffffffff,2.0,2.0,0.0
831f24fffffffff,1.0,0.0,0.0
831f2efffffffff,3.0,0.0,0.0
831f42fffffffff,2.0,0.0,0.0
831f4bfffffffff,2.0,0.0,0.0
831f4cfffffffff,3.0,0.0,0.0
831f51fffffffff,2.0,0.0,0.0
831f52fffffffff,1.0,0.0,0.0
