cell_id,Mirafra javanica,Mirafra javanica [cantillans Group],Mirafra javanica [javanica Group]
823da7fffffffff,1.0,0.0,0.0
823db7fffffffff,15.0,0.0,0.0
82521ffffffffff,27.0,20.0,0.0
82524ffffffffff,5.0,0.0,3.0
825407fffffffff,3.0,2.0,0.0
825417fffffffff,25.0,23.0,0.0
82541ffffffffff,80.0,52.0,0.0
8254affffffffff,10.0,10.0,0.0
8254e7fffffffff,2.0,2.0,0.0
82585ffffffffff,2.0,2.0,0.0
82599ffffffffff,9.0,9.0,0.0
826337fffffffff,15.0,0.0,1.0
826487fffffffff,81.0,0.0,77.0
826497fffffffff,42.0,0.0,36.0
8264a7fffffffff,147.0,0.0,147.0
8264b7fffffffff,20.0,0.0,20.0
826587fffffffff,211.0,0.0,189.0
826597fffffffff,10.0,0.0,10.0
82659ffffffffff,106.0,0.0,105.0
8265b7fffffffff,6.0,0.0,6.0
82685ffffffffff,21.0,0.0,18.0
826947fffffffff,2.0,0.0,2.0
82694ffffffffff,11.0,0.0,11.0
82695ffffffffff,4.0,0.0,4.0
82696ffffffffff,12.0,0.0,10.0
826a5ffffffffff,10.0,10.0,0.0
826aeffffffffff,2.0,2.0,0.0
826b37fffffffff,2.0,0.0,0.0
8272dffffffffff,1.0,0.0,0.0
827a47fffffffff,56.0,55.0,0.0
827a4ffffffffff,3.0,0.0,0.0
827a5ffffffffff,9.0,7.0,0.0
827a67fffffffff,60.0,48.0,0.0
827a6ffffffffff,11.0,2.0,0.0
827adffffffffff,111.0,98.0,0.0
82941ffffffffff,4.0,0.0,4.0
82942ffffffffff,18.0,0.0,18.0
829457fffffffff,276.0,0.0,234.0
82945ffffffffff,7.0,0.0,4.0
829487fffffffff,693.0,0.0,659.0
82948ffffffffff,14.0,0.0,14.0
829497fffffffff,76.0,0.0,73.0
8294affffffffff,4.0,0.0,3.0
8294c7fffffffff,23.0,0.0,23.0
8294cffffffffff,6.0,0.0,6.0
8294d7fffffffff,10.0,0.0,8.0
8294dffffffffff,2.0,0.0,2.0
8294e7fffffffff,74.0,0.0,71.0
8294effffffffff,176.0,0.0,167.0
8294f7fffffffff,42.0,0.0,40.0
829697fffffffff,6.0,0.0,0.0
829c07fffffffff,45.0,0.0,40.0
829c0ffffffffff,3.0,0.0,3.0
829c27fffffffff,139.0,0.0,117.0
829c2ffffffffff,40.0,0.0,38.0
829c47fffffffff,5.0,0.0,5.0
829c4ffffffffff,2.0,0.0,2.0
829c5ffffffffff,4.0,0.0,4.0
829c67fffffffff,23.0,0.0,17.0
829c6ffffffffff,106.0,0.0,104.0
829c77fffffffff,34.0,0.0,33.0
829c9ffffffffff,6.0,0.0,6.0
829caffffffffff,7.0,0.0,5.0
829cd7fffffffff,2.0,0.0,2.0
829d0ffffffffff,68.0,0.0,63.0
829d27fffffffff,81.0,0.0,78.0
829d2ffffffffff,27.0,0.0,27.0
829d47fffffffff,72.0,0.0,57.0
829d4ffffffffff,24.0,0.0,24.0
829d57fffffffff,10.0,0.0,9.0
829d5ffffffffff,3.0,0.0,1.0
829d67fffffffff,6.0,0.0,6.0
829d6ffffffffff,61.0,0.0,59.0
829d77fffffffff,9.0,0.0,8.0
82a607fffffffff,2.0,0.0,2.0
82a617fffffffff,59.0,0.0,59.0
82a6a7fffffffff,48.0,0.0,44.0
82a787fffffffff,2.0,0.0,2.0
82a78ffffffffff,6.0,0.0,6.0
82a797fffffffff,4.0,0.0,4.0
82a79ffffffffff,72.0,0.0,65.0
82b887fffffffff,6.0,0.0,6.0
82b89ffffffffff,7.0,0.0,7.0
82b8a7fffffffff,2.0,0.0,2.0
82b8affffffffff,2.0,0.0,2.0
82b8b7fffffffff,2.0,0.0,0.0
82b917fffffffff,62.0,0.0,61.0
82b91ffffffffff,1.0,0.0,0.0
82b987fffffffff,6.0,0.0,6.0
82b98ffffffffff,1.0,0.0,1.0
82b997fffffffff,6.0,0.0,6.0
82b99ffffffffff,10.0,0.0,10.0
82b9a7fffffffff,20.0,0.0,16.0
82b9affffffffff,5.0,0.0,4.0
82b9b7fffffffff,11.0,0.0,11.0
82be0ffffffffff,145.0,0.0,141.0
82be1ffffffffff,10.0,0.0,6.0
82be47fffffffff,482.0,0.0,431.0
82be4ffffffffff,38.0,0.0,38.0
82be57fffffffff,86.0,0.0,84.0
82be5ffffffffff,2.0,0.0,2.0
82be67fffffffff,776.0,0.0,694.0
82be6ffffffffff,39.0,0.0,36.0
82be77fffffffff,25.0,0.0,22.0
82be8ffffffffff,27.0,0.0,26.0
82becffffffffff,10.0,0.0,10.0
82bed7fffffffff,21.0,0.0,21.0
82bedffffffffff,12.0,0.0,12.0
82bee7fffffffff,72.0,0.0,67.0
82beeffffffffff,11.0,0.0,11.0
82bef7fffffffff,250.0,0.0,221.0
