cell_id,Monasa morphoeus,Monasa morphoeus grandior/fidelis,Monasa morphoeus pallescens/sclateri,Monasa morphoeus [morphoeus Group]
824537fffffffff,56.0,0.0,0.0,0.0
82660ffffffffff,163.0,0.0,7.0,0.0
826617fffffffff,378.0,0.0,55.0,0.0
82661ffffffffff,75.0,0.0,10.0,0.0
826647fffffffff,4.0,0.0,0.0,0.0
82664ffffffffff,2.0,0.0,0.0,0.0
82665ffffffffff,393.0,0.0,0.0,0.0
8266a7fffffffff,4.0,0.0,0.0,0.0
8266affffffffff,1.0,0.0,0.0,0.0
8266b7fffffffff,20.0,0.0,0.0,0.0
8266c7fffffffff,295.0,0.0,0.0,0.0
8266cffffffffff,32.0,0.0,0.0,0.0
8266d7fffffffff,83.0,0.0,0.0,0.0
8266dffffffffff,1025.0,0.0,0.0,98.0
8266e7fffffffff,99.0,0.0,0.0,0.0
8266effffffffff,213.0,0.0,0.0,0.0
8266f7fffffffff,171.0,0.0,2.0,0.0
826797fffffffff,47.0,0.0,0.0,0.0
82679ffffffffff,202.0,0.0,0.0,0.0
826d6ffffffffff,1331.0,0.0,0.0,0.0
828047fffffffff,130.0,0.0,0.0,5.0
828067fffffffff,84.0,0.0,0.0,0.0
828077fffffffff,11.0,0.0,0.0,3.0
828137fffffffff,51.0,0.0,0.0,1.0
828147fffffffff,21.0,0.0,0.0,0.0
82814ffffffffff,240.0,0.0,0.0,0.0
82815ffffffffff,52.0,0.0,0.0,1.0
828a07fffffffff,180.0,0.0,0.0,19.0
828a17fffffffff,83.0,0.0,0.0,1.0
828a1ffffffffff,14.0,0.0,0.0,2.0
828a27fffffffff,22.0,0.0,0.0,1.0
828a2ffffffffff,2.0,0.0,0.0,0.0
828a37fffffffff,21.0,0.0,0.0,1.0
828a47fffffffff,43.0,0.0,0.0,0.0
828a4ffffffffff,5.0,0.0,0.0,0.0
828a57fffffffff,4.0,0.0,0.0,0.0
828a5ffffffffff,1.0,0.0,0.0,1.0
828a6ffffffffff,240.0,0.0,0.0,0.0
828a77fffffffff,8.0,0.0,0.0,0.0
828a87fffffffff,104.0,0.0,0.0,4.0
828a97fffffffff,23.0,0.0,0.0,0.0
828a9ffffffffff,18.0,0.0,0.0,0.0
828aaffffffffff,113.0,0.0,0.0,0.0
828ab7fffffffff,3.0,0.0,0.0,0.0
828af7fffffffff,130.0,0.0,0.0,33.0
828b0ffffffffff,4.0,0.0,0.0,0.0
828b17fffffffff,5.0,0.0,0.0,0.0
828b47fffffffff,849.0,0.0,0.0,0.0
828b4ffffffffff,11.0,0.0,0.0,2.0
828b57fffffffff,30.0,0.0,0.0,0.0
828b5ffffffffff,30.0,0.0,0.0,0.0
828b67fffffffff,213.0,0.0,0.0,0.0
828b6ffffffffff,87.0,0.0,0.0,0.0
828b77fffffffff,69.0,0.0,0.0,0.0
828b87fffffffff,52.0,0.0,0.0,1.0
828b8ffffffffff,24.0,0.0,0.0,0.0
828b9ffffffffff,305.0,0.0,0.0,6.0
828ba7fffffffff,1.0,0.0,0.0,0.0
828baffffffffff,4.0,0.0,0.0,0.0
828bb7fffffffff,1.0,0.0,0.0,0.0
828e67fffffffff,7.0,0.0,0.0,0.0
828f47fffffffff,213.0,0.0,0.0,5.0
828f4ffffffffff,34.0,0.0,0.0,0.0
828f5ffffffffff,24.0,0.0,0.0,0.0
828f67fffffffff,48.0,0.0,0.0,0.0
828f6ffffffffff,13.0,0.0,0.0,0.0
828f77fffffffff,39.0,0.0,0.0,1.0
82a597fffffffff,7.0,0.0,0.0,0.0
82a8cffffffffff,8.0,0.0,0.0,8.0
82b327fffffffff,1.0,0.0,0.0,0.0
