cell_id,Monticola solitarius,Monticola solitarius solitarius/longirostris,Monticola solitarius pandoo,Monticola solitarius philippensis,Monticola solitarius madoci,Monticola solitarius pandoo x philippensis
83184bfffffffff,3.0,3.0,0.0,0.0,0.0,0.0
83194afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83195dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
831e18fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831eabfffffffff,2.0,2.0,0.0,0.0,0.0,0.0
831ec8fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831eccfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
831ecefffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831f9cfffffffff,23.0,0.0,0.0,0.0,0.0,0.0
831f9dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832099fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832835fffffffff,1.0,0.0,0.0,1.0,0.0,0.0
832c0bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832db0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832db2fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
833006fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83309bfffffffff,52.0,0.0,0.0,40.0,0.0,0.0
83309dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8330acfffffffff,5.0,0.0,0.0,1.0,0.0,0.0
8330ecfffffffff,3.0,0.0,3.0,0.0,0.0,0.0
833185fffffffff,5.0,0.0,0.0,5.0,0.0,0.0
833469fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
833862fffffffff,28.0,0.0,0.0,0.0,0.0,0.0
833863fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
833870fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
833875fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8338dbfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8338e4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
833900fffffffff,45.0,25.0,0.0,0.0,0.0,0.0
833901fffffffff,32.0,12.0,0.0,0.0,0.0,0.0
833902fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
833903fffffffff,15.0,1.0,0.0,0.0,0.0,0.0
833905fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83390cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
833910fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
833911fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
833915fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
833918fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
83391afffffffff,5.0,3.0,0.0,0.0,0.0,0.0
83391cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
833921fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
833922fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
833923fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
833924fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
833925fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
833928fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
833929fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
83392afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83392bfffffffff,12.0,0.0,0.0,0.0,0.0,0.0
83392cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83392dfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
83392efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
833931fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
833933fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
833942fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
833943fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
833944fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
833954fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83395cfffffffff,16.0,0.0,0.0,0.0,0.0,0.0
833969fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
833970fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
833971fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
833972fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
833975fffffffff,3.0,3.0,0.0,0.0,0.0,0.0
833976fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
833c02fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
833c06fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
833c0afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
