cell_id,Motacilla tschutschensis,Motacilla tschutschensis tschutschensis/plexa,Motacilla tschutschensis taivana,Motacilla tschutschensis macronyx
8309a6fffffffff,7.0,0.0,0.0,0.0
830c14fffffffff,14.0,0.0,0.0,0.0
830c30fffffffff,5.0,0.0,0.0,0.0
830c34fffffffff,5.0,0.0,0.0,0.0
830c41fffffffff,6.0,0.0,0.0,0.0
830ca4fffffffff,7.0,0.0,0.0,0.0
830d11fffffffff,2.0,0.0,0.0,0.0
830d60fffffffff,15.0,0.0,0.0,0.0
830d62fffffffff,48.0,0.0,0.0,0.0
830d66fffffffff,2.0,0.0,0.0,0.0
830d75fffffffff,17.0,0.0,0.0,0.0
830d76fffffffff,9.0,0.0,0.0,0.0
8312b0fffffffff,1.0,0.0,0.0,0.0
83139efffffffff,1.0,0.0,0.0,0.0
831592fffffffff,1.0,0.0,0.0,0.0
831593fffffffff,2.0,0.0,2.0,0.0
831634fffffffff,2.0,0.0,0.0,0.0
831650fffffffff,8.0,8.0,0.0,0.0
83165efffffffff,4.0,0.0,0.0,0.0
831828fffffffff,5.0,0.0,0.0,0.0
831846fffffffff,2.0,0.0,0.0,0.0
831873fffffffff,3.0,0.0,0.0,0.0
831876fffffffff,1.0,0.0,0.0,0.0
831941fffffffff,40.0,21.0,0.0,0.0
831948fffffffff,1.0,1.0,0.0,0.0
83194cfffffffff,8.0,2.0,0.0,0.0
83195bfffffffff,2.0,0.0,0.0,0.0
831968fffffffff,4.0,0.0,0.0,0.0
831973fffffffff,10.0,0.0,0.0,0.0
831edafffffffff,6.0,0.0,0.0,0.0
831f05fffffffff,2.0,0.0,0.0,0.0
831f72fffffffff,3.0,0.0,0.0,0.0
83225afffffffff,6.0,6.0,0.0,0.0
8322dbfffffffff,7.0,0.0,0.0,0.0
83242dfffffffff,1.0,0.0,0.0,1.0
83244bfffffffff,1.0,0.0,0.0,0.0
832452fffffffff,3.0,3.0,0.0,0.0
83255afffffffff,1.0,1.0,0.0,0.0
832802fffffffff,2.0,0.0,0.0,0.0
832806fffffffff,1.0,0.0,0.0,0.0
83281bfffffffff,1.0,0.0,0.0,0.0
83281cfffffffff,1.0,0.0,0.0,0.0
832830fffffffff,43.0,2.0,0.0,0.0
832834fffffffff,2.0,0.0,0.0,0.0
832912fffffffff,4.0,0.0,0.0,0.0
8329a1fffffffff,7.0,1.0,0.0,0.0
832c93fffffffff,3.0,0.0,0.0,0.0
832e2bfffffffff,3.0,0.0,0.0,0.0
832e6bfffffffff,2.0,0.0,0.0,2.0
832f5dfffffffff,1.0,0.0,0.0,0.0
833081fffffffff,2.0,0.0,0.0,0.0
833083fffffffff,2.0,0.0,0.0,0.0
833099fffffffff,12.0,0.0,6.0,0.0
83309bfffffffff,71.0,0.0,21.0,1.0
83309dfffffffff,3.0,0.0,0.0,0.0
8330d1fffffffff,2.0,0.0,0.0,0.0
8330d9fffffffff,1.0,0.0,0.0,0.0
833185fffffffff,36.0,11.0,0.0,0.0
83318dfffffffff,10.0,7.0,0.0,0.0
8331aafffffffff,7.0,0.0,0.0,0.0
83346bfffffffff,6.0,0.0,0.0,0.0
833918fffffffff,7.0,0.0,0.0,0.0
833931fffffffff,5.0,0.0,0.0,0.0
833933fffffffff,38.0,0.0,0.0,0.0
833946fffffffff,8.0,2.0,0.0,0.0
833c0afffffffff,14.0,0.0,0.0,0.0
833c19fffffffff,94.0,0.0,0.0,0.0
833c1bfffffffff,19.0,0.0,0.0,0.0
833c1dfffffffff,13.0,0.0,0.0,0.0
833c52fffffffff,5.0,0.0,0.0,0.0
833c58fffffffff,1.0,0.0,0.0,0.0
833c5afffffffff,25.0,1.0,0.0,0.0
833c80fffffffff,1.0,0.0,0.0,0.0
833c89fffffffff,84.0,7.0,0.0,0.0
833c8dfffffffff,39.0,0.0,0.0,0.0
833c8efffffffff,9.0,0.0,0.0,0.0
833c92fffffffff,9.0,2.0,0.0,0.0
833c95fffffffff,1.0,0.0,0.0,0.0
833c9dfffffffff,11.0,0.0,1.0,0.0
833ca8fffffffff,1.0,0.0,0.0,0.0
833ca9fffffffff,16.0,0.0,0.0,0.0
833cc2fffffffff,2.0,0.0,0.0,0.0
833cc4fffffffff,2.0,0.0,0.0,0.0
833cc6fffffffff,11.0,0.0,0.0,0.0
833cd1fffffffff,3.0,0.0,0.0,0.0
833cd5fffffffff,3.0,0.0,0.0,0.0
833ce1fffffffff,4.0,3.0,0.0,0.0
833ce5fffffffff,4.0,0.0,0.0,0.0
833ceafffffffff,4.0,0.0,0.0,0.0
833cecfffffffff,32.0,0.0,0.0,0.0
833cf0fffffffff,3.0,0.0,0.0,0.0
833cf1fffffffff,12.0,0.0,3.0,0.0
833cf2fffffffff,622.0,5.0,0.0,0.0
833cf4fffffffff,2.0,0.0,0.0,0.0
833cf6fffffffff,62.0,0.0,0.0,0.0
83404cfffffffff,9.0,5.0,0.0,0.0
83411cfffffffff,25.0,2.0,2.0,2.0
83414dfffffffff,7.0,0.0,0.0,0.0
834183fffffffff,4.0,0.0,0.0,0.0
8341a0fffffffff,19.0,4.0,2.0,2.0
8341a4fffffffff,15.0,0.0,0.0,2.0
8341a5fffffffff,29.0,3.0,2.0,2.0
8341b2fffffffff,1.0,0.0,1.0,0.0
8341b4fffffffff,25.0,13.0,0.0,12.0
8341b5fffffffff,12.0,5.0,0.0,1.0
8343acfffffffff,3.0,0.0,0.0,0.0
834843fffffffff,1.0,0.0,0.0,0.0
834b62fffffffff,6.0,0.0,0.0,0.0
834b75fffffffff,3.0,0.0,3.0,0.0
834b84fffffffff,26.0,3.0,6.0,0.0
834b86fffffffff,4.0,0.0,0.0,0.0
834b91fffffffff,24.0,1.0,0.0,0.0
834b9cfffffffff,2.0,0.0,0.0,0.0
834ba0fffffffff,7.0,0.0,0.0,0.0
834ba1fffffffff,13.0,0.0,0.0,2.0
834ba2fffffffff,43.0,4.0,0.0,0.0
