cell_id,Muscicapa sibirica,Muscicapa sibirica sibirica,Muscicapa sibirica [cacabata Group]
830a33fffffffff,2.0,0.0,0.0
8314aefffffffff,2.0,0.0,0.0
831588fffffffff,6.0,0.0,0.0
831592fffffffff,7.0,0.0,0.0
8315b3fffffffff,2.0,0.0,0.0
831616fffffffff,7.0,0.0,0.0
831634fffffffff,10.0,0.0,0.0
832098fffffffff,11.0,0.0,0.0
83209afffffffff,17.0,0.0,0.0
83209bfffffffff,15.0,0.0,0.0
83209cfffffffff,14.0,0.0,0.0
832400fffffffff,1.0,0.0,0.0
832404fffffffff,1.0,0.0,0.0
832406fffffffff,1.0,0.0,0.0
832408fffffffff,1.0,0.0,0.0
83240afffffffff,2.0,0.0,0.0
83240efffffffff,1.0,0.0,0.0
832429fffffffff,1.0,0.0,0.0
83242bfffffffff,2.0,0.0,0.0
83242cfffffffff,1.0,0.0,0.0
832435fffffffff,1.0,0.0,0.0
83244bfffffffff,11.0,0.0,0.0
83244cfffffffff,6.0,0.0,0.0
832450fffffffff,5.0,0.0,0.0
832451fffffffff,20.0,0.0,0.0
832456fffffffff,5.0,0.0,0.0
832460fffffffff,33.0,0.0,0.0
832462fffffffff,2.0,0.0,0.0
832463fffffffff,1.0,0.0,0.0
832469fffffffff,1.0,0.0,0.0
83246dfffffffff,1.0,0.0,0.0
832475fffffffff,2.0,0.0,0.0
832540fffffffff,6.0,0.0,0.0
832546fffffffff,25.0,0.0,0.0
83255afffffffff,16.0,0.0,0.0
83255bfffffffff,11.0,0.0,0.0
832e0dfffffffff,2.0,0.0,0.0
832e19fffffffff,1.0,0.0,0.0
832e1afffffffff,7.0,0.0,0.0
832e1bfffffffff,1.0,0.0,0.0
832e61fffffffff,1.0,0.0,0.0
832e68fffffffff,11.0,0.0,0.0
832e74fffffffff,3.0,0.0,0.0
832e88fffffffff,3.0,0.0,0.0
832eacfffffffff,5.0,0.0,0.0
832eadfffffffff,3.0,0.0,0.0
832ec1fffffffff,2.0,0.0,0.0
832ecbfffffffff,2.0,0.0,0.0
832ecdfffffffff,7.0,0.0,0.0
832edcfffffffff,3.0,0.0,0.0
832ef4fffffffff,1.0,0.0,0.0
832f5afffffffff,3.0,0.0,0.0
832f5bfffffffff,8.0,0.0,0.0
833000fffffffff,2.0,0.0,0.0
833006fffffffff,1.0,0.0,0.0
833016fffffffff,1.0,0.0,0.0
833019fffffffff,6.0,0.0,0.0
833020fffffffff,1.0,0.0,0.0
83302bfffffffff,3.0,0.0,0.0
833030fffffffff,4.0,0.0,0.0
833032fffffffff,14.0,0.0,0.0
833036fffffffff,1.0,0.0,0.0
833083fffffffff,21.0,0.0,0.0
83308efffffffff,6.0,0.0,0.0
833092fffffffff,1.0,0.0,0.0
833098fffffffff,4.0,0.0,0.0
833099fffffffff,23.0,0.0,0.0
83309afffffffff,16.0,0.0,0.0
83309bfffffffff,126.0,1.0,0.0
83309dfffffffff,85.0,0.0,0.0
8330acfffffffff,1.0,0.0,0.0
8330c4fffffffff,3.0,0.0,0.0
8330c5fffffffff,2.0,0.0,0.0
8330dbfffffffff,1.0,0.0,0.0
8330e0fffffffff,12.0,0.0,0.0
8330e1fffffffff,3.0,0.0,0.0
8330e2fffffffff,21.0,0.0,0.0
8330e4fffffffff,2.0,0.0,0.0
8330f3fffffffff,1.0,0.0,0.0
833134fffffffff,2.0,0.0,0.0
83316cfffffffff,7.0,0.0,0.0
83316dfffffffff,8.0,0.0,0.0
83316efffffffff,9.0,0.0,0.0
833182fffffffff,1.0,0.0,0.0
833185fffffffff,36.0,0.0,0.0
833188fffffffff,2.0,0.0,0.0
83318cfffffffff,6.0,0.0,0.0
83318dfffffffff,179.0,0.0,0.0
833192fffffffff,1.0,0.0,0.0
833194fffffffff,2.0,0.0,0.0
8331aafffffffff,107.0,0.0,0.0
833c00fffffffff,5.0,0.0,0.0
833c02fffffffff,215.0,0.0,0.0
833c03fffffffff,14.0,0.0,0.0
833c06fffffffff,17.0,0.0,0.0
833c0afffffffff,306.0,0.0,0.0
833c0bfffffffff,87.0,0.0,0.0
833c19fffffffff,77.0,0.0,0.0
833c1cfffffffff,21.0,0.0,0.0
833c1dfffffffff,130.0,0.0,0.0
833c30fffffffff,19.0,0.0,0.0
833c31fffffffff,10.0,0.0,0.0
833c33fffffffff,8.0,0.0,0.0
833c34fffffffff,4.0,0.0,0.0
833c4afffffffff,2.0,0.0,0.0
833c52fffffffff,446.0,0.0,0.0
833c53fffffffff,61.0,0.0,0.0
833c56fffffffff,1.0,0.0,0.0
833c58fffffffff,40.0,0.0,0.0
833c59fffffffff,7.0,0.0,0.0
833c5bfffffffff,7.0,0.0,0.0
833c5cfffffffff,2.0,0.0,0.0
833c5dfffffffff,3.0,0.0,0.0
833c5efffffffff,5.0,0.0,0.0
833c68fffffffff,2.0,0.0,0.0
833c6afffffffff,7.0,0.0,0.0
833cc0fffffffff,11.0,0.0,0.0
833cc3fffffffff,8.0,0.0,0.0
833cc4fffffffff,7.0,0.0,0.0
833cc5fffffffff,5.0,0.0,0.0
833cd8fffffffff,32.0,0.0,0.0
833cd9fffffffff,6.0,0.0,0.0
833cdbfffffffff,2.0,0.0,0.0
833ce2fffffffff,4.0,0.0,0.0
833ce3fffffffff,17.0,0.0,0.0
833ce4fffffffff,65.0,0.0,0.0
833ce5fffffffff,109.0,0.0,0.0
833ce8fffffffff,47.0,0.0,0.0
833cebfffffffff,2.0,0.0,0.0
833cecfffffffff,2.0,0.0,0.0
833cf1fffffffff,1.0,0.0,0.0
833d10fffffffff,179.0,0.0,0.0
833d11fffffffff,57.0,0.0,0.0
