cell_id,Muscicapa williamsoni,Muscicapa williamsoni williamsoni,Muscicapa williamsoni umbrosa
846422dffffffff,2.0,0.0,0.0
846426dffffffff,4.0,0.0,0.0
8464319ffffffff,16.0,8.0,0.0
846433dffffffff,14.0,9.0,0.0
8464343ffffffff,28.0,16.0,0.0
846434bffffffff,2.0,1.0,0.0
8464353ffffffff,1.0,1.0,0.0
8464357ffffffff,5.0,0.0,0.0
8464359ffffffff,21.0,6.0,0.0
846435bffffffff,5.0,0.0,0.0
8465005ffffffff,4.0,0.0,0.0
846500bffffffff,6.0,0.0,0.0
8465029ffffffff,1.0,1.0,0.0
846502bffffffff,1.0,0.0,0.0
8465051ffffffff,2.0,0.0,0.0
8465055ffffffff,19.0,3.0,0.0
8465057ffffffff,3.0,0.0,0.0
8465059ffffffff,1.0,0.0,0.0
8465063ffffffff,2.0,0.0,0.0
8465183ffffffff,26.0,6.0,0.0
8465189ffffffff,55.0,6.0,0.0
846518bffffffff,3.0,3.0,0.0
84651b1ffffffff,1.0,0.0,0.0
84651b3ffffffff,8.0,2.0,0.0
84651b7ffffffff,1.0,0.0,0.0
84651b9ffffffff,2.0,0.0,0.0
84651bbffffffff,4.0,0.0,0.0
84651bdffffffff,1.0,1.0,0.0
84651c3ffffffff,1.0,0.0,0.0
84651c9ffffffff,7.0,0.0,0.0
84651cdffffffff,13.0,0.0,0.0
846520dffffffff,24.0,0.0,0.0
8465225ffffffff,1.0,0.0,0.0
8465229ffffffff,5.0,0.0,0.0
8465263ffffffff,5.0,0.0,0.0
