cell_id,Muscisaxicola rufivertex,Muscisaxicola rufivertex occipitalis,Muscisaxicola rufivertex pallidiceps,Muscisaxicola rufivertex rufivertex
848e663ffffffff,10.0,4.0,3.0,3.0
84b2007ffffffff,8.0,0.0,0.0,7.0
84b2009ffffffff,2.0,0.0,0.0,0.0
84b201bffffffff,2.0,0.0,0.0,0.0
84b2043ffffffff,4.0,0.0,0.0,2.0
84b205bffffffff,2.0,0.0,0.0,0.0
84b20a5ffffffff,9.0,0.0,0.0,0.0
84b2191ffffffff,8.0,0.0,0.0,0.0
84b2193ffffffff,2.0,0.0,0.0,0.0
84b2195ffffffff,5.0,0.0,0.0,0.0
84b2197ffffffff,6.0,0.0,0.0,0.0
84b219bffffffff,14.0,0.0,0.0,0.0
84b219dffffffff,8.0,0.0,0.0,0.0
84b21bbffffffff,2.0,0.0,0.0,0.0
84b228bffffffff,1.0,0.0,0.0,0.0
84b22e7ffffffff,1.0,0.0,0.0,0.0
84b25c3ffffffff,1.0,0.0,0.0,0.0
84b25cbffffffff,4.0,0.0,0.0,0.0
84b2c11ffffffff,2.0,0.0,0.0,0.0
84b2c19ffffffff,2.0,0.0,0.0,0.0
84b2c4dffffffff,2.0,0.0,0.0,0.0
84b2c51ffffffff,44.0,0.0,0.0,0.0
84b2c53ffffffff,21.0,0.0,0.0,0.0
84b2c55ffffffff,2.0,0.0,0.0,0.0
84b2c59ffffffff,8.0,0.0,0.0,0.0
84b2ca3ffffffff,2.0,0.0,0.0,0.0
84b2ca9ffffffff,2.0,0.0,0.0,0.0
84b2ce9ffffffff,3.0,0.0,0.0,0.0
84b2e29ffffffff,1.0,0.0,0.0,0.0
84b2e33ffffffff,1.0,0.0,0.0,0.0
84b2e3dffffffff,2.0,0.0,0.0,0.0
84b2e49ffffffff,2.0,0.0,0.0,0.0
84b2e4dffffffff,1.0,0.0,0.0,0.0
84b2e69ffffffff,4.0,0.0,0.0,0.0
84b30bbffffffff,1.0,0.0,0.0,0.0
84b3201ffffffff,1.0,0.0,0.0,0.0
84b3511ffffffff,2.0,0.0,0.0,0.0
84ce817ffffffff,3.0,0.0,0.0,0.0
