cell_id,Myiarchus nuttingi,Myiarchus nuttingi nuttingi/inquietus,Myiarchus nuttingi flavidior
834524fffffffff,41.0,0.0,0.0
834525fffffffff,153.0,30.0,0.0
834526fffffffff,32.0,0.0,0.0
834801fffffffff,2.0,0.0,0.0
834802fffffffff,36.0,0.0,0.0
834806fffffffff,57.0,0.0,0.0
834809fffffffff,32.0,0.0,0.0
83480afffffffff,1241.0,0.0,0.0
83480bfffffffff,8.0,0.0,0.0
83480efffffffff,26.0,0.0,0.0
834814fffffffff,7.0,0.0,0.0
834815fffffffff,63.0,0.0,0.0
83481dfffffffff,37.0,0.0,0.0
834832fffffffff,4.0,0.0,0.0
834833fffffffff,374.0,0.0,0.0
834836fffffffff,798.0,2.0,0.0
834856fffffffff,2.0,0.0,0.0
8348e0fffffffff,4.0,0.0,0.0
8348e1fffffffff,37.0,0.0,0.0
8348e4fffffffff,87.0,0.0,0.0
8348e5fffffffff,96.0,0.0,0.0
834980fffffffff,118.0,0.0,0.0
834981fffffffff,5.0,0.0,0.0
834982fffffffff,2.0,0.0,0.0
834983fffffffff,16.0,0.0,0.0
834984fffffffff,2.0,0.0,0.0
834985fffffffff,21.0,0.0,0.0
834986fffffffff,24.0,4.0,0.0
834988fffffffff,13.0,0.0,0.0
83498cfffffffff,38.0,3.0,0.0
83498dfffffffff,1.0,0.0,0.0
83498efffffffff,2.0,2.0,0.0
834991fffffffff,1.0,0.0,0.0
834994fffffffff,8.0,0.0,0.0
83499cfffffffff,4.0,0.0,0.0
83499dfffffffff,2.0,0.0,0.0
8349a2fffffffff,71.0,2.0,0.0
8349a3fffffffff,16.0,2.0,0.0
8349a8fffffffff,312.0,12.0,0.0
8349a9fffffffff,408.0,25.0,0.0
8349aafffffffff,74.0,2.0,0.0
8349abfffffffff,90.0,6.0,0.0
8349adfffffffff,50.0,0.0,0.0
8349aefffffffff,5.0,0.0,0.0
8349b0fffffffff,7.0,0.0,0.0
8349b1fffffffff,15.0,0.0,0.0
8349b2fffffffff,19.0,0.0,0.0
8349b3fffffffff,432.0,5.0,0.0
8349b5fffffffff,9.0,0.0,0.0
8349b6fffffffff,2.0,0.0,0.0
8366b4fffffffff,2.0,0.0,0.0
8366b6fffffffff,2.0,0.0,0.0
836d04fffffffff,286.0,17.0,32.0
836d05fffffffff,51.0,0.0,28.0
836d06fffffffff,31.0,0.0,0.0
836d14fffffffff,16.0,4.0,0.0
836d15fffffffff,403.0,7.0,0.0
836d23fffffffff,224.0,12.0,0.0
836d29fffffffff,23.0,5.0,0.0
836d2afffffffff,14.0,0.0,0.0
836d2efffffffff,14.0,0.0,0.0
836d30fffffffff,22.0,0.0,0.0
836d31fffffffff,462.0,9.0,0.0
836d32fffffffff,800.0,27.0,0.0
836d33fffffffff,170.0,4.0,0.0
836d36fffffffff,83.0,0.0,0.0
836d60fffffffff,228.0,0.0,0.0
836d61fffffffff,118.0,0.0,0.0
836d63fffffffff,2.0,0.0,0.0
836d64fffffffff,677.0,0.0,0.0
836d66fffffffff,85.0,0.0,0.0
836d68fffffffff,921.0,0.0,0.0
836d69fffffffff,1052.0,0.0,0.0
836d6afffffffff,16.0,0.0,0.0
836d6bfffffffff,431.0,0.0,0.0
836d6cfffffffff,5.0,0.0,0.0
836d6efffffffff,106.0,0.0,0.0
836d74fffffffff,40.0,0.0,0.0
836d75fffffffff,32.0,0.0,0.0
836d76fffffffff,11.0,0.0,0.0
