cell_id,Myiobius atricaudus,Myiobius atricaudus [atricaudus Group],Myiobius atricaudus ridgwayi
846619bffffffff,35.0,0.0,0.0
846619dffffffff,3.0,0.0,0.0
84661cdffffffff,2.0,0.0,0.0
84665abffffffff,2.0,0.0,0.0
8466a0bffffffff,5.0,0.0,0.0
8466a33ffffffff,3.0,0.0,0.0
8466a57ffffffff,4.0,0.0,0.0
8466b0bffffffff,2.0,2.0,0.0
8466d0bffffffff,18.0,0.0,0.0
8466d31ffffffff,2.0,0.0,0.0
8466d35ffffffff,7.0,0.0,0.0
8466de1ffffffff,7.0,0.0,0.0
8466debffffffff,1.0,0.0,0.0
846d693ffffffff,1.0,0.0,0.0
846d697ffffffff,3.0,0.0,0.0
84819d1ffffffff,1.0,0.0,0.0
848a055ffffffff,1.0,0.0,0.0
848a313ffffffff,1.0,0.0,0.0
848a45bffffffff,1.0,1.0,0.0
848f0d1ffffffff,3.0,0.0,0.0
848f0d3ffffffff,8.0,0.0,0.0
848f72bffffffff,4.0,0.0,0.0
