cell_id,Myiobius barbatus,Myiobius barbatus [barbatus Group],Myiobius barbatus mastacalis
825f07fffffffff,16.0,0.0,0.0
825f0ffffffffff,2.0,0.0,0.0
825f17fffffffff,53.0,0.0,0.0
825f1ffffffffff,2.0,0.0,0.0
825f2ffffffffff,70.0,0.0,0.0
825f47fffffffff,6.0,0.0,0.0
825f57fffffffff,2.0,0.0,0.0
825f77fffffffff,23.0,0.0,0.0
826647fffffffff,59.0,0.0,0.0
82664ffffffffff,4.0,0.0,0.0
82665ffffffffff,16.0,0.0,0.0
82666ffffffffff,2.0,0.0,0.0
8266c7fffffffff,4.0,0.0,0.0
8266dffffffffff,62.0,5.0,0.0
828067fffffffff,6.0,0.0,0.0
828107fffffffff,3.0,0.0,1.0
828117fffffffff,25.0,0.0,2.0
82811ffffffffff,3.0,0.0,0.0
828127fffffffff,3.0,0.0,0.0
828137fffffffff,149.0,0.0,3.0
82814ffffffffff,60.0,0.0,0.0
828187fffffffff,7.0,0.0,0.0
82819ffffffffff,5.0,0.0,0.0
8281affffffffff,5.0,0.0,0.0
828a07fffffffff,9.0,0.0,0.0
828a17fffffffff,6.0,0.0,0.0
828a1ffffffffff,5.0,0.0,0.0
828a37fffffffff,3.0,0.0,0.0
828a47fffffffff,21.0,0.0,0.0
828a6ffffffffff,24.0,0.0,0.0
828a77fffffffff,5.0,0.0,0.0
828a87fffffffff,9.0,0.0,0.0
828a97fffffffff,7.0,0.0,0.0
828aaffffffffff,12.0,0.0,0.0
828adffffffffff,8.0,0.0,0.0
828af7fffffffff,268.0,0.0,0.0
828b47fffffffff,7.0,0.0,0.0
828b67fffffffff,12.0,3.0,0.0
828b6ffffffffff,7.0,0.0,0.0
828b9ffffffffff,15.0,0.0,0.0
828f47fffffffff,7.0,0.0,0.0
828f4ffffffffff,15.0,0.0,0.0
828f5ffffffffff,12.0,0.0,0.0
828f67fffffffff,1.0,0.0,0.0
828f6ffffffffff,7.0,0.0,0.0
828f77fffffffff,2.0,0.0,0.0
82a597fffffffff,21.0,0.0,0.0
82a807fffffffff,81.0,0.0,15.0
82a817fffffffff,404.0,0.0,19.0
82a837fffffffff,103.0,0.0,1.0
82a887fffffffff,58.0,0.0,4.0
82a897fffffffff,56.0,0.0,13.0
82a8a7fffffffff,731.0,0.0,56.0
