cell_id,Myiodynastes maculatus,Myiodynastes maculatus [maculatus Group],Myiodynastes maculatus solitarius
8445019ffffffff,1.0,0.0,0.0
8445053ffffffff,1.0,0.0,0.0
8445087ffffffff,10.0,0.0,0.0
84450adffffffff,2.0,0.0,0.0
84450d3ffffffff,1.0,0.0,0.0
8445203ffffffff,2.0,0.0,0.0
8445215ffffffff,3.0,0.0,0.0
8445217ffffffff,4.0,0.0,0.0
8445233ffffffff,1.0,0.0,0.0
844526bffffffff,2.0,0.0,0.0
8445289ffffffff,7.0,0.0,0.0
844528dffffffff,11.0,0.0,0.0
84452adffffffff,2.0,0.0,0.0
84452c3ffffffff,4.0,0.0,0.0
84452d5ffffffff,4.0,0.0,0.0
84452d9ffffffff,26.0,0.0,0.0
84452e1ffffffff,45.0,0.0,0.0
84452e3ffffffff,16.0,0.0,0.0
84452e5ffffffff,5.0,0.0,0.0
84452e7ffffffff,3.0,0.0,0.0
84452ebffffffff,11.0,0.0,0.0
8445321ffffffff,3.0,0.0,0.0
8445363ffffffff,2.0,0.0,0.0
8448a21ffffffff,2.0,0.0,0.0
845f01bffffffff,1.0,0.0,0.0
845f12bffffffff,2.0,0.0,2.0
845f583ffffffff,8.0,8.0,0.0
845f5b5ffffffff,3.0,3.0,0.0
845f5b9ffffffff,3.0,3.0,0.0
8466089ffffffff,1.0,0.0,0.0
846610bffffffff,2.0,0.0,0.0
8466113ffffffff,3.0,0.0,0.0
846620bffffffff,4.0,4.0,0.0
846629dffffffff,1.0,1.0,0.0
8466a51ffffffff,1.0,1.0,0.0
8466b01ffffffff,1.0,0.0,0.0
8466b0bffffffff,1.0,0.0,0.0
8466b1dffffffff,1.0,0.0,0.0
8466b49ffffffff,4.0,0.0,0.0
8466b4dffffffff,5.0,0.0,0.0
8466c01ffffffff,2.0,0.0,2.0
8466cedffffffff,1.0,1.0,0.0
8466d03ffffffff,1.0,0.0,0.0
8466d1bffffffff,3.0,0.0,0.0
8466d35ffffffff,2.0,2.0,0.0
8466da1ffffffff,2.0,0.0,0.0
8466dadffffffff,5.0,0.0,0.0
8466de1ffffffff,2.0,0.0,0.0
8466e8dffffffff,1.0,0.0,0.0
8466ec1ffffffff,1.0,0.0,1.0
8466ecbffffffff,4.0,0.0,4.0
8466f19ffffffff,3.0,3.0,0.0
8466f1dffffffff,1.0,0.0,0.0
8467413ffffffff,26.0,0.0,0.0
846743bffffffff,2.0,2.0,0.0
84674cdffffffff,2.0,0.0,0.0
84675a5ffffffff,1.0,1.0,0.0
8467945ffffffff,2.0,0.0,0.0
84679a7ffffffff,2.0,0.0,0.0
84679b5ffffffff,2.0,0.0,0.0
846d203ffffffff,2.0,0.0,0.0
846d21dffffffff,2.0,0.0,0.0
846d30dffffffff,5.0,0.0,0.0
846d681ffffffff,1.0,0.0,0.0
846d683ffffffff,2.0,0.0,0.0
846d689ffffffff,16.0,0.0,0.0
846d68bffffffff,23.0,0.0,0.0
846d691ffffffff,13.0,0.0,0.0
846d697ffffffff,10.0,0.0,0.0
846d699ffffffff,5.0,0.0,0.0
846d69bffffffff,4.0,0.0,0.0
846d69dffffffff,57.0,0.0,0.0
846d6ebffffffff,2.0,0.0,0.0
8480141ffffffff,3.0,0.0,3.0
8480363ffffffff,2.0,0.0,2.0
8481215ffffffff,7.0,0.0,7.0
848121dffffffff,2.0,0.0,2.0
848124bffffffff,2.0,0.0,0.0
848124dffffffff,1.0,0.0,0.0
848a01dffffffff,2.0,0.0,2.0
848a1b1ffffffff,2.0,2.0,0.0
848a451ffffffff,1.0,0.0,0.0
848aab1ffffffff,2.0,2.0,0.0
848ad89ffffffff,1.0,1.0,0.0
848ada9ffffffff,3.0,3.0,0.0
848af0bffffffff,2.0,0.0,2.0
848af69ffffffff,8.0,7.0,1.0
848af6dffffffff,1.0,1.0,0.0
848b617ffffffff,4.0,0.0,4.0
848b63bffffffff,5.0,0.0,5.0
848b713ffffffff,4.0,0.0,4.0
848b75bffffffff,3.0,0.0,3.0
848f0d5ffffffff,2.0,2.0,0.0
848f0dbffffffff,2.0,0.0,0.0
848f2a9ffffffff,1.0,1.0,0.0
848f401ffffffff,1.0,0.0,1.0
848f421ffffffff,1.0,0.0,0.0
848f439ffffffff,4.0,0.0,4.0
848f461ffffffff,6.0,0.0,6.0
848f50dffffffff,4.0,0.0,0.0
848f547ffffffff,7.0,0.0,0.0
84a8067ffffffff,3.0,0.0,3.0
84a8101ffffffff,6.0,0.0,0.0
84a8105ffffffff,1.0,0.0,1.0
84a8125ffffffff,2.0,0.0,2.0
84a812dffffffff,1.0,0.0,1.0
84a8155ffffffff,3.0,0.0,1.0
84a81abffffffff,1.0,0.0,0.0
84a81e9ffffffff,4.0,0.0,0.0
84a8821ffffffff,1.0,0.0,1.0
84a883bffffffff,1.0,0.0,0.0
84a8849ffffffff,1.0,0.0,1.0
84a8867ffffffff,1.0,0.0,1.0
84a8895ffffffff,4.0,0.0,4.0
84a88bbffffffff,6.0,0.0,6.0
84a88ddffffffff,1.0,0.0,1.0
84a8917ffffffff,2.0,0.0,2.0
84a8a91ffffffff,3.0,0.0,3.0
84a9411ffffffff,2.0,0.0,0.0
84a9413ffffffff,2.0,0.0,0.0
84a9419ffffffff,4.0,0.0,0.0
84a941bffffffff,13.0,0.0,0.0
84a9437ffffffff,3.0,0.0,0.0
84a9441ffffffff,7.0,0.0,3.0
84a9449ffffffff,3.0,0.0,0.0
84a94c3ffffffff,4.0,0.0,0.0
84a9531ffffffff,5.0,0.0,1.0
84a9533ffffffff,3.0,0.0,3.0
84a953bffffffff,8.0,0.0,0.0
84a95edffffffff,3.0,0.0,3.0
84a9613ffffffff,22.0,0.0,0.0
84a9617ffffffff,24.0,0.0,0.0
84a9619ffffffff,20.0,0.0,0.0
84a9623ffffffff,4.0,0.0,3.0
84a9627ffffffff,7.0,0.0,1.0
84a9631ffffffff,2.0,0.0,0.0
84a9653ffffffff,6.0,0.0,0.0
84a9685ffffffff,2.0,0.0,0.0
84a96a5ffffffff,4.0,0.0,0.0
84a96adffffffff,2.0,0.0,0.0
84a96e9ffffffff,1.0,0.0,0.0
84a9711ffffffff,2.0,0.0,0.0
84a9717ffffffff,4.0,0.0,0.0
84b2497ffffffff,1.0,0.0,0.0
84b2499ffffffff,4.0,0.0,0.0
84b249dffffffff,2.0,0.0,0.0
84b24d1ffffffff,4.0,0.0,0.0
84b24d3ffffffff,58.0,0.0,0.0
84b24d5ffffffff,7.0,0.0,0.0
84b24d9ffffffff,1.0,0.0,0.0
84b24dbffffffff,2.0,0.0,0.0
84b2589ffffffff,2.0,0.0,0.0
84b25cdffffffff,1.0,0.0,1.0
84b262dffffffff,2.0,0.0,0.0
84b2691ffffffff,2.0,0.0,0.0
84b269bffffffff,2.0,0.0,0.0
84b26bdffffffff,7.0,0.0,0.0
84b26d1ffffffff,2.0,0.0,0.0
84b26d3ffffffff,3.0,0.0,0.0
84b26d7ffffffff,6.0,0.0,0.0
84b26dbffffffff,1.0,0.0,0.0
84b270bffffffff,1.0,0.0,0.0
84b2723ffffffff,3.0,0.0,0.0
84b3425ffffffff,2.0,0.0,2.0
84b3511ffffffff,2.0,0.0,0.0
84c2c59ffffffff,2.0,0.0,0.0
84c2c91ffffffff,4.0,0.0,0.0
84c2c97ffffffff,5.0,0.0,0.0
84c2c99ffffffff,4.0,0.0,0.0
84c2cadffffffff,5.0,0.0,0.0
84c2cb1ffffffff,2.0,0.0,0.0
