cell_id,Myiothlypis bivittata,Myiothlypis bivittata roraimae,Myiothlypis bivittata bivittata/argentinae
845f681ffffffff,2.0,0.0,0.0
845f711ffffffff,51.0,24.0,0.0
845f713ffffffff,3.0,1.0,0.0
845f755ffffffff,1.0,0.0,0.0
848b01bffffffff,1.0,0.0,0.0
848b201ffffffff,6.0,0.0,0.0
848b203ffffffff,10.0,0.0,1.0
848b205ffffffff,148.0,0.0,18.0
848b207ffffffff,5.0,0.0,0.0
848b20dffffffff,19.0,0.0,0.0
848b211ffffffff,9.0,0.0,0.0
848b213ffffffff,18.0,0.0,0.0
848b21dffffffff,3.0,0.0,0.0
848b221ffffffff,1.0,0.0,0.0
848b223ffffffff,6.0,0.0,0.0
848b229ffffffff,292.0,0.0,50.0
848b22dffffffff,2.0,0.0,0.0
848b251ffffffff,1.0,0.0,0.0
848b269ffffffff,7.0,0.0,0.0
848b26bffffffff,3.0,0.0,0.0
848b291ffffffff,1.0,0.0,0.0
848b2c1ffffffff,2.0,0.0,0.0
848b2c5ffffffff,21.0,0.0,2.0
848b2cdffffffff,3.0,0.0,0.0
848b2dbffffffff,3.0,0.0,0.0
848b2e9ffffffff,3.0,0.0,0.0
848b31bffffffff,2.0,0.0,0.0
848b603ffffffff,1.0,0.0,0.0
848b617ffffffff,910.0,0.0,16.0
848b639ffffffff,8.0,0.0,0.0
848b63bffffffff,4.0,0.0,0.0
848b63dffffffff,1.0,0.0,0.0
848b709ffffffff,69.0,0.0,4.0
848b74bffffffff,7.0,0.0,0.0
848b751ffffffff,9.0,0.0,0.0
848b759ffffffff,2.0,0.0,0.0
848b75bffffffff,32.0,0.0,0.0
848b75dffffffff,2.0,0.0,0.0
848e643ffffffff,7.0,0.0,0.0
84a8413ffffffff,3.0,0.0,0.0
84b2747ffffffff,1.0,0.0,0.0
84b2749ffffffff,6.0,0.0,0.0
84b3241ffffffff,1.0,0.0,0.0
84b324bffffffff,17.0,0.0,0.0
84b3253ffffffff,45.0,0.0,4.0
84b325bffffffff,10.0,0.0,2.0
84b340dffffffff,60.0,0.0,0.0
84b3421ffffffff,31.0,0.0,0.0
84b3423ffffffff,43.0,0.0,0.0
84b3425ffffffff,833.0,0.0,0.0
84b3427ffffffff,45.0,0.0,0.0
84b3429ffffffff,33.0,0.0,0.0
84b342dffffffff,19.0,0.0,0.0
84b3435ffffffff,9.0,0.0,0.0
84b3441ffffffff,3.0,0.0,0.0
84b3445ffffffff,45.0,0.0,0.0
84b3447ffffffff,31.0,0.0,0.0
84b3461ffffffff,13.0,0.0,0.0
84b3463ffffffff,18.0,0.0,0.0
84b3467ffffffff,17.0,0.0,0.0
84b3469ffffffff,3.0,0.0,0.0
84b346bffffffff,14.0,0.0,0.0
84b346dffffffff,9.0,0.0,0.0
84b3511ffffffff,62.0,0.0,0.0
84b3513ffffffff,207.0,0.0,0.0
84b351bffffffff,72.0,0.0,0.0
84b355bffffffff,1.0,0.0,0.0
84b3585ffffffff,26.0,0.0,0.0
84b3589ffffffff,81.0,0.0,0.0
84b358dffffffff,6.0,0.0,0.0
84b35a1ffffffff,3.0,0.0,0.0
84b35abffffffff,3.0,0.0,0.0
84b35bdffffffff,57.0,0.0,0.0
84b35c1ffffffff,27.0,0.0,0.0
84b35c3ffffffff,2.0,0.0,0.0
84b35c5ffffffff,123.0,0.0,0.0
84b35c7ffffffff,37.0,0.0,0.0
84b35c9ffffffff,266.0,0.0,0.0
84b35cbffffffff,2.0,0.0,0.0
84b35cdffffffff,103.0,0.0,0.0
84b35e1ffffffff,44.0,0.0,0.0
84b35e3ffffffff,5.0,0.0,0.0
84b35e9ffffffff,266.0,0.0,0.0
84b35ebffffffff,2.0,0.0,0.0
84b362dffffffff,7.0,0.0,0.0
84b3661ffffffff,4.0,0.0,0.0
84b3665ffffffff,33.0,0.0,0.0
84b366dffffffff,30.0,0.0,0.0
84b3713ffffffff,1.0,0.0,0.0
