cell_id,Myiozetetes similis,Myiozetetes similis [texensis Group],Myiozetetes similis [similis Group],Myiozetetes similis grandis
834424fffffffff,319.0,10.0,0.0,0.0
834501fffffffff,872.0,31.0,0.0,0.0
834505fffffffff,1749.0,95.0,0.0,0.0
834508fffffffff,1922.0,171.0,0.0,0.0
834509fffffffff,4961.0,978.0,0.0,0.0
83450afffffffff,3970.0,250.0,0.0,0.0
83450bfffffffff,1778.0,183.0,0.0,0.0
83450cfffffffff,695.0,63.0,0.0,0.0
83450dfffffffff,1165.0,427.0,0.0,0.0
83450efffffffff,2013.0,67.0,0.0,0.0
834519fffffffff,42.0,2.0,0.0,0.0
83451dfffffffff,2.0,0.0,0.0,0.0
834520fffffffff,2156.0,40.0,0.0,0.0
834521fffffffff,6677.0,126.0,0.0,0.0
834522fffffffff,3320.0,0.0,0.0,0.0
834523fffffffff,3095.0,71.0,0.0,0.0
834524fffffffff,1307.0,0.0,0.0,0.0
834525fffffffff,994.0,228.0,0.0,0.0
834526fffffffff,3283.0,0.0,0.0,0.0
834528fffffffff,1191.0,46.0,0.0,0.0
834529fffffffff,218.0,5.0,0.0,0.0
83452afffffffff,8581.0,657.0,0.0,0.0
83452bfffffffff,902.0,57.0,0.0,0.0
83452cfffffffff,4243.0,417.0,0.0,0.0
83452dfffffffff,643.0,146.0,0.0,0.0
83452efffffffff,20119.0,619.0,0.0,0.0
834530fffffffff,132.0,0.0,0.0,0.0
834531fffffffff,1109.0,0.0,0.0,0.0
834532fffffffff,394.0,0.0,0.0,0.0
834534fffffffff,189.0,0.0,0.0,0.0
834535fffffffff,343.0,0.0,0.0,0.0
834536fffffffff,250.0,0.0,0.0,0.0
834564fffffffff,83.0,3.0,0.0,0.0
83456dfffffffff,51.0,0.0,0.0,0.0
834572fffffffff,1191.0,283.0,0.0,0.0
834574fffffffff,32.0,0.0,0.0,0.0
834576fffffffff,313.0,34.0,0.0,0.0
834800fffffffff,4.0,0.0,0.0,0.0
834801fffffffff,8.0,0.0,0.0,0.0
834802fffffffff,238.0,0.0,0.0,0.0
834803fffffffff,11.0,0.0,0.0,0.0
834806fffffffff,91.0,0.0,0.0,0.0
83480afffffffff,647.0,0.0,0.0,0.0
83480bfffffffff,19.0,0.0,0.0,0.0
83480efffffffff,156.0,0.0,0.0,0.0
834815fffffffff,25.0,0.0,0.0,0.0
83481dfffffffff,7.0,0.0,0.0,0.0
834830fffffffff,21.0,0.0,0.0,0.0
834832fffffffff,69.0,0.0,0.0,0.0
834833fffffffff,1181.0,0.0,0.0,0.0
834836fffffffff,7131.0,75.0,0.0,0.0
8348a2fffffffff,103.0,7.0,0.0,0.0
8348b5fffffffff,31.0,6.0,0.0,0.0
834980fffffffff,67.0,0.0,0.0,0.0
834981fffffffff,2.0,0.0,0.0,0.0
834982fffffffff,4.0,1.0,0.0,0.0
834983fffffffff,2.0,0.0,0.0,0.0
834984fffffffff,2.0,0.0,0.0,0.0
834985fffffffff,66.0,7.0,0.0,0.0
834986fffffffff,268.0,0.0,0.0,0.0
834988fffffffff,2.0,0.0,0.0,0.0
83498cfffffffff,210.0,0.0,0.0,0.0
83498dfffffffff,2.0,0.0,0.0,0.0
83498efffffffff,3.0,0.0,0.0,0.0
834990fffffffff,269.0,22.0,0.0,0.0
834991fffffffff,114.0,7.0,0.0,0.0
834992fffffffff,174.0,35.0,0.0,0.0
834993fffffffff,125.0,21.0,0.0,0.0
834994fffffffff,123.0,10.0,0.0,0.0
834995fffffffff,1.0,0.0,0.0,0.0
834996fffffffff,11584.0,1748.0,0.0,0.0
834998fffffffff,809.0,35.0,0.0,0.0
83499afffffffff,6.0,2.0,0.0,0.0
83499bfffffffff,114.0,5.0,0.0,0.0
83499cfffffffff,224.0,0.0,0.0,0.0
83499dfffffffff,3.0,0.0,0.0,0.0
83499efffffffff,166.0,0.0,0.0,0.0
8349a1fffffffff,1.0,0.0,0.0,0.0
8349a2fffffffff,198.0,0.0,0.0,0.0
8349a3fffffffff,30.0,0.0,0.0,0.0
8349a8fffffffff,1587.0,21.0,0.0,0.0
8349a9fffffffff,2700.0,71.0,0.0,0.0
8349aafffffffff,1028.0,59.0,0.0,0.0
8349abfffffffff,344.0,27.0,0.0,0.0
8349acfffffffff,2.0,0.0,0.0,0.0
8349adfffffffff,40.0,4.0,0.0,0.0
8349aefffffffff,29.0,0.0,0.0,0.0
