cell_id,Myrmotherula iheringi,Myrmotherula iheringi heteroptera,Myrmotherula iheringi iheringi,Myrmotherula iheringi oreni
838a10fffffffff,8.0,0.0,0.0,0.0
838a14fffffffff,1.0,0.0,0.0,0.0
838a1afffffffff,3.0,0.0,0.0,0.0
838a33fffffffff,13.0,0.0,0.0,0.0
838a45fffffffff,1.0,0.0,0.0,0.0
838a6efffffffff,3.0,0.0,0.0,0.0
838a80fffffffff,31.0,0.0,0.0,0.0
838a81fffffffff,12.0,0.0,0.0,0.0
838a83fffffffff,3.0,0.0,0.0,0.0
838a85fffffffff,1.0,0.0,0.0,0.0
838aa5fffffffff,1.0,0.0,0.0,0.0
838aa8fffffffff,4.0,0.0,0.0,0.0
838aaafffffffff,6.0,0.0,0.0,0.0
838aacfffffffff,2.0,0.0,0.0,0.0
838aadfffffffff,2.0,0.0,0.0,0.0
838b40fffffffff,14.0,0.0,0.0,4.0
838b44fffffffff,47.0,0.0,0.0,3.0
838b45fffffffff,2.0,0.0,0.0,0.0
838b46fffffffff,1.0,0.0,0.0,0.0
838b4efffffffff,5.0,0.0,0.0,1.0
838b51fffffffff,2.0,0.0,0.0,0.0
838b5cfffffffff,29.0,0.0,0.0,10.0
838b61fffffffff,7.0,0.0,0.0,1.0
838b62fffffffff,35.0,0.0,0.0,2.0
838b63fffffffff,75.0,0.0,0.0,4.0
838b6efffffffff,20.0,0.0,0.0,3.0
838b71fffffffff,33.0,0.0,0.0,0.0
838b9dfffffffff,3.0,0.0,0.0,0.0
838f4dfffffffff,1.0,0.0,0.0,0.0
838f6bfffffffff,3.0,0.0,0.0,0.0
