cell_id,Neotis denhami,Neotis denhami denhami,Neotis denhami jacksoni,Neotis denhami stanleyi
836a58fffffffff,6.0,0.0,0.0,0.0
836aeefffffffff,1.0,0.0,0.0,1.0
837a45fffffffff,1.0,0.0,0.0,1.0
837a68fffffffff,7.0,0.0,0.0,0.0
839605fffffffff,1.0,0.0,0.0,0.0
839693fffffffff,4.0,0.0,0.0,0.0
8396a5fffffffff,1.0,0.0,0.0,0.0
83ac80fffffffff,2.0,0.0,0.0,0.0
83ac82fffffffff,1.0,0.0,0.0,0.0
83bc6afffffffff,2.0,0.0,0.0,2.0
83bc6bfffffffff,1.0,0.0,0.0,1.0
83bc89fffffffff,3.0,0.0,0.0,0.0
83bcc6fffffffff,16.0,0.0,0.0,0.0
83bcd8fffffffff,2.0,0.0,0.0,0.0
83bcdcfffffffff,4.0,0.0,0.0,1.0
83bce2fffffffff,2.0,0.0,0.0,2.0
83bcf3fffffffff,1.0,0.0,0.0,0.0
83bcf5fffffffff,1.0,0.0,0.0,0.0
