cell_id,Numenius phaeopus,Numenius phaeopus hudsonicus,Numenius phaeopus phaeopus,Numenius phaeopus alboaxillaris,Numenius phaeopus variegatus/rogachevae,Numenius phaeopus [phaeopus Group]
8401225ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840123dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8401243ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8401261ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8401265ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8401269ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
840126dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840130bffffffff,58.0,0.0,12.0,0.0,0.0,0.0
8401319ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840131dffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8401351ffffffff,50.0,0.0,10.0,0.0,0.0,0.0
8401353ffffffff,46.0,0.0,8.0,0.0,0.0,0.0
8401355ffffffff,132.0,0.0,36.0,0.0,0.0,0.0
8401357ffffffff,14.0,0.0,1.0,0.0,0.0,0.0
840135bffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8402cadffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8402ce7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8407411ffffffff,120.0,0.0,32.0,0.0,0.0,0.0
8407415ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8407417ffffffff,113.0,0.0,28.0,0.0,0.0,0.0
8407419ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840741dffffffff,17.0,0.0,1.0,0.0,0.0,0.0
8407421ffffffff,6.0,0.0,4.0,0.0,0.0,0.0
8407425ffffffff,50.0,0.0,25.0,0.0,0.0,0.0
8407427ffffffff,31.0,0.0,12.0,0.0,0.0,0.0
840742bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840742dffffffff,26.0,0.0,6.0,0.0,0.0,0.0
8407431ffffffff,70.0,0.0,9.0,0.0,0.0,0.0
8407433ffffffff,178.0,0.0,32.0,0.0,0.0,0.0
8407437ffffffff,151.0,0.0,31.0,0.0,0.0,0.0
8407439ffffffff,4.0,0.0,2.0,0.0,0.0,0.0
840743bffffffff,74.0,0.0,19.0,0.0,0.0,0.0
840743dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840744bffffffff,31.0,0.0,8.0,0.0,0.0,0.0
840744dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8407451ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8407455ffffffff,14.0,0.0,2.0,0.0,0.0,0.0
8407457ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
840745dffffffff,39.0,0.0,16.0,0.0,0.0,0.0
8407461ffffffff,218.0,0.0,62.0,0.0,0.0,0.0
8407465ffffffff,308.0,0.0,122.0,0.0,0.0,0.0
8407467ffffffff,41.0,0.0,7.0,0.0,0.0,0.0
840746bffffffff,4.0,0.0,4.0,0.0,0.0,0.0
840746dffffffff,57.0,0.0,21.0,0.0,0.0,0.0
84074e9ffffffff,12.0,0.0,1.0,0.0,0.0,0.0
84074edffffffff,48.0,0.0,11.0,0.0,0.0,0.0
8407513ffffffff,25.0,0.0,3.0,0.0,0.0,0.0
8407517ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8407519ffffffff,5.0,0.0,2.0,0.0,0.0,0.0
840751bffffffff,26.0,0.0,1.0,0.0,0.0,0.0
840753bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8407551ffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8407553ffffffff,12.0,0.0,4.0,0.0,0.0,0.0
8407559ffffffff,6.0,0.0,6.0,0.0,0.0,0.0
840755bffffffff,46.0,0.0,12.0,0.0,0.0,0.0
840755dffffffff,18.0,0.0,14.0,0.0,0.0,0.0
8407581ffffffff,24.0,0.0,1.0,0.0,0.0,0.0
8407589ffffffff,168.0,0.0,36.0,0.0,0.0,0.0
840758dffffffff,69.0,0.0,8.0,0.0,0.0,0.0
84075a9ffffffff,32.0,0.0,13.0,0.0,0.0,0.0
84075c1ffffffff,19.0,0.0,7.0,0.0,0.0,0.0
84075c3ffffffff,85.0,0.0,31.0,0.0,0.0,0.0
84075c5ffffffff,40.0,0.0,3.0,0.0,0.0,0.0
84075c7ffffffff,75.0,0.0,23.0,0.0,0.0,0.0
84075c9ffffffff,12.0,0.0,7.0,0.0,0.0,0.0
84075cbffffffff,97.0,0.0,24.0,0.0,0.0,0.0
84075cdffffffff,11.0,0.0,3.0,0.0,0.0,0.0
84075d1ffffffff,502.0,0.0,126.0,0.0,0.0,0.0
84075d9ffffffff,62.0,0.0,19.0,0.0,0.0,0.0
84075ddffffffff,106.0,0.0,33.0,0.0,0.0,0.0
84075e1ffffffff,27.0,0.0,5.0,0.0,0.0,0.0
84075e3ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
84075e5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84075e7ffffffff,26.0,0.0,5.0,0.0,0.0,0.0
84075e9ffffffff,6.0,0.0,1.0,0.0,0.0,0.0
84075ebffffffff,19.0,0.0,5.0,0.0,0.0,0.0
84075edffffffff,49.0,0.0,0.0,0.0,0.0,0.0
8407621ffffffff,20.0,0.0,8.0,0.0,0.0,0.0
8407623ffffffff,95.0,0.0,40.0,0.0,0.0,0.0
8407625ffffffff,29.0,0.0,8.0,0.0,0.0,0.0
8407627ffffffff,8.0,0.0,2.0,0.0,0.0,0.0
8407635ffffffff,80.0,0.0,34.0,0.0,0.0,0.0
8407703ffffffff,44.0,0.0,32.0,0.0,0.0,0.0
8407711ffffffff,9.0,0.0,6.0,0.0,0.0,0.0
8407713ffffffff,11.0,0.0,2.0,0.0,0.0,0.0
8407715ffffffff,8.0,0.0,4.0,0.0,0.0,0.0
8407719ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
840771bffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8407731ffffffff,155.0,0.0,103.0,0.0,0.0,0.0
8407733ffffffff,297.0,0.0,146.0,0.0,0.0,0.0
8407739ffffffff,35.0,0.0,27.0,0.0,0.0,0.0
840773bffffffff,103.0,0.0,67.0,0.0,0.0,0.0
8407753ffffffff,34.0,0.0,11.0,0.0,0.0,0.0
8408025ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840802dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408065ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8408103ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8408105ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
