cell_id,Nycticorax nycticorax,Nycticorax nycticorax nycticorax,Nycticorax nycticorax hoactli,Nycticorax nycticorax obscurus,Nycticorax nycticorax falklandicus
830e49fffffffff,43.0,0.0,0.0,0.0,0.0
830e4bfffffffff,4.0,0.0,0.0,0.0,0.0
830e4dfffffffff,21.0,0.0,0.0,0.0,0.0
83124bfffffffff,42.0,0.0,0.0,0.0,0.0
831253fffffffff,27.0,0.0,0.0,0.0,0.0
831258fffffffff,19.0,0.0,0.0,0.0,0.0
831259fffffffff,88.0,0.0,0.0,0.0,0.0
83125afffffffff,3.0,0.0,0.0,0.0,0.0
83125bfffffffff,12.0,0.0,0.0,0.0,0.0
83125dfffffffff,1.0,0.0,0.0,0.0,0.0
83125efffffffff,2.0,0.0,0.0,0.0,0.0
8312c8fffffffff,2.0,0.0,0.0,0.0,0.0
8312c9fffffffff,33.0,0.0,0.0,0.0,0.0
8312ccfffffffff,1709.0,0.0,0.0,0.0,0.0
8312cdfffffffff,94.0,0.0,0.0,0.0,0.0
8312dafffffffff,2.0,0.0,0.0,0.0,0.0
8312dbfffffffff,1.0,0.0,0.0,0.0,0.0
8312e1fffffffff,56.0,0.0,0.0,0.0,0.0
8312e8fffffffff,16.0,0.0,0.0,0.0,0.0
8312eafffffffff,16.0,0.0,0.0,0.0,0.0
8312ebfffffffff,24.0,0.0,0.0,0.0,0.0
8312ecfffffffff,366.0,0.0,0.0,0.0,0.0
8312edfffffffff,13.0,0.0,0.0,0.0,0.0
8312eefffffffff,1.0,0.0,0.0,0.0,0.0
831845fffffffff,15.0,0.0,0.0,0.0,0.0
831849fffffffff,1576.0,0.0,0.0,0.0,0.0
83184afffffffff,5.0,0.0,0.0,0.0,0.0
83184bfffffffff,60.0,0.0,0.0,0.0,0.0
83184dfffffffff,41.0,3.0,0.0,0.0,0.0
831861fffffffff,2.0,0.0,0.0,0.0,0.0
831863fffffffff,2.0,0.0,0.0,0.0,0.0
831869fffffffff,2.0,0.0,0.0,0.0,0.0
83186afffffffff,22.0,0.0,0.0,0.0,0.0
83186cfffffffff,78.0,1.0,0.0,0.0,0.0
83186dfffffffff,29.0,3.0,0.0,0.0,0.0
83186efffffffff,15.0,0.0,0.0,0.0,0.0
83194bfffffffff,12.0,2.0,0.0,0.0,0.0
831e00fffffffff,11.0,0.0,0.0,0.0,0.0
831e02fffffffff,159.0,43.0,0.0,0.0,0.0
831e03fffffffff,42.0,9.0,0.0,0.0,0.0
831e04fffffffff,176.0,4.0,0.0,0.0,0.0
831e05fffffffff,177.0,0.0,0.0,0.0,0.0
831e06fffffffff,430.0,20.0,0.0,0.0,0.0
831e08fffffffff,69.0,0.0,0.0,0.0,0.0
831e0afffffffff,425.0,0.0,0.0,0.0,0.0
831e0bfffffffff,1.0,0.0,0.0,0.0,0.0
831e0cfffffffff,140.0,0.0,0.0,0.0,0.0
831e0efffffffff,312.0,32.0,0.0,0.0,0.0
831e11fffffffff,13.0,0.0,0.0,0.0,0.0
831e12fffffffff,77.0,2.0,0.0,0.0,0.0
831e13fffffffff,102.0,3.0,0.0,0.0,0.0
831e15fffffffff,2.0,0.0,0.0,0.0,0.0
831e18fffffffff,16.0,4.0,0.0,0.0,0.0
831e19fffffffff,21.0,0.0,0.0,0.0,0.0
831e1afffffffff,5.0,0.0,0.0,0.0,0.0
831e1bfffffffff,414.0,6.0,0.0,0.0,0.0
831e1cfffffffff,91.0,6.0,0.0,0.0,0.0
831e1dfffffffff,102.0,7.0,0.0,0.0,0.0
831e1efffffffff,7.0,0.0,0.0,0.0,0.0
831e22fffffffff,4.0,0.0,0.0,0.0,0.0
831e23fffffffff,2.0,0.0,0.0,0.0,0.0
831e2afffffffff,8.0,0.0,0.0,0.0,0.0
831e2bfffffffff,9.0,0.0,0.0,0.0,0.0
831e2efffffffff,26.0,0.0,0.0,0.0,0.0
831e30fffffffff,74.0,0.0,0.0,0.0,0.0
831e31fffffffff,6.0,0.0,0.0,0.0,0.0
831e32fffffffff,9.0,0.0,0.0,0.0,0.0
831e33fffffffff,236.0,2.0,0.0,0.0,0.0
831e34fffffffff,7.0,0.0,0.0,0.0,0.0
831e35fffffffff,78.0,2.0,0.0,0.0,0.0
831e36fffffffff,31.0,6.0,0.0,0.0,0.0
831e42fffffffff,22.0,0.0,0.0,0.0,0.0
831e46fffffffff,3.0,0.0,0.0,0.0,0.0
831e4afffffffff,11.0,0.0,0.0,0.0,0.0
831e4bfffffffff,6.0,0.0,0.0,0.0,0.0
831e51fffffffff,80.0,0.0,0.0,0.0,0.0
831e52fffffffff,6.0,0.0,0.0,0.0,0.0
831e55fffffffff,8.0,0.0,0.0,0.0,0.0
831e56fffffffff,2.0,0.0,0.0,0.0,0.0
831e58fffffffff,5.0,0.0,0.0,0.0,0.0
831e5afffffffff,139.0,18.0,0.0,0.0,0.0
831e5cfffffffff,54.0,0.0,0.0,0.0,0.0
831e5dfffffffff,6.0,0.0,0.0,0.0,0.0
831e5efffffffff,155.0,6.0,0.0,0.0,0.0
831e63fffffffff,3.0,0.0,0.0,0.0,0.0
831e69fffffffff,4.0,0.0,0.0,0.0,0.0
831e6bfffffffff,16.0,0.0,0.0,0.0,0.0
831e71fffffffff,2.0,0.0,0.0,0.0,0.0
831e76fffffffff,3.0,0.0,0.0,0.0,0.0
831e80fffffffff,6.0,2.0,0.0,0.0,0.0
831e81fffffffff,4.0,0.0,0.0,0.0,0.0
831e82fffffffff,27.0,0.0,0.0,0.0,0.0
831e83fffffffff,40.0,0.0,0.0,0.0,0.0
831e84fffffffff,12.0,0.0,0.0,0.0,0.0
831e85fffffffff,4.0,0.0,0.0,0.0,0.0
831e86fffffffff,3.0,0.0,0.0,0.0,0.0
831e8dfffffffff,2.0,0.0,0.0,0.0,0.0
831e92fffffffff,8.0,2.0,0.0,0.0,0.0
831e94fffffffff,2.0,2.0,0.0,0.0,0.0
831e9afffffffff,2.0,0.0,0.0,0.0,0.0
831ea0fffffffff,88.0,10.0,0.0,0.0,0.0
831ea1fffffffff,20.0,0.0,0.0,0.0,0.0
831ea2fffffffff,19.0,2.0,0.0,0.0,0.0
831ea5fffffffff,20.0,0.0,0.0,0.0,0.0
831ea6fffffffff,7.0,0.0,0.0,0.0,0.0
831ea8fffffffff,6.0,0.0,0.0,0.0,0.0
831ea9fffffffff,4.0,2.0,0.0,0.0,0.0
831eabfffffffff,3.0,2.0,0.0,0.0,0.0
831eacfffffffff,1.0,0.0,0.0,0.0,0.0
831eadfffffffff,25.0,0.0,0.0,0.0,0.0
