cell_id,Oenanthe lugens,Oenanthe lugens lugens/persica,Oenanthe lugens halophila,Oenanthe lugens warriae
822c97fffffffff,2.0,0.0,0.0,0.0
822cf7fffffffff,2.0,2.0,0.0,0.0
822db7fffffffff,10.0,7.0,0.0,0.0
823847fffffffff,1.0,0.0,1.0,0.0
823877fffffffff,1.0,0.0,1.0,0.0
82398ffffffffff,2.0,0.0,2.0,0.0
823e6ffffffffff,70.0,12.0,0.0,58.0
823f4ffffffffff,3.0,0.0,0.0,0.0
823f67fffffffff,1.0,0.0,0.0,0.0
82432ffffffffff,1.0,0.0,0.0,0.0
8243a7fffffffff,20.0,0.0,0.0,0.0
8243affffffffff,30.0,1.0,0.0,0.0
8243b7fffffffff,2.0,0.0,0.0,0.0
82521ffffffffff,1.0,0.0,0.0,0.0
82534ffffffffff,3.0,0.0,0.0,0.0
82536ffffffffff,2.0,0.0,0.0,0.0
8253a7fffffffff,2.0,0.0,0.0,0.0
