cell_id,Oenanthe lugens,Oenanthe lugens lugens/persica,Oenanthe lugens halophila,Oenanthe lugens warriae
832c1efffffffff,2.0,0.0,0.0,0.0
832c85fffffffff,2.0,0.0,0.0,0.0
832c8efffffffff,2.0,0.0,0.0,0.0
832c90fffffffff,7.0,0.0,0.0,0.0
832c91fffffffff,11.0,0.0,0.0,0.0
832c93fffffffff,221.0,9.0,0.0,0.0
832c9cfffffffff,2.0,0.0,0.0,0.0
832ca4fffffffff,4.0,0.0,0.0,0.0
832caafffffffff,4.0,0.0,0.0,0.0
832cacfffffffff,4.0,0.0,0.0,0.0
832cd4fffffffff,3.0,1.0,0.0,0.0
832cdcfffffffff,1.0,0.0,0.0,0.0
832cf0fffffffff,1.0,1.0,0.0,0.0
832cf2fffffffff,4.0,2.0,0.0,0.0
832cf3fffffffff,12.0,0.0,0.0,0.0
832d81fffffffff,1.0,0.0,0.0,0.0
832d84fffffffff,29.0,0.0,0.0,0.0
832d86fffffffff,2.0,0.0,0.0,2.0
832d94fffffffff,1.0,0.0,0.0,0.0
832d95fffffffff,1.0,0.0,0.0,0.0
832db0fffffffff,65.0,22.0,0.0,0.0
832db1fffffffff,2.0,0.0,0.0,0.0
832db2fffffffff,291.0,44.0,0.0,0.0
832db3fffffffff,11.0,0.0,0.0,1.0
832db6fffffffff,55.0,18.0,0.0,0.0
833815fffffffff,2.0,0.0,2.0,0.0
833816fffffffff,22.0,0.0,14.0,0.0
833832fffffffff,1.0,0.0,0.0,0.0
833840fffffffff,2.0,0.0,0.0,0.0
833842fffffffff,6.0,0.0,6.0,0.0
833843fffffffff,31.0,0.0,28.0,0.0
833859fffffffff,1.0,0.0,0.0,0.0
83385cfffffffff,5.0,0.0,1.0,0.0
83385dfffffffff,12.0,0.0,6.0,0.0
833875fffffffff,1.0,0.0,1.0,0.0
833988fffffffff,211.0,0.0,169.0,0.0
833989fffffffff,7.0,0.0,6.0,0.0
83398afffffffff,1.0,0.0,1.0,0.0
83398efffffffff,50.0,0.0,39.0,0.0
833991fffffffff,4.0,0.0,4.0,0.0
833992fffffffff,2.0,0.0,2.0,0.0
833993fffffffff,19.0,0.0,11.0,0.0
833998fffffffff,1.0,0.0,0.0,0.0
83399cfffffffff,1.0,0.0,0.0,0.0
83399dfffffffff,2.0,0.0,2.0,0.0
833e45fffffffff,5.0,0.0,0.0,0.0
833e4afffffffff,7.0,0.0,0.0,0.0
833e58fffffffff,2.0,0.0,0.0,0.0
833e5bfffffffff,5.0,0.0,0.0,0.0
833e62fffffffff,9.0,0.0,0.0,0.0
833e63fffffffff,3.0,0.0,0.0,0.0
833e68fffffffff,298.0,52.0,0.0,0.0
833e6afffffffff,18.0,0.0,0.0,0.0
833e6cfffffffff,1720.0,386.0,0.0,21.0
833e6dfffffffff,78.0,6.0,0.0,0.0
83430efffffffff,1.0,0.0,0.0,0.0
834315fffffffff,2.0,0.0,0.0,0.0
834324fffffffff,4.0,0.0,0.0,0.0
834331fffffffff,7.0,0.0,0.0,0.0
8343a2fffffffff,2.0,0.0,0.0,0.0
8343a9fffffffff,3.0,0.0,0.0,0.0
8343acfffffffff,1.0,0.0,0.0,0.0
8343aefffffffff,5.0,1.0,0.0,0.0
835329fffffffff,6.0,0.0,0.0,0.0
83532cfffffffff,1.0,0.0,0.0,0.0
835332fffffffff,4.0,0.0,0.0,0.0
835343fffffffff,1.0,0.0,0.0,0.0
835344fffffffff,6.0,0.0,0.0,0.0
835345fffffffff,8.0,0.0,0.0,0.0
83534cfffffffff,2.0,0.0,0.0,0.0
83534dfffffffff,3.0,0.0,0.0,0.0
835354fffffffff,1.0,0.0,0.0,0.0
835355fffffffff,4.0,0.0,0.0,0.0
835363fffffffff,1.0,0.0,0.0,0.0
835364fffffffff,16.0,2.0,0.0,0.0
83536afffffffff,12.0,0.0,0.0,0.0
83536bfffffffff,2.0,0.0,0.0,0.0
835372fffffffff,3.0,0.0,0.0,0.0
835373fffffffff,10.0,0.0,0.0,0.0
835376fffffffff,2.0,0.0,0.0,0.0
8353a4fffffffff,5.0,0.0,0.0,0.0
835534fffffffff,1.0,0.0,1.0,0.0
836332fffffffff,3.0,0.0,0.0,0.0
