cell_id,Onychorhynchus coronatus,Onychorhynchus coronatus mexicanus/fraterculus,Onychorhynchus coronatus occidentalis,Onychorhynchus coronatus coronatus/castelnaui
8445053ffffffff,3.0,0.0,0.0,0.0
844505bffffffff,6.0,0.0,0.0,0.0
8445083ffffffff,3.0,0.0,0.0,0.0
8445085ffffffff,5.0,0.0,0.0,0.0
8445087ffffffff,2.0,0.0,0.0,0.0
8445089ffffffff,3.0,0.0,0.0,0.0
844508dffffffff,44.0,0.0,0.0,0.0
84450a1ffffffff,50.0,0.0,0.0,0.0
84450a3ffffffff,11.0,0.0,0.0,0.0
84450a5ffffffff,4.0,0.0,0.0,0.0
84450a7ffffffff,2.0,0.0,0.0,0.0
84450a9ffffffff,3.0,0.0,0.0,0.0
84450abffffffff,9.0,3.0,0.0,0.0
84450b5ffffffff,2.0,0.0,0.0,0.0
84450c1ffffffff,15.0,0.0,0.0,0.0
84450c3ffffffff,2.0,0.0,0.0,0.0
84450c5ffffffff,53.0,7.0,0.0,0.0
84450c7ffffffff,5.0,0.0,0.0,0.0
84450cdffffffff,6.0,6.0,0.0,0.0
84450d1ffffffff,3.0,0.0,0.0,0.0
84450d3ffffffff,43.0,0.0,0.0,0.0
84450e1ffffffff,7.0,0.0,0.0,0.0
84450e3ffffffff,91.0,15.0,0.0,0.0
84450ebffffffff,51.0,13.0,0.0,0.0
8445203ffffffff,11.0,0.0,0.0,0.0
8445205ffffffff,3.0,0.0,0.0,0.0
8445207ffffffff,10.0,0.0,0.0,0.0
8445209ffffffff,3.0,0.0,0.0,0.0
844520bffffffff,12.0,0.0,0.0,0.0
8445211ffffffff,2.0,0.0,0.0,0.0
8445213ffffffff,10.0,0.0,0.0,0.0
8445215ffffffff,68.0,6.0,0.0,0.0
8445217ffffffff,30.0,0.0,0.0,0.0
8445219ffffffff,5.0,0.0,0.0,0.0
844521dffffffff,70.0,0.0,0.0,0.0
8445221ffffffff,22.0,0.0,0.0,0.0
8445225ffffffff,161.0,14.0,0.0,0.0
8445233ffffffff,134.0,22.0,0.0,0.0
844523bffffffff,36.0,0.0,0.0,0.0
8445257ffffffff,46.0,0.0,0.0,0.0
8445263ffffffff,26.0,0.0,0.0,0.0
8445281ffffffff,10.0,0.0,0.0,0.0
8445283ffffffff,19.0,3.0,0.0,0.0
8445285ffffffff,25.0,11.0,0.0,0.0
8445287ffffffff,68.0,8.0,0.0,0.0
8445289ffffffff,177.0,77.0,0.0,0.0
844528dffffffff,63.0,14.0,0.0,0.0
8445297ffffffff,3.0,0.0,0.0,0.0
84452a1ffffffff,30.0,6.0,0.0,0.0
84452a5ffffffff,2.0,0.0,0.0,0.0
84452a7ffffffff,13.0,5.0,0.0,0.0
84452a9ffffffff,237.0,45.0,0.0,0.0
84452abffffffff,37.0,11.0,0.0,0.0
84452adffffffff,233.0,41.0,0.0,0.0
84452b5ffffffff,13.0,0.0,0.0,0.0
84452b9ffffffff,32.0,2.0,0.0,0.0
84452bdffffffff,63.0,10.0,0.0,0.0
84452c1ffffffff,14.0,0.0,0.0,0.0
84452c3ffffffff,156.0,28.0,0.0,0.0
84452c5ffffffff,26.0,4.0,0.0,0.0
84452c7ffffffff,110.0,10.0,0.0,0.0
84452c9ffffffff,1.0,0.0,0.0,0.0
84452d5ffffffff,5.0,0.0,0.0,0.0
84452d9ffffffff,74.0,5.0,0.0,0.0
84452dbffffffff,11.0,0.0,0.0,0.0
84452e1ffffffff,715.0,28.0,0.0,0.0
84452e3ffffffff,170.0,20.0,0.0,0.0
84452e5ffffffff,319.0,19.0,0.0,0.0
84452e7ffffffff,20.0,2.0,0.0,0.0
84452e9ffffffff,44.0,11.0,0.0,0.0
84452ebffffffff,594.0,120.0,0.0,0.0
84452edffffffff,43.0,0.0,0.0,0.0
8445303ffffffff,1.0,0.0,0.0,0.0
8445305ffffffff,17.0,0.0,0.0,0.0
844530dffffffff,2.0,0.0,0.0,0.0
8445319ffffffff,13.0,0.0,0.0,0.0
844532bffffffff,3.0,0.0,0.0,0.0
8445343ffffffff,18.0,0.0,0.0,0.0
8445345ffffffff,1.0,0.0,0.0,0.0
8445351ffffffff,2.0,0.0,0.0,0.0
8445363ffffffff,2.0,0.0,0.0,0.0
8445365ffffffff,13.0,0.0,0.0,0.0
8445367ffffffff,3.0,0.0,0.0,0.0
8445765ffffffff,1.0,0.0,0.0,0.0
845f105ffffffff,2.0,0.0,0.0,0.0
845f117ffffffff,2.0,0.0,0.0,0.0
845f1c3ffffffff,2.0,0.0,0.0,0.0
845f283ffffffff,1.0,0.0,0.0,0.0
845f2b3ffffffff,6.0,0.0,0.0,0.0
845f2bbffffffff,3.0,0.0,0.0,0.0
845f42bffffffff,1.0,0.0,0.0,0.0
845f50bffffffff,4.0,0.0,0.0,0.0
845f549ffffffff,2.0,0.0,0.0,0.0
845f717ffffffff,1.0,0.0,0.0,0.0
845f759ffffffff,3.0,0.0,0.0,0.0
846608dffffffff,12.0,0.0,0.0,0.0
84660a1ffffffff,2.0,0.0,0.0,0.0
84660a7ffffffff,1.0,0.0,0.0,0.0
84660e7ffffffff,2.0,0.0,0.0,0.0
8466105ffffffff,13.0,0.0,0.0,0.0
8466107ffffffff,350.0,43.0,0.0,0.0
846610bffffffff,3.0,3.0,0.0,0.0
846610dffffffff,4.0,0.0,0.0,0.0
8466113ffffffff,2.0,0.0,0.0,0.0
8466117ffffffff,7.0,0.0,0.0,0.0
8466129ffffffff,21.0,5.0,0.0,0.0
8466131ffffffff,6.0,3.0,0.0,0.0
8466139ffffffff,42.0,0.0,0.0,0.0
846613dffffffff,6.0,2.0,0.0,0.0
8466163ffffffff,386.0,57.0,0.0,0.0
8466165ffffffff,26.0,5.0,0.0,0.0
8466167ffffffff,25.0,0.0,0.0,0.0
8466193ffffffff,1.0,0.0,0.0,0.0
84661bdffffffff,2.0,0.0,0.0,0.0
84661c1ffffffff,2.0,0.0,0.0,0.0
84661c5ffffffff,3.0,0.0,0.0,0.0
84661ebffffffff,15.0,0.0,0.0,0.0
8466203ffffffff,2.0,2.0,0.0,0.0
8466205ffffffff,2.0,0.0,0.0,0.0
8466213ffffffff,5.0,0.0,0.0,0.0
