cell_id,Oriolus chinensis,Oriolus chinensis diffusus,Oriolus chinensis [maculatus Group],Oriolus chinensis [chinensis Group],Oriolus chinensis melanisticus,Oriolus chinensis [frontalis Group],Oriolus chinensis broderipi/boneratensis
84241dbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8424567ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842469bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
842e46dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
842e605ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430833ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430991ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84309b3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
84309d9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c4dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c5dffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8430e25ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8431aadffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
843c199ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
843c1c3ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
843c1d7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843c337ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843c581ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
843c5bdffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
843c837ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
843c885ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
843c8d7ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
843c8e5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843c8edffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
843c903ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
843c909ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
843c921ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843c92dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843c931ffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
843c943ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
