cell_id,Oriolus chinensis,Oriolus chinensis diffusus,Oriolus chinensis [maculatus Group],Oriolus chinensis [chinensis Group],Oriolus chinensis melanisticus,Oriolus chinensis [frontalis Group],Oriolus chinensis broderipi/boneratensis
8314aefffffffff,59.0,0.0,0.0,0.0,0.0,0.0,0.0
8324defffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832ec1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832ec9fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
832ecbfffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
832edbfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
833000fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
833006fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
833019fffffffff,39.0,4.0,0.0,0.0,0.0,0.0,0.0
833025fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
83302bfffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
833030fffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0
833032fffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0
833083fffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0
83308efffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
833091fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
833096fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
833098fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
833099fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
83309afffffffff,40.0,2.0,0.0,0.0,0.0,0.0,0.0
83309bfffffffff,158.0,0.0,0.0,0.0,0.0,0.0,0.0
83309dfffffffff,62.0,0.0,0.0,0.0,0.0,0.0,0.0
8330acfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8330c0fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8330c1fffffffff,37.0,2.0,0.0,0.0,0.0,0.0,0.0
8330c2fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8330c4fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
8330c5fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8330c6fffffffff,69.0,2.0,0.0,0.0,0.0,0.0,0.0
8330cefffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
8330d0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8330e0fffffffff,103.0,11.0,0.0,0.0,0.0,0.0,0.0
8330e1fffffffff,113.0,6.0,0.0,0.0,0.0,0.0,0.0
8330e2fffffffff,57.0,3.0,0.0,0.0,0.0,0.0,0.0
8330e3fffffffff,218.0,2.0,0.0,0.0,0.0,0.0,0.0
8330e4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8330e5fffffffff,65.0,1.0,0.0,0.0,0.0,0.0,0.0
8330e8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8330ecfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8330f3fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
83316cfffffffff,34.0,3.0,0.0,0.0,0.0,0.0,0.0
83316efffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
833181fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
833185fffffffff,51.0,0.0,0.0,0.0,0.0,0.0,0.0
833188fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83318cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83318dfffffffff,167.0,1.0,0.0,0.0,0.0,0.0,0.0
833191fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
833192fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8331a8fffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0
8331aafffffffff,170.0,0.0,0.0,0.0,0.0,0.0,0.0
8331abfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8331aefffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
