cell_id,Ortygospiza atricollis,Ortygospiza atricollis [atricollis Group],Ortygospiza atricollis [fuscocrissa Group],Ortygospiza atricollis [gabonensis Group]
82529ffffffffff,10.0,0.0,6.0,0.0
825417fffffffff,37.0,20.0,0.0,0.0
82541ffffffffff,62.0,35.0,0.0,0.0
8254affffffffff,21.0,6.0,0.0,0.0
8254f7fffffffff,53.0,32.0,0.0,0.0
825857fffffffff,1.0,0.0,0.0,0.0
82585ffffffffff,2.0,2.0,0.0,0.0
8258a7fffffffff,2.0,2.0,0.0,0.0
8258cffffffffff,1.0,1.0,0.0,0.0
8258e7fffffffff,29.0,13.0,0.0,0.0
82599ffffffffff,48.0,30.0,0.0,0.0
826a5ffffffffff,17.0,0.0,0.0,0.0
826ac7fffffffff,108.0,19.0,0.0,42.0
826aeffffffffff,43.0,20.0,0.0,0.0
827527fffffffff,45.0,27.0,0.0,0.0
82752ffffffffff,19.0,14.0,0.0,0.0
827577fffffffff,18.0,17.0,0.0,0.0
827a47fffffffff,24.0,0.0,6.0,0.0
827a4ffffffffff,20.0,2.0,2.0,0.0
827a67fffffffff,19.0,0.0,9.0,0.0
827a6ffffffffff,410.0,0.0,176.0,2.0
827acffffffffff,19.0,0.0,18.0,0.0
827adffffffffff,1.0,0.0,1.0,0.0
8282affffffffff,2.0,0.0,0.0,2.0
828327fffffffff,2.0,0.0,0.0,0.0
828337fffffffff,5.0,0.0,0.0,0.0
82838ffffffffff,1.0,0.0,0.0,1.0
829607fffffffff,2.0,0.0,0.0,0.0
82960ffffffffff,7.0,0.0,0.0,3.0
829627fffffffff,2.0,0.0,0.0,0.0
82962ffffffffff,17.0,0.0,0.0,0.0
829657fffffffff,3.0,0.0,0.0,3.0
82966ffffffffff,1.0,0.0,0.0,0.0
829677fffffffff,11.0,0.0,2.0,0.0
829687fffffffff,5.0,0.0,0.0,0.0
829697fffffffff,72.0,0.0,34.0,0.0
82969ffffffffff,2.0,0.0,1.0,0.0
8296a7fffffffff,2.0,0.0,0.0,0.0
8296affffffffff,1.0,0.0,0.0,0.0
8296b7fffffffff,5.0,0.0,3.0,0.0
82970ffffffffff,8.0,0.0,1.0,0.0
829717fffffffff,51.0,0.0,28.0,0.0
82971ffffffffff,7.0,0.0,5.0,0.0
829727fffffffff,1.0,0.0,1.0,0.0
82972ffffffffff,7.0,0.0,0.0,0.0
829737fffffffff,2.0,0.0,0.0,0.0
829747fffffffff,15.0,0.0,6.0,0.0
82974ffffffffff,9.0,0.0,1.0,0.0
829757fffffffff,12.0,0.0,4.0,0.0
82975ffffffffff,14.0,0.0,7.0,0.0
82ac87fffffffff,24.0,0.0,22.0,0.0
82ac97fffffffff,4.0,0.0,0.0,0.0
82ac9ffffffffff,3.0,0.0,3.0,0.0
82aca7fffffffff,4.0,0.0,4.0,0.0
82ad37fffffffff,14.0,0.0,4.0,0.0
82ada7fffffffff,1.0,0.0,0.0,0.0
82adb7fffffffff,3.0,0.0,3.0,0.0
82bc1ffffffffff,19.0,0.0,16.0,0.0
82bc47fffffffff,2.0,0.0,1.0,0.0
82bc57fffffffff,18.0,0.0,2.0,0.0
82bc6ffffffffff,5.0,0.0,0.0,0.0
82bc77fffffffff,4.0,0.0,2.0,0.0
82bc8ffffffffff,41.0,0.0,20.0,0.0
82bcc7fffffffff,219.0,0.0,114.0,0.0
82bccffffffffff,11.0,0.0,5.0,0.0
82bcd7fffffffff,54.0,0.0,23.0,0.0
82bcdffffffffff,162.0,0.0,111.0,0.0
82bce7fffffffff,65.0,0.0,49.0,0.0
82bceffffffffff,31.0,0.0,17.0,0.0
82bcf7fffffffff,140.0,0.0,89.0,0.0
