cell_id,Otus senegalensis,Otus senegalensis senegalensis,Otus senegalensis feae,Otus senegalensis nivosus
8354c5fffffffff,1.0,0.0,0.0,0.0
8354eafffffffff,2.0,0.0,0.0,0.0
836ad9fffffffff,2.0,0.0,0.0,0.0
836aebfffffffff,2.0,0.0,0.0,0.0
837a66fffffffff,2.0,0.0,0.0,0.0
837a68fffffffff,1.0,1.0,0.0,0.0
837a6bfffffffff,1.0,0.0,0.0,0.0
837b59fffffffff,1.0,0.0,0.0,0.0
839692fffffffff,3.0,3.0,0.0,0.0
83972cfffffffff,2.0,2.0,0.0,0.0
83975cfffffffff,3.0,0.0,0.0,0.0
83ad82fffffffff,1.0,0.0,0.0,0.0
83bcc3fffffffff,4.0,0.0,0.0,0.0
83bcd2fffffffff,10.0,5.0,0.0,0.0
83bcd9fffffffff,1.0,0.0,0.0,0.0
83bcf2fffffffff,2.0,2.0,0.0,0.0
