cell_id,Pachycephala pectoralis,Pachycephala pectoralis fuliginosa/occidentalis,Pachycephala pectoralis [pectoralis Group]
849c059ffffffff,2.0,0.0,2.0
849c05dffffffff,14.0,0.0,14.0
849c203ffffffff,11.0,0.0,11.0
849c20bffffffff,3.0,0.0,3.0
849c215ffffffff,504.0,0.0,504.0
849c21dffffffff,4.0,0.0,4.0
849c231ffffffff,61.0,0.0,61.0
849c233ffffffff,7.0,0.0,7.0
849c237ffffffff,589.0,0.0,589.0
849c239ffffffff,976.0,0.0,976.0
849c23bffffffff,91.0,0.0,91.0
849c251ffffffff,5.0,0.0,5.0
849c255ffffffff,1.0,0.0,1.0
849c259ffffffff,94.0,0.0,94.0
849d013ffffffff,9.0,0.0,9.0
849d01bffffffff,3.0,0.0,3.0
849d0b3ffffffff,2.0,0.0,2.0
849d0c1ffffffff,2.0,0.0,2.0
849d0c5ffffffff,32.0,0.0,32.0
849d0cdffffffff,124.0,0.0,124.0
849d211ffffffff,4.0,0.0,4.0
849d215ffffffff,4.0,0.0,4.0
849d217ffffffff,5.0,0.0,5.0
849d21dffffffff,37.0,0.0,37.0
849d23bffffffff,2.0,0.0,2.0
849d24bffffffff,17.0,0.0,17.0
849d251ffffffff,6.0,0.0,6.0
849d253ffffffff,6.0,0.0,6.0
849d255ffffffff,5.0,0.0,5.0
849d257ffffffff,4.0,0.0,4.0
849d259ffffffff,1.0,0.0,1.0
849d25bffffffff,17.0,0.0,17.0
849d28bffffffff,1.0,0.0,1.0
849d2a5ffffffff,6.0,0.0,6.0
849d2adffffffff,1.0,0.0,1.0
84a7005ffffffff,5.0,5.0,0.0
84a700dffffffff,2.0,2.0,0.0
84a7029ffffffff,2.0,2.0,0.0
84a702bffffffff,2.0,2.0,0.0
84a7041ffffffff,1.0,1.0,0.0
84a7047ffffffff,2.0,2.0,0.0
84a704dffffffff,2.0,2.0,0.0
84a7063ffffffff,3.0,3.0,0.0
84a714dffffffff,3.0,3.0,0.0
84a71d1ffffffff,2.0,2.0,0.0
84a71ddffffffff,1.0,1.0,0.0
84a7221ffffffff,4.0,4.0,0.0
84a7227ffffffff,12.0,12.0,0.0
84a7261ffffffff,10.0,10.0,0.0
84a7265ffffffff,43.0,43.0,0.0
84a7267ffffffff,7.0,7.0,0.0
84a7269ffffffff,51.0,51.0,0.0
84a726dffffffff,240.0,239.0,0.0
84a7305ffffffff,2.0,2.0,0.0
84a731bffffffff,2.0,2.0,0.0
84a7329ffffffff,2.0,2.0,0.0
84a732bffffffff,2.0,2.0,0.0
84a7335ffffffff,21.0,21.0,0.0
84a7337ffffffff,2.0,2.0,0.0
84a7343ffffffff,2.0,2.0,0.0
84a7359ffffffff,12.0,12.0,0.0
84b8299ffffffff,3.0,3.0,0.0
84b829bffffffff,2.0,2.0,0.0
84b8605ffffffff,2.0,2.0,0.0
84b8619ffffffff,4.0,4.0,0.0
84b861dffffffff,2.0,2.0,0.0
84b8633ffffffff,1.0,1.0,0.0
84b863dffffffff,2.0,2.0,0.0
84b864bffffffff,1.0,1.0,0.0
84b865dffffffff,12.0,12.0,0.0
84b8681ffffffff,2.0,2.0,0.0
84b8689ffffffff,2.0,2.0,0.0
84b8693ffffffff,1.0,1.0,0.0
84b86a9ffffffff,5.0,5.0,0.0
84b86abffffffff,3.0,3.0,0.0
84b86adffffffff,2.0,2.0,0.0
84b86bbffffffff,1.0,1.0,0.0
84b86d1ffffffff,2.0,2.0,0.0
84b86d7ffffffff,4.0,4.0,0.0
84b86e9ffffffff,2.0,2.0,0.0
84b9111ffffffff,7.0,7.0,0.0
84b9113ffffffff,15.0,15.0,0.0
84b9115ffffffff,4.0,4.0,0.0
84b9119ffffffff,20.0,20.0,0.0
84b9125ffffffff,7.0,7.0,0.0
84b9135ffffffff,5.0,5.0,0.0
84b9137ffffffff,1.0,1.0,0.0
84b9139ffffffff,2.0,2.0,0.0
84b913bffffffff,2.0,2.0,0.0
84b913dffffffff,4.0,4.0,0.0
84b9145ffffffff,22.0,22.0,0.0
84b9147ffffffff,4.0,4.0,0.0
84b9149ffffffff,2.0,2.0,0.0
84b914bffffffff,15.0,15.0,0.0
84b914dffffffff,46.0,45.0,0.0
84b9151ffffffff,2.0,2.0,0.0
84b9155ffffffff,57.0,57.0,0.0
84b9159ffffffff,16.0,16.0,0.0
84b915dffffffff,5.0,5.0,0.0
84b9161ffffffff,3.0,3.0,0.0
84b9167ffffffff,1.0,1.0,0.0
84b9169ffffffff,206.0,206.0,0.0
84b916dffffffff,29.0,29.0,0.0
84b9337ffffffff,7.0,7.0,0.0
84b9365ffffffff,3.0,2.0,1.0
84b959bffffffff,2.0,2.0,0.0
84b9a13ffffffff,5.0,5.0,0.0
84b9a1bffffffff,9.0,9.0,0.0
84b9a4bffffffff,30.0,30.0,0.0
84b9a5bffffffff,3.0,3.0,0.0
84b9a99ffffffff,2.0,2.0,0.0
84b9ac9ffffffff,7.0,7.0,0.0
84b9acbffffffff,57.0,57.0,0.0
84ba69dffffffff,187.0,0.0,187.0
84be081ffffffff,68.0,0.0,68.0
84be083ffffffff,17.0,0.0,17.0
84be085ffffffff,759.0,0.0,758.0
84be087ffffffff,499.0,0.0,499.0
84be089ffffffff,3320.0,0.0,3320.0
84be08bffffffff,10.0,0.0,10.0
84be08dffffffff,1147.0,0.0,1147.0
84be091ffffffff,3.0,0.0,3.0
84be093ffffffff,11.0,0.0,11.0
84be095ffffffff,1.0,0.0,1.0
84be097ffffffff,15.0,0.0,15.0
84be099ffffffff,41.0,0.0,41.0
84be09bffffffff,5.0,0.0,5.0
84be09dffffffff,2.0,0.0,2.0
84be0a1ffffffff,10.0,0.0,10.0
