cell_id,Pandion haliaetus,Pandion haliaetus haliaetus,Pandion haliaetus carolinensis,Pandion haliaetus ridgwayi,Pandion haliaetus cristatus
820127fffffffff,3.0,0.0,0.0,0.0,0.0
820137fffffffff,4.0,2.0,0.0,0.0,0.0
820807fffffffff,1.0,0.0,0.0,0.0,0.0
820817fffffffff,11.0,0.0,0.0,0.0,0.0
82081ffffffffff,2.0,0.0,0.0,0.0,0.0
820837fffffffff,1.0,0.0,0.0,0.0,0.0
820887fffffffff,230.0,89.0,0.0,0.0,0.0
82088ffffffffff,64.0,25.0,0.0,0.0,0.0
820897fffffffff,12.0,4.0,0.0,0.0,0.0
82089ffffffffff,199.0,40.0,0.0,0.0,0.0
8208a7fffffffff,23.0,7.0,0.0,0.0,0.0
8208affffffffff,7.0,2.0,0.0,0.0,0.0
8208b7fffffffff,130.0,21.0,0.0,0.0,0.0
8208c7fffffffff,12.0,0.0,0.0,0.0,0.0
8208cffffffffff,49.0,5.0,0.0,0.0,0.0
8208d7fffffffff,52.0,4.0,0.0,0.0,0.0
8208dffffffffff,43.0,0.0,0.0,0.0,0.0
8208e7fffffffff,5.0,1.0,0.0,0.0,0.0
8208effffffffff,7.0,2.0,0.0,0.0,0.0
8208f7fffffffff,16.0,0.0,0.0,0.0,0.0
82095ffffffffff,2.0,0.0,0.0,0.0,0.0
820987fffffffff,6.0,0.0,0.0,0.0,0.0
82098ffffffffff,2.0,0.0,0.0,0.0,0.0
820997fffffffff,10.0,2.0,0.0,0.0,0.0
82099ffffffffff,82.0,13.0,0.0,0.0,0.0
8209a7fffffffff,5.0,0.0,0.0,0.0,0.0
820c07fffffffff,38.0,0.0,0.0,0.0,0.0
820c17fffffffff,85.0,0.0,0.0,0.0,0.0
820c1ffffffffff,23.0,0.0,0.0,0.0,0.0
820c2ffffffffff,13.0,0.0,0.0,0.0,0.0
820c37fffffffff,17.0,0.0,0.0,0.0,0.0
820c47fffffffff,40.0,0.0,0.0,0.0,0.0
820c57fffffffff,58.0,0.0,0.0,0.0,0.0
820c67fffffffff,57.0,0.0,0.0,0.0,0.0
820c6ffffffffff,2.0,0.0,0.0,0.0,0.0
820c77fffffffff,551.0,0.0,21.0,0.0,0.0
820ceffffffffff,26.0,0.0,0.0,0.0,0.0
820d1ffffffffff,6.0,0.0,0.0,0.0,0.0
820d47fffffffff,3.0,0.0,0.0,0.0,0.0
820d4ffffffffff,4.0,0.0,0.0,0.0,0.0
820d57fffffffff,1.0,0.0,0.0,0.0,0.0
820d5ffffffffff,362.0,0.0,0.0,0.0,0.0
820d67fffffffff,6.0,0.0,0.0,0.0,0.0
820d77fffffffff,2.0,0.0,0.0,0.0,0.0
820e07fffffffff,1.0,0.0,0.0,0.0,0.0
820e0ffffffffff,3.0,0.0,0.0,0.0,0.0
820e47fffffffff,21.0,0.0,0.0,0.0,0.0
820e4ffffffffff,893.0,0.0,0.0,0.0,0.0
820e57fffffffff,19.0,0.0,0.0,0.0,0.0
820e5ffffffffff,23.0,0.0,0.0,0.0,0.0
820e67fffffffff,6.0,0.0,0.0,0.0,0.0
820e6ffffffffff,58.0,0.0,0.0,0.0,0.0
820e87fffffffff,464.0,0.0,0.0,0.0,0.0
820e8ffffffffff,7.0,0.0,0.0,0.0,0.0
820e97fffffffff,2.0,0.0,0.0,0.0,0.0
820e9ffffffffff,14.0,0.0,0.0,0.0,0.0
820ec7fffffffff,17.0,0.0,0.0,0.0,0.0
820ecffffffffff,376.0,0.0,13.0,0.0,0.0
820ed7fffffffff,9.0,0.0,0.0,0.0,0.0
820edffffffffff,21.0,0.0,0.0,0.0,0.0
820ee7fffffffff,29.0,0.0,0.0,0.0,0.0
820eeffffffffff,1912.0,0.0,0.0,0.0,0.0
820ef7fffffffff,5.0,0.0,0.0,0.0,0.0
820f5ffffffffff,4.0,0.0,0.0,0.0,0.0
821107fffffffff,141.0,5.0,0.0,0.0,0.0
82110ffffffffff,6.0,0.0,0.0,0.0,0.0
821117fffffffff,2.0,0.0,0.0,0.0,0.0
82111ffffffffff,2.0,0.0,0.0,0.0,0.0
821127fffffffff,96.0,19.0,0.0,0.0,0.0
82112ffffffffff,17.0,0.0,0.0,0.0,0.0
821137fffffffff,12.0,0.0,0.0,0.0,0.0
821177fffffffff,2.0,0.0,0.0,0.0,0.0
821187fffffffff,9.0,1.0,0.0,0.0,0.0
82118ffffffffff,35.0,5.0,0.0,0.0,0.0
8211a7fffffffff,3.0,0.0,0.0,0.0,0.0
8211affffffffff,214.0,90.0,0.0,0.0,0.0
821217fffffffff,2.0,0.0,0.0,0.0,0.0
