cell_id,Paradoxornis heudei,Paradoxornis heudei polivanovi,Paradoxornis heudei heudei
82149ffffffffff,1.0,0.0,0.0
8214b7fffffffff,1.0,0.0,0.0
821597fffffffff,16.0,0.0,0.0
822ecffffffffff,15.0,3.0,0.0
823017fffffffff,2.0,0.0,0.0
823027fffffffff,1.0,0.0,0.0
823087fffffffff,66.0,0.0,1.0
823097fffffffff,2.0,0.0,0.0
82309ffffffffff,582.0,0.0,69.0
8230a7fffffffff,1.0,0.0,0.0
8230b7fffffffff,4.0,0.0,0.0
82316ffffffffff,2.0,1.0,0.0
823187fffffffff,61.0,0.0,0.0
82318ffffffffff,562.0,0.0,0.0
82319ffffffffff,8.0,0.0,0.0
8231affffffffff,56.0,0.0,0.0
824097fffffffff,1.0,0.0,0.0
