cell_id,Patagioenas fasciata,Patagioenas fasciata [fasciata Group],Patagioenas fasciata vioscae,Patagioenas fasciata [albilinea Group]
821287fffffffff,2.0,0.0,0.0,0.0
82129ffffffffff,5.0,3.0,0.0,0.0
8212b7fffffffff,3.0,0.0,0.0,0.0
8212cffffffffff,6.0,0.0,0.0,0.0
8212d7fffffffff,16.0,0.0,0.0,0.0
8212dffffffffff,5.0,0.0,0.0,0.0
8212e7fffffffff,1.0,0.0,0.0,0.0
821387fffffffff,2.0,0.0,0.0,0.0
82260ffffffffff,1.0,0.0,0.0,0.0
82261ffffffffff,2.0,0.0,0.0,0.0
82262ffffffffff,3.0,0.0,0.0,0.0
822687fffffffff,63.0,1.0,0.0,0.0
82268ffffffffff,179.0,0.0,0.0,0.0
822697fffffffff,123.0,1.0,0.0,0.0
82269ffffffffff,73.0,0.0,0.0,0.0
8226b7fffffffff,3.0,0.0,0.0,0.0
822707fffffffff,3.0,0.0,0.0,0.0
822757fffffffff,2.0,0.0,0.0,0.0
82275ffffffffff,11.0,0.0,0.0,0.0
8227b7fffffffff,2.0,0.0,0.0,0.0
822807fffffffff,15.0,0.0,0.0,0.0
822817fffffffff,90.0,0.0,0.0,0.0
82281ffffffffff,128.0,0.0,0.0,0.0
822837fffffffff,1197.0,23.0,0.0,0.0
822887fffffffff,16.0,0.0,0.0,0.0
82288ffffffffff,29.0,0.0,0.0,0.0
82289ffffffffff,6.0,0.0,0.0,0.0
8228a7fffffffff,4.0,0.0,0.0,0.0
8228affffffffff,45.0,0.0,0.0,0.0
8228b7fffffffff,6.0,1.0,0.0,0.0
8228c7fffffffff,32.0,12.0,0.0,0.0
8228d7fffffffff,175.0,10.0,0.0,0.0
8228dffffffffff,90.0,6.0,0.0,0.0
8228f7fffffffff,74.0,2.0,0.0,0.0
822917fffffffff,16.0,0.0,0.0,0.0
82291ffffffffff,7.0,2.0,0.0,0.0
822987fffffffff,34.0,0.0,0.0,0.0
82298ffffffffff,145.0,0.0,0.0,0.0
822997fffffffff,51.0,0.0,0.0,0.0
8229a7fffffffff,235.0,9.0,0.0,0.0
8229affffffffff,87.0,4.0,0.0,0.0
8229b7fffffffff,22.0,0.0,0.0,0.0
822a17fffffffff,2.0,0.0,0.0,0.0
822aaffffffffff,3.0,0.0,0.0,0.0
822ab7fffffffff,5.0,0.0,0.0,0.0
822af7fffffffff,43.0,0.0,0.0,0.0
822b97fffffffff,1.0,0.0,0.0,0.0
822b9ffffffffff,8.0,0.0,0.0,0.0
822ba7fffffffff,2.0,0.0,0.0,0.0
82446ffffffffff,3.0,0.0,0.0,0.0
8244dffffffffff,1.0,0.0,0.0,0.0
824527fffffffff,12.0,0.0,0.0,0.0
824817fffffffff,10.0,4.0,0.0,0.0
82485ffffffffff,4.0,0.0,0.0,0.0
8248a7fffffffff,1.0,1.0,0.0,0.0
8248affffffffff,5.0,5.0,0.0,0.0
8248c7fffffffff,203.0,5.0,0.0,0.0
8248cffffffffff,34.0,1.0,0.0,0.0
8248d7fffffffff,6.0,1.0,0.0,0.0
8248dffffffffff,30.0,0.0,0.0,0.0
8248effffffffff,173.0,14.0,0.0,0.0
8248f7fffffffff,140.0,7.0,0.0,0.0
824987fffffffff,16.0,0.0,0.0,0.0
824997fffffffff,52.0,12.0,0.0,0.0
82499ffffffffff,3.0,0.0,0.0,0.0
8249affffffffff,1.0,1.0,0.0,0.0
82660ffffffffff,8.0,0.0,0.0,0.0
82661ffffffffff,8.0,0.0,0.0,5.0
826627fffffffff,3.0,0.0,0.0,0.0
82662ffffffffff,1.0,0.0,0.0,1.0
8266a7fffffffff,7.0,0.0,0.0,0.0
8266b7fffffffff,175.0,0.0,0.0,168.0
8266c7fffffffff,5.0,0.0,0.0,0.0
8266d7fffffffff,18.0,0.0,0.0,13.0
8266dffffffffff,5.0,0.0,0.0,0.0
8266e7fffffffff,2.0,0.0,0.0,0.0
8266f7fffffffff,13.0,0.0,0.0,5.0
82674ffffffffff,7.0,0.0,0.0,2.0
82675ffffffffff,2.0,0.0,0.0,0.0
82679ffffffffff,5.0,0.0,0.0,0.0
826d27fffffffff,7.0,1.0,0.0,0.0
826d2ffffffffff,30.0,0.0,0.0,0.0
826d37fffffffff,8.0,1.0,0.0,0.0
826d67fffffffff,2.0,2.0,0.0,0.0
826d6ffffffffff,47.0,0.0,0.0,25.0
826d77fffffffff,1.0,0.0,0.0,0.0
828b27fffffffff,2.0,0.0,0.0,2.0
828b2ffffffffff,2.0,0.0,0.0,0.0
828b67fffffffff,2.0,0.0,0.0,2.0
828e67fffffffff,42.0,0.0,0.0,6.0
828f0ffffffffff,6.0,0.0,0.0,1.0
828f2ffffffffff,13.0,0.0,0.0,0.0
828f4ffffffffff,9.0,0.0,0.0,0.0
828f57fffffffff,2.0,0.0,0.0,1.0
828f5ffffffffff,15.0,0.0,0.0,14.0
828f77fffffffff,23.0,0.0,0.0,22.0
82b277fffffffff,3.0,0.0,0.0,2.0
82b327fffffffff,1.0,0.0,0.0,0.0
82b347fffffffff,5.0,0.0,0.0,0.0
82b35ffffffffff,3.0,0.0,0.0,0.0
