cell_id,Pellorneum rostratum,Pellorneum rostratum rostratum,Pellorneum rostratum macropterum
836431fffffffff,1.0,0.0,0.0
836433fffffffff,8.0,0.0,0.0
836435fffffffff,60.0,1.0,0.0
836500fffffffff,102.0,0.0,0.0
836501fffffffff,2.0,0.0,0.0
836502fffffffff,22.0,0.0,0.0
836503fffffffff,19.0,0.0,0.0
836505fffffffff,29.0,0.0,0.0
836511fffffffff,1.0,0.0,0.0
836518fffffffff,30.0,6.0,0.0
836519fffffffff,14.0,0.0,0.0
83651bfffffffff,2.0,0.0,0.0
83651cfffffffff,43.0,0.0,0.0
83651dfffffffff,9.0,0.0,0.0
836520fffffffff,9.0,0.0,0.0
836522fffffffff,29.0,0.0,0.0
836525fffffffff,5.0,0.0,0.0
836526fffffffff,181.0,0.0,0.0
836802fffffffff,21.0,0.0,0.0
836810fffffffff,3.0,0.0,0.0
836811fffffffff,12.0,0.0,0.0
836812fffffffff,6.0,0.0,0.0
836815fffffffff,25.0,0.0,1.0
836818fffffffff,815.0,0.0,12.0
836819fffffffff,1.0,0.0,0.0
83681afffffffff,37.0,0.0,0.0
83681cfffffffff,114.0,0.0,2.0
83681dfffffffff,12.0,0.0,0.0
83681efffffffff,23.0,0.0,0.0
83688afffffffff,4.0,0.0,1.0
836892fffffffff,1.0,0.0,0.0
836896fffffffff,1.0,0.0,0.0
8368a0fffffffff,2.0,0.0,0.0
8368a4fffffffff,2.0,0.0,0.0
8368a5fffffffff,3.0,0.0,0.0
8368a6fffffffff,2.0,0.0,0.0
8368abfffffffff,7.0,0.0,0.0
8368b5fffffffff,2.0,0.0,0.0
83699afffffffff,21.0,0.0,0.0
838c8cfffffffff,1.0,0.0,0.0
838c92fffffffff,3.0,0.0,0.0
838c95fffffffff,2.0,0.0,0.0
838cadfffffffff,17.0,0.0,0.0
838cb2fffffffff,2.0,0.0,0.0
838d9afffffffff,8.0,0.0,0.0
