cell_id,Pericrocotus solaris,Pericrocotus solaris [solaris Group],Pericrocotus solaris montanus/cinereigula
82309ffffffffff,103.0,54.0,0.0
823c0ffffffffff,109.0,0.0,0.0
823c1ffffffffff,242.0,0.0,0.0
823c37fffffffff,4.0,0.0,0.0
823c47fffffffff,10.0,0.0,0.0
823c57fffffffff,447.0,0.0,0.0
823c5ffffffffff,445.0,0.0,0.0
823cc7fffffffff,4.0,0.0,0.0
823cdffffffffff,45.0,2.0,0.0
823ce7fffffffff,470.0,0.0,0.0
823ceffffffffff,35.0,0.0,0.0
824007fffffffff,5.0,0.0,0.0
824017fffffffff,2.0,0.0,0.0
82401ffffffffff,1.0,0.0,0.0
824027fffffffff,2.0,0.0,0.0
824037fffffffff,2.0,0.0,0.0
824047fffffffff,21.0,0.0,0.0
82404ffffffffff,147.0,2.0,0.0
82405ffffffffff,13.0,0.0,0.0
824067fffffffff,1.0,0.0,0.0
82406ffffffffff,2.0,0.0,0.0
824077fffffffff,5.0,0.0,0.0
8240a7fffffffff,2.0,0.0,0.0
8240affffffffff,1.0,0.0,0.0
8240c7fffffffff,17.0,0.0,0.0
8240e7fffffffff,3.0,0.0,0.0
8240effffffffff,3.0,0.0,0.0
824107fffffffff,8.0,2.0,0.0
824117fffffffff,2.0,0.0,0.0
82411ffffffffff,944.0,62.0,0.0
824147fffffffff,4.0,1.0,0.0
82414ffffffffff,17.0,0.0,0.0
82415ffffffffff,33.0,2.0,0.0
824167fffffffff,39.0,8.0,0.0
82416ffffffffff,2.0,0.0,0.0
824177fffffffff,238.0,0.0,0.0
824187fffffffff,116.0,1.0,0.0
82418ffffffffff,2.0,0.0,0.0
824197fffffffff,145.0,49.0,0.0
82419ffffffffff,3.0,0.0,0.0
8241a7fffffffff,7.0,0.0,0.0
8241affffffffff,6.0,0.0,0.0
8241b7fffffffff,54.0,14.0,0.0
824b37fffffffff,2.0,0.0,0.0
824b87fffffffff,303.0,1.0,0.0
824ba7fffffffff,13936.0,710.0,0.0
824bb7fffffffff,1709.0,24.0,0.0
826417fffffffff,73.0,15.0,0.0
826487fffffffff,626.0,127.0,0.0
826497fffffffff,410.0,117.0,0.0
82649ffffffffff,33.0,4.0,0.0
8264a7fffffffff,71.0,17.0,0.0
8264b7fffffffff,10.0,3.0,0.0
826507fffffffff,594.0,0.0,34.0
82650ffffffffff,11.0,0.0,0.0
82652ffffffffff,10.0,0.0,0.0
826557fffffffff,47.0,0.0,0.0
826587fffffffff,47.0,0.0,0.0
8265b7fffffffff,112.0,15.0,0.0
826807fffffffff,2.0,0.0,0.0
826817fffffffff,1097.0,0.0,150.0
82681ffffffffff,1.0,0.0,1.0
82689ffffffffff,7.0,0.0,0.0
826937fffffffff,130.0,20.0,0.0
828c1ffffffffff,5.0,0.0,0.0
828c97fffffffff,6.0,0.0,0.0
828cd7fffffffff,68.0,0.0,4.0
828cf7fffffffff,2.0,0.0,0.0
