cell_id,Perisoreus canadensis,Perisoreus canadensis [canadensis Group],Perisoreus canadensis capitalis/bicolor,Perisoreus canadensis obscurus/griseus
840c015ffffffff,5.0,0.0,0.0,0.0
840c021ffffffff,2.0,0.0,0.0,0.0
840c02bffffffff,2.0,0.0,0.0,0.0
840c033ffffffff,11.0,0.0,0.0,0.0
840c03bffffffff,55.0,0.0,0.0,0.0
840c04bffffffff,19.0,0.0,0.0,0.0
840c051ffffffff,5.0,0.0,0.0,0.0
840c061ffffffff,11.0,0.0,0.0,0.0
840c063ffffffff,6.0,0.0,0.0,0.0
840c067ffffffff,4.0,0.0,0.0,0.0
840c0b1ffffffff,29.0,0.0,0.0,0.0
840c0b3ffffffff,10.0,0.0,0.0,0.0
840c143ffffffff,25.0,0.0,0.0,0.0
840c147ffffffff,3.0,0.0,0.0,0.0
840c14bffffffff,3.0,0.0,0.0,0.0
840c15dffffffff,38.0,0.0,0.0,0.0
840c1b1ffffffff,4.0,0.0,0.0,0.0
840c1bbffffffff,1.0,0.0,0.0,0.0
840c1e1ffffffff,2.0,0.0,0.0,0.0
840c213ffffffff,10.0,0.0,0.0,0.0
840c217ffffffff,4.0,0.0,0.0,0.0
840c231ffffffff,33.0,0.0,0.0,0.0
840c251ffffffff,9.0,0.0,0.0,0.0
840c265ffffffff,1.0,0.0,0.0,0.0
840c293ffffffff,3.0,0.0,0.0,0.0
840c297ffffffff,9.0,0.0,0.0,0.0
840c29bffffffff,4.0,0.0,0.0,0.0
840c2a9ffffffff,81.0,0.0,0.0,0.0
840c2c7ffffffff,1.0,0.0,0.0,0.0
840c2cdffffffff,55.0,0.0,0.0,0.0
840c2d9ffffffff,2.0,0.0,0.0,0.0
840c341ffffffff,2.0,0.0,0.0,0.0
840c349ffffffff,29.0,0.0,0.0,0.0
840c35bffffffff,2.0,0.0,0.0,0.0
840c421ffffffff,1.0,0.0,0.0,0.0
840c425ffffffff,3.0,0.0,0.0,0.0
840c42dffffffff,37.0,0.0,0.0,0.0
840c441ffffffff,3.0,0.0,0.0,0.0
840c443ffffffff,2.0,0.0,0.0,0.0
840c455ffffffff,2.0,0.0,0.0,0.0
840c465ffffffff,54.0,0.0,0.0,0.0
840c467ffffffff,25.0,0.0,0.0,0.0
840c46dffffffff,12.0,0.0,0.0,0.0
840c503ffffffff,23.0,0.0,0.0,0.0
840c50bffffffff,2.0,0.0,0.0,0.0
840c515ffffffff,1.0,0.0,0.0,0.0
840c51dffffffff,395.0,0.0,0.0,0.0
840c521ffffffff,6.0,0.0,0.0,0.0
840c54bffffffff,56.0,0.0,0.0,0.0
840c551ffffffff,131.0,0.0,0.0,0.0
840c555ffffffff,154.0,0.0,0.0,0.0
840c557ffffffff,2.0,0.0,0.0,0.0
840c55bffffffff,119.0,0.0,0.0,0.0
840c55dffffffff,37.0,0.0,0.0,0.0
840c567ffffffff,11.0,0.0,0.0,0.0
840c609ffffffff,29.0,4.0,0.0,0.0
840c60bffffffff,3.0,0.0,0.0,0.0
840c60dffffffff,13.0,0.0,0.0,0.0
840c617ffffffff,11.0,0.0,0.0,0.0
840c621ffffffff,87.0,1.0,0.0,0.0
840c623ffffffff,12.0,0.0,0.0,0.0
840c625ffffffff,27.0,0.0,0.0,0.0
840c629ffffffff,39.0,2.0,0.0,0.0
840c62bffffffff,11.0,0.0,0.0,0.0
840c62dffffffff,2.0,0.0,0.0,0.0
840c631ffffffff,6.0,0.0,0.0,0.0
840c639ffffffff,10.0,0.0,0.0,0.0
840c63bffffffff,9.0,0.0,0.0,0.0
840c63dffffffff,13.0,0.0,0.0,0.0
840c641ffffffff,33.0,0.0,0.0,0.0
