cell_id,Petroica boodang,Petroica boodang campbelli,Petroica boodang boodang/leggii
83b915fffffffff,2.0,0.0,0.0
83be08fffffffff,2.0,0.0,0.0
83be09fffffffff,3.0,0.0,0.0
83be0afffffffff,1.0,0.0,0.0
83be0bfffffffff,3.0,0.0,0.0
83be0cfffffffff,4.0,0.0,0.0
83be0efffffffff,1.0,0.0,0.0
83be40fffffffff,2.0,0.0,0.0
83be46fffffffff,3.0,0.0,0.0
83be49fffffffff,2.0,0.0,0.0
83be56fffffffff,1.0,0.0,0.0
83be63fffffffff,1.0,0.0,0.0
83be6efffffffff,2.0,0.0,2.0
83be71fffffffff,2.0,0.0,0.0
83be72fffffffff,19.0,0.0,1.0
83be76fffffffff,2.0,0.0,0.0
83bea9fffffffff,2.0,0.0,0.0
83bee0fffffffff,1.0,0.0,0.0
83bef6fffffffff,2.0,0.0,0.0
83c993fffffffff,1.0,0.0,0.0
83c9b3fffffffff,1.0,0.0,0.0
